Image,Similarity
nz,0.8605690002441406
au,0.8422502279281616
hm,0.8422502279281616
gs,0.8242921829223633
vg,0.8183428645133972
ms,0.8168781399726868
pn,0.8125057220458984
ky,0.8124294281005859
tc,0.7800838351249695
fk,0.7758795619010925
ai,0.7408424019813538
tv,0.5516668558120728
tf,0.5051685571670532
eu,0.4748815894126892
gu,0.4427253305912018
nr,0.3913462162017822
cx,0.3287641704082489
sa,0.3186233639717102
mn,0.31828370690345764
io,0.3064280152320862
cw,0.3022121787071228
ly,0.28406065702438354
sx,0.27840399742126465
ao,0.27817708253860474
fj,0.26527470350265503
tm,0.26054179668426514
xk,0.2583858370780945
sb,0.24559441208839417
vu,0.23672038316726685
np,0.2195935994386673
bm,0.20776590704917908
bz,0.19604402780532837
pg,0.19129276275634766
pk,0.18901823461055756
is,0.18769675493240356
mo,0.18335027992725372
gm,0.17220145463943481
tz,0.17006786167621613
qa,0.16022033989429474
mh,0.15942518413066864
cc,0.1586492955684662
so,0.15729263424873352
bd,0.1550094038248062
cd,0.14192496240139008
kh,0.1344967484474182
ss,0.13378581404685974
mv,0.13350674510002136
kz,0.13325895369052887
bf,0.12883839011192322
mp,0.12600766122341156
pa,0.12062080949544907
ke,0.11748844385147095
li,0.11516978591680527
ht,0.10057280212640762
ru,0.10027839988470078
la,0.09669068455696106
gb-sct,0.09508175402879715
sy,0.09265626221895218
cv,0.09137816727161407
zm,0.0882158875465393
sv,0.0874229297041893
za,0.08579209446907043
by,0.07907096296548843
ls,0.07018435746431351
bs,0.06968957930803299
hn,0.06930650770664215
ve,0.06708765029907227
aw,0.06614933907985687
si,0.06497081369161606
bw,0.06287121027708054
iq,0.06037765368819237
aq,0.0588536374270916
to,0.05605483800172806
se,0.044547099620103836
mw,0.04364669322967529
eg,0.04316600039601326
sd,0.04234021157026291
dj,0.03883383795619011
ni,0.03684905543923378
om,0.035850778222084045
dm,0.03476506471633911
kp,0.03389856219291687
ae,0.03345716744661331
ye,0.032299257814884186
ph,0.031642548739910126
gb-wls,0.028741322457790375
uy,0.02642081491649151
mg,0.024947382509708405
bg,0.022277172654867172
jm,0.021710101515054703
kn,0.021089745685458183
sk,0.01899203285574913
py,0.018140017986297607
cu,0.016285747289657593
lt,0.014623958617448807
sz,0.014448711648583412
na,0.014140387065708637
hr,0.012543367221951485
th,0.010773591697216034
er,0.008748490363359451
et,0.00857570581138134
ax,0.0042198048904538155
pw,0.003679937683045864
co,0.0029897699132561684
am,0.002685045823454857
gb-nir,-0.0005612715613096952
gb,-0.0005612715613096952
sh,-0.0005612715613096952
bv,-0.0018379585817456245
no,-0.0018379585817456245
sj,-0.0018379585817456245
eh,-0.004211535677313805
br,-0.005444830283522606
jo,-0.007999308407306671
af,-0.009744272567331791
ee,-0.010845213197171688
as,-0.011922251433134079
ba,-0.01226742658764124
gw,-0.014326700940728188
ps,-0.015940073877573013
az,-0.020003192126750946
gh,-0.021529879420995712
bb,-0.03099539689719677
bq,-0.039903782308101654
nl,-0.039903782308101654
cr,-0.04073997586965561
bo,-0.045749418437480927
mr,-0.04607563838362694
rw,-0.04724045470356941
al,-0.05024970695376396
zw,-0.050585925579071045
sl,-0.05274377763271332
ma,-0.05780870094895363
fi,-0.05924684554338455
gr,-0.06676208972930908
ag,-0.07031287997961044
lu,-0.07118916511535645
sm,-0.0725788027048111
fm,-0.07298076152801514
me,-0.0749775692820549
tj,-0.07584483921527863
cf,-0.07719637453556061
il,-0.07920980453491211
im,-0.08280184864997864
tg,-0.08429872989654541
tt,-0.0863339975476265
in,-0.0926622524857521
ec,-0.09911370277404785
ug,-0.10096016526222229
mz,-0.10144331306219101
lc,-0.1024494543671608
lv,-0.10518109053373337
ws,-0.10677265375852585
gi,-0.10688409209251404
km,-0.10801748931407928
uz,-0.11066529899835587
cz,-0.11260277777910233
mu,-0.11781581491231918
rs,-0.11864655464887619
pl,-0.12301822006702423
ne,-0.1240898072719574
bh,-0.12574191391468048
sr,-0.1262190341949463
tr,-0.1276894509792328
tn,-0.134439155459404
dk,-0.13527187705039978
tw,-0.13731074333190918
gy,-0.13748928904533386
hu,-0.13814640045166016
pt,-0.14711248874664307
ga,-0.16219638288021088
mt,-0.16757601499557495
bi,-0.16786672174930573
cn,-0.17542903125286102
cm,-0.17635324597358704
sc,-0.17761820554733276
tl,-0.1785111427307129
nf,-0.18109966814517975
wf,-0.18170206248760223
lk,-0.1820177137851715
pr,-0.18659572303295135
ar,-0.1883441060781479
cl,-0.19027221202850342
bn,-0.19269101321697235
gt,-0.19350706040859222
ki,-0.19680792093276978
lr,-0.19756704568862915
kr,-0.1979343742132187
kw,-0.1994796246290207
my,-0.19959764182567596
hk,-0.19964462518692017
fo,-0.20209334790706635
mx,-0.20577767491340637
gb-eng,-0.20621368288993835
lb,-0.20672446489334106
dz,-0.2094321995973587
pf,-0.21153677999973297
bl,-0.212836354970932
fr,-0.212836354970932
gf,-0.212836354970932
gp,-0.212836354970932
mf,-0.212836354970932
mq,-0.212836354970932
nc,-0.212836354970932
pm,-0.212836354970932
re,-0.212836354970932
yt,-0.212836354970932
st,-0.2148953080177307
do,-0.21778042614459991
ir,-0.22139675915241241
vn,-0.22161461412906647
bj,-0.22385814785957336
ci,-0.22818662226200104
gd,-0.23128773272037506
de,-0.2333359718322754
ad,-0.2338738888502121
ng,-0.23753570020198822
it,-0.23899424076080322
ge,-0.2398572713136673
jp,-0.24498581886291504
ch,-0.24842475354671478
be,-0.24992388486862183
pe,-0.25617480278015137
mm,-0.25893354415893555
at,-0.2610740661621094
gn,-0.2634013593196869
gq,-0.26455026865005493
gl,-0.26556098461151123
td,-0.27352920174598694
kg,-0.2782323956489563
ro,-0.28073441982269287
ca,-0.28099173307418823
ua,-0.28159022331237793
gg,-0.28267955780029297
es,-0.28956061601638794
vi,-0.291407972574234
nu,-0.2935408651828766
tk,-0.29934045672416687
md,-0.3035737872123718
mk,-0.3171553909778595
um,-0.3174312114715576
us,-0.3174312114715576
ie,-0.3204762935638428
vc,-0.323413223028183
sn,-0.3308328092098236
je,-0.33188992738723755
cy,-0.34953010082244873
id,-0.3530658483505249
ml,-0.35676705837249756
mc,-0.36505240201950073
bt,-0.3764350712299347
sg,-0.37753576040267944
va,-0.4342312812805176
cg,-0.47622862458229065
