Image,Similarity
pl,0.838377833366394
ru,0.4779591560363769
fr,0.4337903261184692
it,0.3929675221443176
pe,0.3878946304321289
gt,0.353080153465271
mx,0.3381252884864807
ng,0.3351867198944092
us,0.3096972703933716
ca,0.2614405453205108
dz,0.25800621509552
ar,0.2391614913940429
ht,0.2222688198089599
jp,0.2210829854011535
cn,0.2190218567848205
do,0.2110421359539032
vn,0.2085160017013549
es,0.1908583045005798
ws,0.1841719448566436
co,0.1824865490198135
kr,0.1807821244001388
in,0.1645378768444061
ua,0.1558685302734375
ve,0.1486252695322036
as,0.1461036801338195
gr,0.1456278860569
cr,0.143581286072731
ec,0.139465183019638
to,0.1303445100784301
il,0.1300621777772903
eg,0.103514477610588
gb,0.1015238612890243
th,0.1005284860730171
uy,0.0824703052639961
cu,0.0786232501268386
ug,0.0648137405514717
ma,0.0612865984439849
pg,0.0151327326893806
pw,0.0116785541176795
bz,0.0027429796755313
fj,-0.0061147660017013
zw,-0.0371499583125114
py,-0.0398270413279533
sb,-0.0442158728837966
se,-0.0574281215667724
ao,-0.0611454918980598
za,-0.0868708193302154
bo,-0.1246596127748489
jm,-0.1266863346099853
kz,-0.1272591352462768
de,-0.1594308763742447
br,-0.1668714135885238
ke,-0.1952351480722427
tv,-0.2088735699653625
sa,-0.214396983385086
au,-0.2353396415710449
nz,-0.2471437007188797
vu,-0.295214980840683
id,-0.3010982275009155
pk,-0.3409671187400818
