Image,Similarity
pt,0.578823447227478
bj,0.5746687054634094
cn,0.5043855905532837
tl,0.5009442567825317
es,0.4697935879230499
vn,0.4486967921257019
ma,0.4482247233390808
tw,0.44669264554977417
ws,0.446551114320755
tr,0.4276837110519409
mk,0.4258917570114136
wf,0.41835570335388184
af,0.41020113229751587
pg,0.39738595485687256
me,0.39319950342178345
kg,0.3843897581100464
bm,0.38420477509498596
td,0.38024410605430603
to,0.379546582698822
qa,0.3794483542442322
bh,0.3755180835723877
al,0.37333792448043823
tk,0.35742005705833435
ro,0.35724401473999023
ml,0.3538384437561035
be,0.35165220499038696
md,0.3502485752105713
im,0.3456425368785858
lk,0.330508291721344
de,0.32958418130874634
nu,0.32700788974761963
ad,0.31775256991386414
cg,0.30774998664855957
ba,0.2983585298061371
gi,0.29555121064186096
gd,0.2794613540172577
zw,0.27739956974983215
by,0.27567625045776367
mw,0.2684990167617798
ao,0.2654975652694702
hk,0.2597086727619171
tn,0.25613290071487427
bo,0.23619617521762848
ug,0.23359736800193787
lv,0.22089698910713196
sn,0.2205166071653366
ec,0.21346555650234222
gh,0.2105514258146286
kn,0.20308652520179749
cf,0.2030365765094757
lt,0.1983785629272461
tt,0.19261619448661804
cl,0.1910773515701294
vc,0.19085019826889038
co,0.18983285129070282
dz,0.18000733852386475
ch,0.17993596196174622
ss,0.17768844962120056
ke,0.17421507835388184
am,0.1732378602027893
bf,0.17254459857940674
my,0.17235130071640015
kp,0.17141243815422058
cz,0.17076344788074493
vu,0.16841715574264526
gb-wls,0.1681409776210785
at,0.16653737425804138
bn,0.16502827405929565
ve,0.16450530290603638
bt,0.16287803649902344
pr,0.15539014339447021
bd,0.1550590693950653
ge,0.15129177272319794
dm,0.14425347745418549
mm,0.14329271018505096
id,0.1387336701154709
dk,0.13657280802726746
pf,0.13125140964984894
gg,0.1311943531036377
ly,0.1310744285583496
mu,0.12848417460918427
mv,0.1224924698472023
km,0.11616869270801544
eg,0.11505813896656036
jp,0.11191865801811218
gb-nir,0.11027675122022629
gb,0.11027675122022629
sh,0.11027675122022629
zm,0.10792097449302673
li,0.10694614052772522
sy,0.10268759727478027
sd,0.09839101135730743
gq,0.0971679612994194
bi,0.09595643728971481
sc,0.09446705877780914
ye,0.09211423993110657
iq,0.08970514684915543
ax,0.0876854956150055
sr,0.08469781279563904
la,0.08213923871517181
gb-eng,0.08159606158733368
ne,0.08026952296495438
er,0.07926470041275024
ki,0.07567988336086273
st,0.0745030865073204
um,0.07236908376216888
us,0.07236908376216888
om,0.069050133228302
mc,0.06864951550960541
ca,0.06751222908496857
bv,0.06371171772480011
no,0.06371171772480011
sj,0.06371171772480011
bb,0.0621180385351181
pl,0.06072263792157173
gl,0.060608670115470886
tj,0.05778472125530243
