Image,Similarity
ma,0.8648653030395508
vn,0.8370797634124756
to,0.6993023753166199
es,0.6674462556838989
ws,0.6216806769371033
de,0.5157667994499207
ao,0.4669364392757416
zw,0.4372214078903198
pg,0.4057008326053619
ug,0.3983202278614044
id,0.3263065814971924
ve,0.3212477564811706
ec,0.3194799721240997
co,0.3066900074481964
bo,0.2737307846546173
pl,0.2419574856758117
ke,0.2338544279336929
gb,0.2306564152240753
cl,0.2190218567848205
pe,0.2174529731273651
ht,0.1870810687541961
eg,0.1843079477548599
vu,0.1715798825025558
jp,0.0884562879800796
ca,0.0859950110316276
us,0.0850167572498321
cr,0.0537863820791244
do,0.0520506501197814
th,0.03470129519701
fr,0.0212498232722282
ru,0.0063352212309837
py,-0.0002090036869049
in,-0.0060967709869146
jm,-0.0388116762042045
mx,-0.0553125068545341
ua,-0.0774290412664413
as,-0.0784199982881546
it,-0.0805030465126037
za,-0.0912501513957977
kr,-0.1101135239005088
bz,-0.1229779794812202
au,-0.1576175093650818
dz,-0.1603010892868042
nz,-0.1704956293106079
se,-0.1719402968883514
pk,-0.1779861152172088
br,-0.198664516210556
cu,-0.2167887091636657
ng,-0.2561424970626831
uy,-0.2898685932159424
il,-0.3130761981010437
gt,-0.3281441628932953
sb,-0.363789290189743
ar,-0.373217910528183
gr,-0.3797210454940796
pw,-0.4121746122837066
fj,-0.4191944301128387
sa,-0.4328226149082184
tv,-0.6306672096252441
kz,-0.7697833180427551
