Image,Similarity
ec,0.857819139957428
ve,0.5252143740653992
pl,0.3335251212120056
es,0.3206804990768432
vn,0.3087351024150848
cn,0.3066900074481964
ug,0.3012256026268005
ao,0.2859908640384674
to,0.280970424413681
pg,0.2714468538761139
ma,0.2664679586887359
ru,0.2660729587078094
in,0.246408075094223
cl,0.1824865490198135
bo,0.1816193610429763
eg,0.1739150881767273
zw,0.1580815613269806
za,0.1154665723443031
py,0.1124028265476226
pe,0.1036611571907997
kr,0.0855829045176506
th,0.0718691274523735
vu,0.0540452934801578
fr,0.0292132571339607
ca,0.0270977728068828
mx,0.0236209612339735
it,0.0223005078732967
jp,0.0219492465257644
au,0.0096356170251965
nz,0.0056977001950144
do,0.0052984710782766
us,-0.0141896437853574
ng,-0.0178201906383037
id,-0.0263899639248847
br,-0.0405237227678298
dz,-0.0495947934687137
gb,-0.0535329431295394
sa,-0.0540558658540248
uy,-0.0596338100731372
gt,-0.0624615587294101
ws,-0.0674150288105011
cr,-0.0936367809772491
se,-0.1191553249955177
jm,-0.1252963095903396
as,-0.1293727606534958
pk,-0.1313925981521606
ke,-0.1349444389343261
gr,-0.1397826671600341
fj,-0.1421994864940643
bz,-0.1471976041793823
ar,-0.1605381369590759
cu,-0.1645704209804535
tv,-0.1657259613275528
de,-0.2001521587371826
il,-0.2025115191936493
pw,-0.2453625053167343
kz,-0.2770240902900696
sb,-0.3448808491230011
ht,-0.3704761862754822
ua,-0.6551012992858887
