Image,Similarity
th,0.6768608689308167
cu,0.528859555721283
ca,0.3922507762908935
jp,0.3233621418476105
gt,0.2973239421844482
gb,0.29483163356781
uy,0.2716646790504455
ar,0.2610649466514587
ug,0.2549009621143341
mx,0.2541540265083313
pl,0.2400087416172027
ng,0.2309029549360275
zw,0.2307681292295456
il,0.2242709100246429
pe,0.2049522250890731
pw,0.2026233822107315
fj,0.1942576915025711
it,0.1762904971837997
id,0.1753093898296356
kr,0.1488383412361145
cl,0.143581286072731
fr,0.1426084637641906
us,0.1295901536941528
gr,0.1129023879766464
kz,0.1000164449214935
ru,0.0942848324775695
dz,0.0772084891796112
cn,0.0537863820791244
to,0.0537356920540332
jm,0.0534523725509643
ke,0.0532539039850235
as,0.0418441668152809
se,0.0404788851737976
es,0.0386759117245674
tv,0.0209743753075599
de,0.0053793378174304
ua,-0.004574678838253
do,-0.0241335313767194
ws,-0.0326526314020156
br,-0.0332173928618431
bz,-0.0397837534546852
vn,-0.0421196110546588
sb,-0.082155168056488
pk,-0.0883027017116546
co,-0.0936367809772491
ma,-0.0945952460169792
au,-0.1003975644707679
ec,-0.1100944504141807
nz,-0.1156957373023033
ht,-0.1185286417603492
py,-0.1288021951913833
in,-0.1388713419437408
vu,-0.1393561959266662
ao,-0.1419708132743835
za,-0.1513391137123108
pg,-0.1522047817707061
ve,-0.1619906723499298
bo,-0.1833088994026184
sa,-0.1879508793354034
eg,-0.2903377115726471
