Image,Similarity
ca,0.7468129396438599
jp,0.7068087458610535
je,0.7053869366645813
sm,0.699992299079895
ar,0.6957530975341797
vi,0.6745086312294006
gt,0.6642860174179077
gb-eng,0.6445406675338745
gg,0.6402464509010315
fm,0.6276824474334717
ie,0.6245372295379639
va,0.6213448643684387
nf,0.6131402850151062
sg,0.5893071889877319
ng,0.5857120156288147
fo,0.5828145742416382
kr,0.5555026531219482
ge,0.5299591422080994
lc,0.5116649866104126
mc,0.4779597222805023
mx,0.4661010503768921
ci,0.4625217020511627
gl,0.45577943325042725
lr,0.4538500905036926
fj,0.4461939036846161
gr,0.44436559081077576
um,0.43974798917770386
us,0.43974798917770386
id,0.43326807022094727
pl,0.42667001485824585
il,0.42660075426101685
mt,0.40728190541267395
it,0.3875713348388672
uy,0.38709312677383423
bt,0.38601526618003845
bw,0.38471361994743347
pe,0.3679487109184265
lu,0.3602592647075653
cr,0.3551950454711914
sc,0.35278430581092834
fi,0.3469798266887665
pf,0.3422025144100189
lb,0.33834975957870483
nu,0.3278072476387024
gb-sct,0.3255560100078583
pw,0.31249678134918213
dz,0.30938881635665894
bl,0.3074111342430115
fr,0.3074111342430115
gf,0.3074111342430115
gp,0.3074111342430115
mf,0.3074111342430115
mq,0.3074111342430115
nc,0.3074111342430115
pm,0.3074111342430115
re,0.3074111342430115
yt,0.3074111342430115
pa,0.29616913199424744
so,0.291822612285614
sk,0.27564412355422974
cz,0.27503395080566406
at,0.2737357020378113
aw,0.2690238058567047
cu,0.2663688063621521
gi,0.2648392617702484
cl,0.26408055424690247
bi,0.2595280408859253
bn,0.2567826509475708
rs,0.2530510425567627
ni,0.25277188420295715
uz,0.24196472764015198
bg,0.241667240858078
km,0.23424668610095978
sl,0.23265747725963593
in,0.2217629849910736
dj,0.22084715962409973
hu,0.22041741013526917
th,0.21650779247283936
vc,0.21555308997631073
pr,0.19979828596115112
ir,0.19741865992546082
om,0.19532272219657898
ru,0.19466310739517212
ne,0.190924271941185
ki,0.1898529827594757
si,0.18540145456790924
sn,0.18500646948814392
io,0.18404647707939148
wf,0.180974543094635
kz,0.17502787709236145
mm,0.17304953932762146
mg,0.1722247153520584
cd,0.15774710476398468
ga,0.1569945216178894
py,0.15366187691688538
gb-nir,0.13783122599124908
gb,0.13783122599124908
sh,0.13783122599124908
ml,0.13648593425750732
bq,0.13253535330295563
nl,0.13253535330295563
gn,0.1305067241191864
cg,0.12888363003730774
sv,0.12313878536224365
my,0.12206332385540009
md,0.1164655089378357
gd,0.11273214966058731
tv,0.11030683666467667
ee,0.10896527022123337
gq,0.10319367796182632
hr,0.10126684606075287
sr,0.09724331647157669
tj,0.09681674838066101
do,0.0961439311504364
ls,0.09372803568840027
cf,0.09299193322658539
kp,0.08829078823328018
gy,0.08735044300556183
hn,0.08148156851530075
ec,0.07980179786682129
dk,0.07615464925765991
bh,0.0732654333114624
ad,0.07084168493747711
ro,0.0699000433087349
kw,0.06879500299692154
kg,0.06862637400627136
az,0.06506431102752686
mk,0.06065451353788376
ua,0.05138227343559265
ba,0.04882793873548508
co,0.04448094964027405
se,0.04264533519744873
gb-wls,0.03754614293575287
mp,0.0302986279129982
aq,0.030200175940990448
gw,0.022383004426956177
ch,0.021824978291988373
ax,0.013956090435385704
rw,0.006692253053188324
td,0.005849413573741913
as,0.0021724961698055267
st,-0.001552671194076538
hk,-0.002845190465450287
es,-0.006181105971336365
bm,-0.01725170761346817
lk,-0.01938553899526596
