Image,Similarity
pl,0.8308894634246826
cl,0.8265659809112549
si,0.6668152213096619
bg,0.6592692732810974
ru,0.6549175977706909
km,0.5739793181419373
sk,0.5631870031356812
om,0.46388110518455505
gl,0.459245890378952
gi,0.41359907388687134
bn,0.41304314136505127
bt,0.4127947986125946
bj,0.4124634265899658
sm,0.3577705919742584
ie,0.3476216197013855
co,0.3190988004207611
pr,0.318082720041275
bl,0.3134547770023346
fr,0.3134547770023346
gf,0.3134547770023346
gp,0.3134547770023346
mf,0.3134547770023346
mq,0.3134547770023346
nc,0.3134547770023346
pm,0.3134547770023346
re,0.3134547770023346
yt,0.3134547770023346
bm,0.3023056387901306
pe,0.30193406343460083
it,0.30188116431236267
gt,0.30140358209609985
ve,0.29979750514030457
ca,0.2950149178504944
gg,0.29361310601234436
mm,0.29258498549461365
gb-eng,0.2903798520565033
ng,0.28671637177467346
cg,0.28566303849220276
mx,0.27682188153266907
wf,0.27632075548171997
cy,0.27503395080566406
jp,0.27453890442848206
ec,0.27164265513420105
ge,0.2691681683063507
nf,0.26390010118484497
lc,0.2632909119129181
va,0.25665104389190674
lt,0.2563336491584778
fo,0.2524140775203705
lr,0.25061044096946716
ir,0.2434329390525818
je,0.24224422872066498
um,0.24013787508010864
us,0.24013787508010864
sn,0.23315858840942383
at,0.23207977414131165
gb-wls,0.22359752655029297
ro,0.222289577126503
gd,0.22044402360916138
ad,0.22032806277275085
bi,0.21907132863998413
dz,0.2170998454093933
be,0.21687446534633636
hk,0.21023811399936676
nu,0.20843446254730225
vi,0.20791584253311157
im,0.20433366298675537
kg,0.20403525233268738
ml,0.19724060595035553
tw,0.19546079635620117
td,0.19499839842319489
ch,0.19398856163024902
ci,0.18587546050548553
lb,0.18514753878116608
th,0.18476757407188416
fi,0.18294958770275116
cf,0.17988452315330505
mt,0.17919206619262695
cn,0.17898279428482056
to,0.1785082221031189
kr,0.1768050491809845
fm,0.17547133564949036
md,0.17157894372940063
cm,0.17076344788074493
ar,0.167993426322937
tn,0.16757570207118988
vc,0.166394904255867
pf,0.16344915330410004
dk,0.16271549463272095
mk,0.1574278473854065
dj,0.1536000370979309
in,0.14953306317329407
ba,0.1467835009098053
gr,0.14585058391094208
rw,0.14305028319358826
es,0.14301371574401855
vn,0.13351798057556152
az,0.13179729878902435
cr,0.1259705126285553
gq,0.12390569597482681
uy,0.12215101718902588
ws,0.12182790786027908
tr,0.12082059681415558
aw,0.11409244686365128
ht,0.11294864863157272
bh,0.1072477474808693
kw,0.10634000599384308
pg,0.10454763472080231
my,0.103275366127491
bv,0.09682781994342804
no,0.09682781994342804
sj,0.09682781994342804
tl,0.09513387084007263
sz,0.09219178557395935
bw,0.08896666765213013
ph,0.0862470343708992
gn,0.08437705785036087
sd,0.08044857531785965
lk,0.07740332931280136
la,0.07616487890481949
do,0.06837473064661026
il,0.06632165610790253
pa,0.058849118649959564
ug,0.05653630942106247
cu,0.05505052208900452
pt,0.054725661873817444
ye,0.052190620452165604
iq,0.05030439794063568
lv,0.05008256435394287
sy,0.049870140850543976
bb,0.048754699528217316
eg,0.04706411808729172
so,0.046213142573833466
ma,0.0447579063475132
gb-sct,0.04339298605918884
aq,0.04193050414323807
gb-nir,0.03889893740415573
gb,0.03889893740415573
sh,0.03889893740415573
gw,0.03656937554478645
kp,0.03281748294830322
me,0.030383769422769547
uz,0.026094604283571243
li,0.021366111934185028
ua,0.017339907586574554
gy,0.017127662897109985
hu,0.014915481209754944
sr,0.011672336608171463
as,0.011281860992312431
fj,0.010342985391616821
ae,0.009404245764017105
al,-0.0018146522343158722
zw,-0.0065452903509140015
kn,-0.009274166077375412
ao,-0.009709887206554413
io,-0.010598130524158478
tj,-0.014843370765447617
tk,-0.021825015544891357
za,-0.024212604388594627
sc,-0.031351327896118164
mp,-0.03505277633666992
hr,-0.03917080909013748
tt,-0.04412170872092247
et,-0.04736177623271942
xk,-0.049711376428604126
af,-0.05076092109084129
ax,-0.05300254747271538
mv,-0.055461253970861435
qa,-0.059421785175800323
bz,-0.060036174952983856
ni,-0.06614702939987183
