Image,Similarity
ma,0.5223418474197388
cn,0.5157667994499207
ws,0.501507580280304
ke,0.4580565392971039
vn,0.4565533995628357
zw,0.4491619765758514
ug,0.4142725467681885
ua,0.413282036781311
es,0.3452825248241424
ht,0.3322982788085937
to,0.3158700466156006
id,0.2411736398935318
jm,0.2239934802055359
ao,0.179463505744934
vu,0.1328739821910858
pg,0.1282743513584137
pk,0.1061465591192245
br,0.1060388162732124
gb,0.0996474176645279
bo,0.0279691964387893
cr,0.0053793378174304
se,-0.0177789293229579
pe,-0.0369547829031944
sb,-0.0400323122739791
us,-0.044894304126501
sa,-0.0654962211847305
th,-0.0917669385671615
ca,-0.0921248123049736
do,-0.0923053920269012
jp,-0.0964838713407516
ec,-0.1236315667629242
ve,-0.1379254907369613
fr,-0.1435227841138839
dz,-0.1445895731449127
bz,-0.1503147780895233
cl,-0.1594308763742447
as,-0.1648996621370315
mx,-0.1920268237590789
co,-0.2001521587371826
au,-0.2026761323213577
it,-0.2041312456130981
nz,-0.2067637145519256
eg,-0.2266575396060943
cu,-0.2321100682020187
kr,-0.232867494225502
pw,-0.2491480112075805
pl,-0.3002427220344543
za,-0.3297551870346069
in,-0.3439143598079681
ng,-0.3506998717784881
il,-0.3645068407058716
uy,-0.3745164275169372
gr,-0.3916492760181427
py,-0.3996046781539917
ru,-0.4207175970077514
gt,-0.4242368936538696
kz,-0.4246992766857147
ar,-0.4283691942691803
fj,-0.4408478140830993
tv,-0.5029287338256836
