Image,Similarity
bd,0.4029887914657593
mw,0.375820517539978
cc,0.32665014266967773
ax,0.3007189631462097
st,0.2674666941165924
br,0.2669365406036377
ke,0.2538217604160309
tz,0.24275444447994232
ss,0.2415277659893036
af,0.23907971382141113
bs,0.23811626434326172
er,0.22756852209568024
by,0.22220894694328308
zm,0.22205887734889984
is,0.21429365873336792
eh,0.20935840904712677
ga,0.20374277234077454
sa,0.2020256221294403
de,0.19779518246650696
jo,0.1957489252090454
cx,0.1956990659236908
jm,0.1934284269809723
az,0.18758031725883484
ps,0.18196876347064972
gh,0.181651771068573
gu,0.1709825098514557
bo,0.16976739466190338
gy,0.16725793480873108
ae,0.16689758002758026
ao,0.16324499249458313
mo,0.16167443990707397
bb,0.16162706911563873
tm,0.15918222069740295
pt,0.1573363095521927
pg,0.1555127054452896
ly,0.15328121185302734
pk,0.1527402698993683
cm,0.14425347745418549
bj,0.1440032720565796
gb-nir,0.1388128697872162
gb,0.1388128697872162
sh,0.1388128697872162
nr,0.12659193575382233
qa,0.1248110830783844
sb,0.12416112422943115
se,0.12165002524852753
kn,0.12022307515144348
mh,0.11707448959350586
vu,0.11493494361639023
xk,0.11447007954120636
tt,0.11123855412006378
zw,0.11111772060394287
nz,0.10872899740934372
tc,0.10364479571580887
ai,0.09664204716682434
na,0.09282825887203217
bf,0.09282521903514862
au,0.09228281676769257
hm,0.09228281676769257
sv,0.08974342793226242
kh,0.08912768214941025
pn,0.08876548707485199
gb-wls,0.0886370912194252
bv,0.08690209686756134
no,0.08690209686756134
sj,0.08690209686756134
ls,0.08559227734804153
ms,0.08523862808942795
pw,0.08475139737129211
sr,0.08293008804321289
sx,0.08276840299367905
uz,0.08232825994491577
cw,0.0822303295135498
gs,0.08212778717279434
vg,0.08176855742931366
eu,0.07561516761779785
be,0.07553349435329437
ky,0.07042456418275833
li,0.06996926665306091
sl,0.0698828473687172
td,0.06953144073486328
ph,0.06941591203212738
om,0.06856808066368103
kz,0.06688360124826431
cv,0.06482270359992981
ne,0.05628163367509842
gn,0.05598105862736702
eg,0.05586308240890503
fk,0.05405031517148018
mu,0.05338329076766968
ml,0.052687108516693115
ni,0.04983864724636078
sy,0.047975242137908936
kp,0.047793593257665634
ws,0.04564102739095688
et,0.045623596757650375
hr,0.04527847841382027
sd,0.042657580226659775
iq,0.04261806234717369
mp,0.04182038456201553
tk,0.03964501991868019
ro,0.03895290568470955
tl,0.03675498813390732
ye,0.036144886165857315
ck,0.03476506471633911
bz,0.030754994601011276
ma,0.030403733253479004
hn,0.030206158757209778
mz,0.029033107683062553
tg,0.027867957949638367
do,0.026996299624443054
dz,0.026785045862197876
np,0.02317972481250763
aq,0.021163932979106903
gw,0.019551429897546768
rw,0.01940416917204857
ad,0.01850699819624424
mr,0.016133010387420654
sc,0.010589353740215302
ba,0.01020311564207077
kw,0.008238324895501137
md,0.007488202303647995
ht,0.006242203060537577
cd,0.005036663264036179
za,0.0019863592460751534
to,0.00037720054388046265
cf,0.00012915721163153648
sn,-0.001489780843257904
me,-0.0033472515642642975
lk,-0.006884023547172546
as,-0.007026731967926025
cn,-0.011263158172369003
ag,-0.011648986488580704
tr,-0.013627387583255768
gq,-0.01421823538839817
bw,-0.015634292736649513
in,-0.016551248729228973
ki,-0.019111212342977524
py,-0.023996442556381226
bq,-0.024031858891248703
nl,-0.024031858891248703
gi,-0.02430655062198639
lv,-0.024689681828022003
al,-0.026070214807987213
ug,-0.026777461171150208
tw,-0.02797187864780426
tj,-0.03139882534742355
ua,-0.03693045675754547
sz,-0.03893916308879852
es,-0.03919905424118042
vn,-0.041249118745326996
bm,-0.041828203946352005
tf,-0.04596687853336334
gm,-0.04607592523097992
mg,-0.0463830903172493
vc,-0.04653291776776314
cr,-0.050027020275592804
ir,-0.050226710736751556
tv,-0.05688459426164627
um,-0.06189657375216484
us,-0.06189657375216484
cg,-0.06399707496166229
ee,-0.06437604874372482
mn,-0.06451933830976486
mv,-0.06483036279678345
ec,-0.06547847390174866
co,-0.06904355436563492
dj,-0.07017605006694794
hu,-0.07028166949748993
bh,-0.07312967628240585
kr,-0.07537494599819183
im,-0.07626157999038696
wf,-0.08171582221984863
gr,-0.08622728288173676
pa,-0.09192545711994171
lu,-0.09261608123779297
bn,-0.10399224609136581
la,-0.10989280790090561
id,-0.11042274534702301
kg,-0.110650934278965
km,-0.11169890314340591
nu,-0.11184442043304443
my,-0.11318644136190414
lc,-0.11615824699401855
il,-0.12252126634120941
ge,-0.12402597069740295
mc,-0.1310664713382721
ve,-0.13197720050811768
so,-0.13474322855472565
it,-0.1374819278717041
ca,-0.13876856863498688
jp,-0.1396413892507553
cu,-0.13988150656223297
mk,-0.14218851923942566
gd,-0.1430433690547943
ci,-0.14691917598247528
am,-0.14988495409488678
mx,-0.14989319443702698
cl,-0.15001116693019867
bl,-0.150143101811409
fr,-0.150143101811409
gf,-0.150143101811409
gp,-0.150143101811409
mf,-0.150143101811409
mq,-0.150143101811409
nc,-0.150143101811409
pm,-0.150143101811409
re,-0.150143101811409
yt,-0.150143101811409
va,-0.15151795744895935
ar,-0.15226708352565765
aw,-0.15312059223651886
tn,-0.15562981367111206
io,-0.15786705911159515
lt,-0.16355659067630768
ch,-0.16530202329158783
pf,-0.17154023051261902
dk,-0.1718975305557251
ng,-0.17286193370819092
sg,-0.17468495666980743
gb-sct,-0.17824701964855194
hk,-0.17832539975643158
gt,-0.17893922328948975
fj,-0.1792864054441452
vi,-0.18201619386672974
je,-0.18266721069812775
gl,-0.1847805678844452
bt,-0.190886989235878
cz,-0.1941504329442978
nf,-0.1944105178117752
pr,-0.19464179873466492
sm,-0.19554877281188965
at,-0.19694508612155914
fi,-0.20399022102355957
gb-eng,-0.20633789896965027
rs,-0.20871372520923615
mt,-0.2174246609210968
pe,-0.2224130630493164
sk,-0.22473546862602234
ie,-0.22549009323120117
mm,-0.2261231243610382
th,-0.23115013539791107
cy,-0.23458531498908997
pl,-0.2347448170185089
ru,-0.25813040137290955
bi,-0.2583923041820526
fm,-0.2615176737308502
lb,-0.26670509576797485
si,-0.26936033368110657
uy,-0.2701790928840637
bg,-0.2710811197757721
fo,-0.30024099349975586
gg,-0.303762823343277
lr,-0.31239643692970276
