Image,Similarity
py,0.3431337475776672
eg,0.3310328125953674
as,0.3269246220588684
fr,0.3054385781288147
ar,0.2912496924400329
it,0.29053595662117
us,0.2398924380540847
ng,0.2385108768939972
in,0.2331499904394149
pe,0.2311678379774093
gt,0.2258335947990417
cl,0.2110421359539032
bz,0.2009694278240203
mx,0.1920984536409378
il,0.1891978085041046
pl,0.16384918987751
id,0.1255958527326584
kr,0.117047518491745
bo,0.1138160675764083
ws,0.1084950640797615
gr,0.1043798252940177
vn,0.1015767455101013
uy,0.0941397249698638
es,0.0896443203091621
ht,0.0841598063707351
pw,0.0538743808865547
cn,0.0520506501197814
dz,0.0298177953809499
fj,0.026229940354824
se,0.0176935717463493
co,0.0052984710782766
kz,-0.0028631351888179
za,-0.0061598531901836
ec,-0.0082731489092111
ua,-0.0088392700999975
ma,-0.020215593278408
cr,-0.0241335313767194
to,-0.0389488823711872
ug,-0.039775226265192
sb,-0.0473139435052871
br,-0.0481211990118026
ao,-0.0537406653165817
ru,-0.0777262896299362
ve,-0.0789652019739151
jp,-0.0819019526243209
de,-0.0923053920269012
cu,-0.0937480330467224
pg,-0.1058750599622726
pk,-0.1169385015964508
ca,-0.1193705424666404
vu,-0.1272254586219787
sa,-0.1331740468740463
tv,-0.1426864266395568
th,-0.1485477983951568
jm,-0.1541095227003097
ke,-0.1601331830024719
au,-0.1888743937015533
zw,-0.1910237669944763
nz,-0.1965351998805999
gb,-0.2737907767295837
