Image,Similarity
co,0.857819139957428
ve,0.4835568070411682
es,0.3470191061496734
vn,0.3220758140087127
cn,0.3194799721240997
ug,0.2912513315677643
pl,0.2837169170379638
ma,0.2711832821369171
to,0.2625844478607178
in,0.2387034296989441
ru,0.2033903151750564
ao,0.1904453039169311
bo,0.1793505847454071
pg,0.1709313690662384
zw,0.1685072183609008
eg,0.148647591471672
cl,0.139465183019638
pe,0.1109388917684555
py,0.1025951877236366
za,0.0678163543343544
ca,0.0643950402736663
id,0.0588816814124584
jp,0.0551204793155193
th,0.0535028055310249
kr,0.0479352548718452
it,0.0438837222754955
fr,0.0405558384954929
mx,0.0393787883222103
ng,0.0134123861789703
us,0.0089943734928965
do,-0.0082731489092111
vu,-0.0131417755037546
ws,-0.0296386033296585
dz,-0.0300426110625267
gt,-0.0484544150531291
br,-0.0553684532642364
gb,-0.06016506254673
uy,-0.0799121707677841
au,-0.1086944267153739
cr,-0.1100944504141807
nz,-0.1151667386293411
jm,-0.1164616718888282
gr,-0.1185245513916015
de,-0.1236315667629242
se,-0.1279845237731933
pk,-0.13026162981987
sa,-0.1328970789909362
as,-0.1348767131567001
ar,-0.1480550616979599
ke,-0.1539141088724136
fj,-0.1541016995906829
bz,-0.1829973012208938
cu,-0.1873968839645385
il,-0.2042666971683502
tv,-0.2319909334182739
pw,-0.247990533709526
kz,-0.3414410352706909
ht,-0.3688479959964752
sb,-0.3689364194869995
ua,-0.4596956670284271
