Image,Similarity
ps,0.9599039554595947
jo,0.8209863305091858
ae,0.7824215292930603
bq,0.7512379288673401
nl,0.7512379288673401
hn,0.7434029579162598
sv,0.7162936925888062
ye,0.7019219398498535
sl,0.6990156173706055
eg,0.6985592842102051
hu,0.6978392004966736
sd,0.6955321431159973
py,0.670182466506958
ne,0.6555328965187073
uz,0.6539911031723022
ni,0.6529247164726257
iq,0.6519477367401123
kw,0.6280243396759033
ls,0.6193788647651672
sy,0.6082287430763245
tj,0.5953605771064758
as,0.5855165719985962
hr,0.5812395811080933
lu,0.5734570026397705
gq,0.5566962957382202
in,0.4884231686592102
bo,0.48606202006340027
ir,0.46886348724365234
at,0.42628413438796997
lv,0.4003269374370575
gh,0.396121084690094
aq,0.37639498710632324
ga,0.3732706606388092
bs,0.3645622134208679
ss,0.3548945188522339
mo,0.3439023792743683
ar,0.33832597732543945
mh,0.311252623796463
mw,0.31066277623176575
st,0.30848342180252075
jm,0.3061109483242035
gm,0.2887471318244934
gb-sct,0.2861865162849426
il,0.2796514630317688
is,0.2651442587375641
kh,0.25852957367897034
do,0.2543618083000183
bz,0.24187162518501282
pf,0.2261306345462799
sa,0.21317148208618164
cv,0.21304559707641602
nr,0.21084430813789368
dm,0.20935840904712677
ke,0.19946834444999695
gu,0.19511505961418152
cx,0.1926410049200058
dj,0.1917901635169983
br,0.19030609726905823
se,0.18832191824913025
sx,0.18521420657634735
bd,0.18127375841140747
by,0.18091626465320587
na,0.16986070573329926
so,0.16612255573272705
cc,0.1621648371219635
lb,0.16185954213142395
gy,0.16021311283111572
kz,0.15949563682079315
af,0.14899568259716034
et,0.14099633693695068
gr,0.13883642852306366
mp,0.13864925503730774
rw,0.13674913346767426
cf,0.1331712007522583
la,0.12387853860855103
ax,0.1230030506849289
pw,0.12139839679002762
xk,0.11917085945606232
dk,0.11887991428375244
ch,0.11779306083917618
sb,0.11621680855751038
ag,0.11284826695919037
mu,0.1114395409822464
bf,0.1071775034070015
tk,0.10502341389656067
az,0.1038978323340416
mc,0.10234364867210388
bi,0.09871691465377808
tf,0.09710802882909775
eu,0.09199871122837067
ai,0.0916234701871872
cw,0.08851860463619232
de,0.08785158395767212
pk,0.08773297816514969
id,0.08770859986543655
ki,0.08383484184741974
tv,0.08240342140197754
za,0.0761677697300911
mr,0.0740358978509903
sg,0.0705871731042862
mn,0.07048571109771729
gb-nir,0.06936002522706985
gb,0.06936002522706985
sh,0.06936002522706985
tn,0.06879221647977829
tm,0.06354212760925293
bv,0.061423249542713165
no,0.061423249542713165
sj,0.061423249542713165
ph,0.058478984981775284
tc,0.055884070694446564
fk,0.052734375
es,0.05072159320116043
fm,0.04950500279664993
