Image,Similarity
bd,0.4828886091709137
kp,0.45175135135650635
mw,0.4217201769351959
sr,0.38089314103126526
de,0.36014753580093384
kh,0.35223034024238586
ga,0.32683056592941284
ax,0.3209770619869232
by,0.3199118673801422
cn,0.31958118081092834
ke,0.3031024634838104
gy,0.2948496639728546
sc,0.287579208612442
ss,0.28639447689056396
tl,0.28516674041748047
qa,0.2836274206638336
zw,0.2795553505420685
st,0.27797242999076843
cr,0.2547163963317871
jm,0.24632206559181213
az,0.22795572876930237
gb-nir,0.22766579687595367
gb,0.22766579687595367
sh,0.22766579687595367
dm,0.22756852209568024
ma,0.2268330454826355
bh,0.2095034271478653
lk,0.20416802167892456
id,0.20315492153167725
np,0.19497090578079224
bs,0.19457796216011047
vn,0.19077202677726746
tr,0.1897074282169342
ge,0.18755826354026794
tz,0.18619677424430847
to,0.18544040620326996
cd,0.18358463048934937
gb-wls,0.18163800239562988
sx,0.18053752183914185
kg,0.1775965392589569
jp,0.17379558086395264
sz,0.1722322404384613
mk,0.17116764187812805
tw,0.17055687308311462
na,0.16974209249019623
mc,0.16776791214942932
me,0.16649553179740906
wf,0.1664605438709259
is,0.16339527070522308
im,0.15914195775985718
al,0.15679936110973358
ws,0.15591859817504883
ki,0.15285789966583252
tg,0.1513175517320633
ca,0.15090668201446533
li,0.14323748648166656
sg,0.1356816589832306
se,0.13137981295585632
bm,0.12514248490333557
af,0.12325993925333023
gb-eng,0.12311889976263046
gg,0.12125446647405624
gh,0.11886496841907501
gn,0.11439882963895798
ao,0.11351748555898666
km,0.10863105952739716
pw,0.10689965635538101
om,0.10526059567928314
je,0.09396141767501831
ee,0.09138426929712296
br,0.08829496055841446
hk,0.08765819668769836
ug,0.08660133183002472
pt,0.08407945930957794
tt,0.08065204322338104
jo,0.07949614524841309
cm,0.07926470041275024
pg,0.07377755641937256
tn,0.07375278323888779
cv,0.06954099237918854
lr,0.0648372620344162
cx,0.06453683972358704
sl,0.0610794760286808
es,0.06085310876369476
bo,0.05122898519039154
my,0.05088430643081665
mh,0.050826843827962875
mz,0.04503364861011505
rs,0.04469514265656471
hr,0.04005539044737816
ph,0.03997841477394104
vu,0.0389789454638958
eh,0.03615700453519821
tc,0.03599048778414726
au,0.03472597897052765
hm,0.03472597897052765
nr,0.03408722206950188
va,0.03264927119016647
nz,0.02856714092195034
ky,0.027799632400274277
ht,0.025770951062440872
fo,0.02111022174358368
ch,0.01907956600189209
dk,0.01683967560529709
vg,0.014047225005924702
pe,0.013812161982059479
mu,0.01379479467868805
ai,0.013170166872441769
kn,0.012150274589657784
um,0.011111609637737274
us,0.011111609637737274
bf,0.010437265038490295
ck,0.008748490363359451
pn,0.00819777138531208
gi,0.006916597485542297
cu,0.006822764873504639
lv,0.006300978362560272
ba,0.004609575495123863
cw,0.004214784130454063
vi,0.0025992169976234436
ps,0.001893751323223114
gw,0.0010056141763925552
gs,-0.000372517853975296
tf,-0.0013929307460784912
mt,-0.0024301186203956604
io,-0.0042671458795666695
md,-0.006486669182777405
mg,-0.007348470389842987
nu,-0.007772302255034447
bj,-0.008592940866947174
ms,-0.009093927219510078
be,-0.010084821842610836
pk,-0.010091320611536503
py,-0.010449929162859917
sv,-0.011031215079128742
kr,-0.011455606669187546
td,-0.011477701365947723
bt,-0.011525280773639679
fk,-0.012509563006460667
ly,-0.013094086199998856
zm,-0.013509053736925125
xk,-0.013704728335142136
tk,-0.015716079622507095
ci,-0.01607792265713215
ni,-0.016890550032258034
cy,-0.021275237202644348
cg,-0.021898925304412842
bn,-0.02286127209663391
dz,-0.023897651582956314
bb,-0.02806279808282852
as,-0.028073016554117203
lu,-0.029744401574134827
do,-0.03397834673523903
bw,-0.03438892215490341
ag,-0.03493514284491539
gl,-0.03682716190814972
ne,-0.037205953150987625
il,-0.03933068737387657
gq,-0.039826326072216034
cc,-0.040203750133514404
ro,-0.040311239659786224
bq,-0.04086998105049133
nl,-0.04086998105049133
hn,-0.04176640883088112
mp,-0.04368489235639572
gu,-0.043717317283153534
kw,-0.04432572424411774
vc,-0.045158568769693375
et,-0.045401282608509064
ml,-0.049146413803100586
gb-sct,-0.04928427189588547
pl,-0.05086366459727287
ar,-0.05160130560398102
pa,-0.05310630053281784
