Image,Similarity
tv,0.7483280897140503
ar,0.5685226917266846
gt,0.536558985710144
ng,0.4708252549171448
gr,0.462730348110199
il,0.443970650434494
uy,0.4195753335952759
kz,0.3514436483383178
kr,0.3459107577800751
mx,0.3427514135837555
it,0.3285274505615234
ca,0.3139473795890808
fr,0.2834544777870178
jp,0.2800828814506531
cu,0.2757466435432434
py,0.2729414999485016
pw,0.2715499997138977
id,0.2555164992809295
dz,0.2507127821445465
au,0.2305434048175811
nz,0.209328293800354
us,0.205712005496025
cr,0.1942576915025711
pe,0.1906467378139495
as,0.1570822298526764
in,0.1471094340085983
th,0.1131657212972641
bz,0.0805363208055496
se,0.07870614528656
pl,0.067768856883049
ru,0.0490894243121147
gb,0.0263076946139335
do,0.026229940354824
cl,-0.0061147660017013
za,-0.0115547403693199
eg,-0.0227669849991798
sb,-0.0768298059701919
ua,-0.10065458714962
br,-0.1092085093259811
jm,-0.1383068114519119
co,-0.1421994864940643
sa,-0.1499195396900177
pk,-0.1536770910024643
ec,-0.1541016995906829
bo,-0.1697371900081634
vu,-0.1805818825960159
ve,-0.2201655358076095
ht,-0.2271939814090728
ug,-0.2725658714771271
ke,-0.3021926879882812
es,-0.3285827934741974
zw,-0.3836381435394287
pg,-0.3956981301307678
vn,-0.4002928733825683
cn,-0.4191944301128387
ao,-0.4386468827724457
de,-0.4408478140830993
to,-0.4600594341754913
ma,-0.5053069591522217
ws,-0.51788330078125
