Image,Similarity
ar,0.8236327767372131
so,0.7939049005508423
gt,0.7675719857215881
sm,0.6972879767417908
ng,0.6819984912872314
fj,0.6655719876289368
aw,0.6612848043441772
cy,0.6276824474334717
ie,0.6272879242897034
ni,0.6223962306976318
gr,0.6198161840438843
il,0.6136947274208069
lc,0.6029683351516724
nf,0.5920016765594482
gb-sct,0.5789962410926819
uy,0.5655726194381714
kz,0.5466064810752869
sl,0.5301131010055542
tv,0.5206402540206909
uz,0.5040111541748047
dj,0.49855875968933105
kr,0.4951435923576355
sv,0.4879243075847626
lu,0.4853850305080414
fo,0.4818990230560303
vi,0.4767933487892151
ci,0.4681631326675415
je,0.465099960565567
hn,0.4601551592350006
bw,0.45481815934181213
fi,0.4529270827770233
mx,0.438257098197937
it,0.4330284595489502
ca,0.41314321756362915
pw,0.41215282678604126
jp,0.3986304998397827
mp,0.3940548896789551
cu,0.3902410864830017
ls,0.35566815733909607
aq,0.3529057502746582
bl,0.3405967950820923
fr,0.3405967950820923
gf,0.3405967950820923
gp,0.3405967950820923
mf,0.3405967950820923
mq,0.3405967950820923
nc,0.3405967950820923
pm,0.3405967950820923
re,0.3405967950820923
yt,0.3405967950820923
sg,0.3268105983734131
io,0.32009944319725037
gb-eng,0.3194813132286072
um,0.30876854062080383
us,0.30876854062080383
gg,0.30826589465141296
cd,0.2999076843261719
dz,0.29810604453086853
va,0.297489196062088
pl,0.2862003743648529
lr,0.28439199924468994
bq,0.28343236446380615
nl,0.28343236446380615
hu,0.2791326940059662
pa,0.26928675174713135
xk,0.2676360309123993
py,0.26517677307128906
cr,0.2621726095676422
gl,0.25802358984947205
mt,0.24899327754974365
as,0.24666890501976013
si,0.24042510986328125
lb,0.23689281940460205
mc,0.2344362735748291
bi,0.22685375809669495
rw,0.2248789370059967
do,0.22322531044483185
pe,0.22316551208496094
in,0.2004806399345398
ir,0.19829900562763214
cv,0.19616615772247314
pf,0.1922319531440735
bg,0.187727689743042
ru,0.18747906386852264
kw,0.18580546975135803
sk,0.1856098473072052
hr,0.17967993021011353
rs,0.17616170644760132
cz,0.17547133564949036
cl,0.16918855905532837
pr,0.16629363596439362
at,0.15963861346244812
km,0.1577015221118927
th,0.15701811015605927
mn,0.15081185102462769
ee,0.14833757281303406
ge,0.1457446962594986
ga,0.1417878270149231
mo,0.13808424770832062
tj,0.12591585516929626
az,0.12559275329113007
bz,0.11967860162258148
id,0.11934754252433777
ae,0.11787717044353485
tf,0.11481072008609772
ps,0.09523523598909378
gq,0.09015686810016632
ne,0.08650749176740646
se,0.07407166063785553
eu,0.06718091666698456
is,0.06486491858959198
bt,0.06310415267944336
mh,0.05905202776193619
eh,0.04950500279664993
ua,0.03679750859737396
bs,0.02443201094865799
sc,0.009415540844202042
sd,0.0065813735127449036
ye,0.002527788281440735
mg,0.0013153832405805588
mm,-0.005641395226120949
za,-0.006289958953857422
cf,-0.009600326418876648
ki,-0.010274350643157959
gb-nir,-0.011883486062288284
gb,-0.011883486062288284
sh,-0.011883486062288284
bn,-0.021014615893363953
cx,-0.024853020906448364
my,-0.026591094210743904
np,-0.03043092042207718
dk,-0.03322315961122513
om,-0.03568205237388611
ba,-0.042023614048957825
sb,-0.04215415567159653
eg,-0.04369997978210449
fk,-0.04574611783027649
gi,-0.049047261476516724
iq,-0.05310364067554474
gu,-0.05532614886760712
sr,-0.058412160724401474
gy,-0.05982556939125061
nr,-0.06718887388706207
ck,-0.07298076152801514
ai,-0.07671438157558441
br,-0.07828743010759354
jo,-0.08121582865715027
kh,-0.08246361464262009
sn,-0.08347845822572708
sy,-0.09191105514764786
