Image,Similarity
it,0.960882306098938
pe,0.786413848400116
mx,0.7691680788993835
gt,0.6409384608268738
ng,0.6397560834884644
cl,0.4337903261184692
us,0.3459510803222656
ar,0.3343203663825989
do,0.3054385781288147
pl,0.2952658534049988
fj,0.2834544777870178
kr,0.2662788331508636
gr,0.2619392275810241
id,0.2409752309322357
dz,0.2398214638233184
bz,0.2207955420017242
il,0.1866228729486465
uy,0.1850822418928146
as,0.1648167073726654
cr,0.1426084637641906
cu,0.1424722969532013
ca,0.1254927515983581
py,0.1177026480436325
ru,0.1113770455121994
th,0.1078394576907157
in,0.094330109655857
vn,0.0922671854496002
es,0.0744707733392715
ug,0.059023879468441
pw,0.0548360347747802
gb,0.0522753447294235
ec,0.0405558384954929
kz,0.0318616367876529
co,0.0292132571339607
ua,0.0242509245872497
cn,0.0212498232722282
tv,0.0084401294589042
eg,0.0063018724322319
jp,-0.0095174890011549
ht,-0.0203433018177747
se,-0.0391502380371093
za,-0.0413572564721107
ve,-0.0434478223323822
ws,-0.0609642751514911
bo,-0.1165769174695015
ma,-0.1275931298732757
jm,-0.1333113014698028
de,-0.1435227841138839
zw,-0.1629268527030944
to,-0.1657755374908447
vu,-0.183536559343338
ao,-0.1901191920042038
br,-0.191324308514595
pg,-0.2088465094566345
ke,-0.2115368694067001
sb,-0.2138031870126724
sa,-0.2388458847999572
nz,-0.2820844054222107
au,-0.2833524942398071
pk,-0.3072812557220459
