Image,Similarity
bs,0.7469397187232971
sl,0.5958921313285828
st,0.5853149890899658
ni,0.5689330697059631
sv,0.5246049165725708
jm,0.5018985271453857
hn,0.4737033545970917
se,0.4721733331680298
pw,0.4651634097099304
az,0.4290826916694641
ar,0.4270971715450287
ax,0.4216316342353821
uz,0.4203304350376129
gy,0.41872015595436096
ps,0.3773474097251892
eh,0.3732706606388092
ae,0.37159258127212524
kz,0.3611130118370056
jo,0.3525550365447998
cx,0.33004289865493774
er,0.32683056592941284
ls,0.30550241470336914
gh,0.28990423679351807
as,0.28905606269836426
kw,0.28565168380737305
gb-sct,0.27137330174446106
kh,0.26156869530677795
lu,0.25792741775512695
bq,0.2506882846355438
nl,0.2506882846355438
il,0.25066161155700684
mo,0.24660128355026245
rw,0.2449825257062912
bo,0.24461771547794342
hr,0.22859643399715424
py,0.22528448700904846
mh,0.221938356757164
br,0.21941569447517395
sr,0.20457448065280914
dm,0.20374277234077454
cv,0.20346158742904663
cd,0.20213583111763
aq,0.19969695806503296
ir,0.19587533175945282
ss,0.19534219801425934
is,0.18617913126945496
bd,0.1813390702009201
cc,0.1801144778728485
cg,0.1778128445148468
gq,0.17201896011829376
so,0.17076559364795685
cy,0.1569945216178894
gr,0.15310688316822052
xk,0.15078282356262207
mw,0.1477227807044983
cr,0.14746874570846558
fm,0.1417878270149231
tz,0.14155516028404236
va,0.13634459674358368
ng,0.13293348252773285
dj,0.13108126819133759
kp,0.12943407893180847
nr,0.1292404681444168
ie,0.12575697898864746
ke,0.12550628185272217
et,0.1212337464094162
hu,0.1181204617023468
tk,0.11680499464273453
ne,0.11642122268676758
ci,0.1154346913099289
sa,0.1097087636590004
ki,0.10730967670679092
gt,0.10704515874385834
zm,0.1011631116271019
gg,0.09806568175554276
dz,0.09595013409852982
bw,0.09466328471899033
gb-nir,0.09171779453754425
gb,0.09171779453754425
sh,0.09171779453754425
tj,0.08939933776855469
sc,0.0821002796292305
ml,0.08133096992969513
fj,0.0794730931520462
mp,0.07923508435487747
it,0.07895335555076599
ba,0.07893379777669907
sm,0.07639750838279724
es,0.07278532534837723
sg,0.07273459434509277
ca,0.07258620858192444
do,0.07073891907930374
sb,0.07071665674448013
mc,0.06993016600608826
gn,0.06888601928949356
tm,0.06760144233703613
gw,0.06736955046653748
je,0.06528647243976593
bz,0.06258668005466461
nf,0.06222086399793625
eg,0.06116655468940735
ye,0.055734798312187195
pk,0.05525192990899086
na,0.05500797554850578
de,0.05114658176898956
km,0.0493210107088089
id,0.04678329825401306
bj,0.04617968201637268
bt,0.04455053061246872
cu,0.04254830628633499
nu,0.0414777509868145
sd,0.03907960653305054
mx,0.03730104863643646
vi,0.033712439239025116
bl,0.029593098908662796
fr,0.029593098908662796
gf,0.029593098908662796
gp,0.029593098908662796
mf,0.029593098908662796
mq,0.029593098908662796
nc,0.029593098908662796
pm,0.029593098908662796
re,0.029593098908662796
yt,0.029593098908662796
ge,0.022714190185070038
sn,0.02234070934355259
gb-eng,0.02207040786743164
ro,0.01768709160387516
pa,0.012929931282997131
tv,0.012283042073249817
iq,0.01084938645362854
td,0.010580824688076973
um,0.010468235239386559
us,0.010468235239386559
ua,0.010157085955142975
kr,0.007053889334201813
lk,0.005175831262022257
jp,0.003922775387763977
sy,0.0011167079210281372
by,-9.151292033493519e-06
tg,-0.0013574715703725815
io,-0.003155253827571869
gu,-0.0033463705331087112
mr,-0.008030551485717297
mt,-0.010280332528054714
lr,-0.01187305711209774
vc,-0.01400885172188282
lc,-0.014795515686273575
lv,-0.017212778329849243
om,-0.017739668488502502
ee,-0.02178509533405304
be,-0.022485937923192978
za,-0.023624323308467865
pf,-0.025904987007379532
in,-0.026176393032073975
mu,-0.02716067060828209
mk,-0.030552059412002563
sz,-0.033232178539037704
pe,-0.033779434859752655
kn,-0.03484438359737396
uy,-0.043667618185281754
fo,-0.04454158991575241
af,-0.044654298573732376
gl,-0.044958144426345825
mn,-0.0512702502310276
cf,-0.05169299989938736
bi,-0.05521556735038757
vn,-0.056385740637779236
cm,-0.05955119431018829
kg,-0.06253854930400848
pt,-0.0626424178481102
mg,-0.06851162761449814
np,-0.07041877508163452
pl,-0.07404264807701111
ph,-0.07888905704021454
at,-0.08189401775598526
dk,-0.08234453201293945
bf,-0.08562763035297394
cl,-0.08921359479427338
sx,-0.08942878246307373
ad,-0.08982086926698685
ch,-0.09239904582500458
my,-0.0966823622584343
ht,-0.09672829508781433
gb-wls,-0.09692102670669556
tc,-0.09839114546775818
cw,-0.0987984836101532
ai,-0.10090433061122894
ec,-0.10121598839759827
eu,-0.102211594581604
md,-0.10498662292957306
bb,-0.10644745081663132
tf,-0.11085102707147598
lb,-0.11775504797697067
tl,-0.130356103181839
pn,-0.13177499175071716
aw,-0.1365501880645752
ag,-0.13727109134197235
mm,-0.1384507119655609
co,-0.1473642885684967
vg,-0.1506253331899643
fk,-0.15077552199363708
ms,-0.1508951038122177
bh,-0.1509310007095337
ky,-0.1541096270084381
hk,-0.1556585729122162
gi,-0.15704908967018127
ck,-0.16219638288021088
nz,-0.1688878834247589
vu,-0.16968189179897308
