Image,Similarity
ge,0.9043565392494202
gg,0.8291133642196655
ca,0.7649557590484619
jp,0.677253246307373
cy,0.6445406675338745
sm,0.5421902537345886
vi,0.5388407111167908
gb-nir,0.5166510939598083
gb,0.5166510939598083
sh,0.5166510939598083
fo,0.5064590573310852
je,0.503458559513092
nf,0.47384828329086304
sg,0.449988454580307
va,0.442999929189682
bw,0.42820096015930176
gt,0.40611404180526733
pl,0.40065649151802063
lr,0.4005357027053833
ie,0.3980341851711273
cr,0.396745502948761
ar,0.39386337995529175
gl,0.37526240944862366
bt,0.37282228469848633
kr,0.36756378412246704
mt,0.36635151505470276
lc,0.3660394251346588
mc,0.36261415481567383
sc,0.3530701696872711
ng,0.34967395663261414
id,0.34829407930374146
cu,0.3329992890357971
th,0.321353018283844
fm,0.3194813132286072
mx,0.3041822910308838
cz,0.2903798520565033
pr,0.2888147532939911
nu,0.2869236171245575
um,0.2826254963874817
us,0.2826254963874817
wf,0.28181421756744385
fj,0.27821382880210876
gi,0.2772051692008972
sk,0.2716294229030609
bn,0.2699543237686157
gr,0.2698391377925873
rs,0.26927563548088074
pf,0.267278790473938
bh,0.2650952935218811
gb-sct,0.26191291213035583
om,0.26062431931495667
cl,0.2573266327381134
fi,0.25179988145828247
lb,0.24996843934059143
pe,0.2459004819393158
il,0.24340222775936127
km,0.23628629744052887
uy,0.23279769718647003
ci,0.23068632185459137
kp,0.2244846522808075
ru,0.22364680469036102
dz,0.21408024430274963
bi,0.2100893259048462
ee,0.20441901683807373
cf,0.1993781179189682
mg,0.191458061337471
bg,0.18825967609882355
vc,0.18551599979400635
sr,0.18208275735378265
my,0.17722627520561218
it,0.1713533103466034
kg,0.16006416082382202
si,0.15977488458156586
pa,0.15703850984573364
gd,0.1454046666622162
cg,0.1443452537059784
cn,0.14229515194892883
io,0.14119857549667358
md,0.1411120891571045
bm,0.13921546936035156
pw,0.13012643158435822
lu,0.12585453689098358
bl,0.12316220253705978
fr,0.12316220253705978
gf,0.12316220253705978
gp,0.12316220253705978
mf,0.12316220253705978
mq,0.12316220253705978
nc,0.12316220253705978
pm,0.12316220253705978
re,0.12316220253705978
yt,0.12316220253705978
er,0.12311889976263046
dj,0.12280075252056122
at,0.11809960752725601
tr,0.11147212982177734
aw,0.10296452790498734
to,0.10244640707969666
np,0.09615926444530487
sn,0.0887451022863388
ec,0.08651237189769745
gb-wls,0.08646011352539062
ml,0.08535879850387573
cm,0.08159606158733368
lk,0.08135039359331131
gn,0.07686667144298553
so,0.07536377012729645
mk,0.07231020927429199
tl,0.07196082174777985
az,0.06967005133628845
ki,0.0654139369726181
dk,0.06235721334815025
ad,0.06071930378675461
hk,0.05905415490269661
ax,0.05821148306131363
es,0.054743438959121704
tw,0.05404175817966461
co,0.053872764110565186
mm,0.0518617257475853
ir,0.045205846428871155
in,0.042165398597717285
ro,0.040442101657390594
bj,0.037333887070417404
gy,0.03630491718649864
ne,0.03533969074487686
mz,0.03471224009990692
ua,0.03191143274307251
ba,0.022571558132767677
ga,0.02207040786743164
vn,0.01613719016313553
hu,0.003903523087501526
td,0.0024324730038642883
cd,-0.00026407092809677124
ni,-0.0006212517619132996
tv,-0.012838661670684814
zw,-0.013037309050559998
tn,-0.013539120554924011
im,-0.013636529445648193
tg,-0.01868870109319687
za,-0.026460740715265274
kz,-0.027220025658607483
tj,-0.028598502278327942
tk,-0.029707886278629303
lt,-0.03007497265934944
uz,-0.0315408855676651
py,-0.032282475382089615
sl,-0.03360721841454506
ls,-0.03440319746732712
gw,-0.03455117717385292
se,-0.036080677062273026
ve,-0.040090128779411316
sz,-0.04303252696990967
bv,-0.04834940657019615
no,-0.04834940657019615
sj,-0.04834940657019615
ug,-0.05116887390613556
gq,-0.05165758728981018
st,-0.05276554077863693
bb,-0.05418608337640762
gm,-0.05496884137392044
de,-0.05871284008026123
ma,-0.0644184947013855
by,-0.0677822083234787
bq,-0.07084421813488007
nl,-0.07084421813488007
mu,-0.07262439280748367
al,-0.07344654202461243
hr,-0.07373848557472229
rw,-0.07633218914270401
is,-0.07828833907842636
sv,-0.08355768769979477
