Image,Similarity
cu,0.388268232345581
cr,0.29483163356781
ke,0.2488979697227478
ca,0.2395437359809875
cn,0.2306564152240753
il,0.2124741524457931
to,0.1683871299028396
jm,0.1664235442876815
es,0.1637306064367294
jp,0.1610175222158432
ar,0.1442103683948516
pl,0.1419283896684646
id,0.1403938680887222
ws,0.1347246319055557
as,0.1297701299190521
ma,0.1278371065855026
th,0.1171153411269187
py,0.1169261708855629
vn,0.1116286814212799
pe,0.106668546795845
cl,0.1015238612890243
de,0.0996474176645279
eg,0.0924915298819542
mx,0.0852290615439415
gt,0.0793600752949714
bo,0.0719659999012947
gr,0.0672924742102623
pw,0.0620948746800422
kr,0.0525942035019397
fr,0.0522753447294235
zw,0.0503586307168006
dz,0.0473429188132286
ao,0.0455488413572311
in,0.043350975960493
pg,0.0425005629658699
bz,0.0370279178023338
it,0.0344325229525566
ht,0.0313761010766029
us,0.0290083158761262
fj,0.0263076946139335
ng,0.0214138366281986
za,0.0167833212763071
ug,0.0105190426111221
vu,-0.0120233092457056
se,-0.0175456851720809
br,-0.018155813217163
uy,-0.0230462606996297
au,-0.0258294939994812
nz,-0.029786080121994
ua,-0.0381905250251293
co,-0.0535329431295394
ru,-0.0589407347142696
ec,-0.06016506254673
sb,-0.0608343482017517
kz,-0.0735640525817871
tv,-0.0904453992843627
pk,-0.0943783074617385
ve,-0.1205377057194709
sa,-0.1350120902061462
do,-0.2737907767295837
