Image,Similarity
lt,0.539057195186615
ml,0.49079862236976624
ug,0.479802668094635
mm,0.4777545928955078
vc,0.4674009084701538
gn,0.4638140797615051
nu,0.4516400098800659
zw,0.44385358691215515
td,0.4423874616622925
es,0.4382387697696686
md,0.4329710304737091
ve,0.42041876912117004
ro,0.4174328148365021
am,0.41038915514945984
sn,0.39727234840393066
kg,0.3913283944129944
bt,0.3801433742046356
ec,0.37984535098075867
mk,0.37880629301071167
ad,0.359815388917923
bn,0.34965258836746216
cg,0.34669458866119385
vn,0.3386056423187256
co,0.3280319571495056
be,0.32450273633003235
th,0.3231014609336853
tg,0.3230506181716919
bj,0.31891387701034546
va,0.3176921606063843
cn,0.3079867660999298
tl,0.3036816716194153
bi,0.29349806904792786
bg,0.2827491760253906
cm,0.2794613540172577
me,0.2743282914161682
wf,0.2594533860683441
pr,0.2590354084968567
bb,0.25434479117393494
hk,0.253278523683548
tr,0.24637284874916077
mr,0.24058657884597778
mv,0.24035437405109406
pt,0.23685726523399353
tk,0.23479992151260376
ma,0.23248767852783203
ch,0.23119939863681793
gw,0.22890323400497437
tn,0.22706007957458496
af,0.22565540671348572
cz,0.22044402360916138
ru,0.21830004453659058
lk,0.20836982131004333
si,0.20278236269950867
im,0.2025776505470276
sc,0.200290709733963
to,0.19707000255584717
ag,0.18935677409172058
at,0.18355804681777954
gg,0.18280808627605438
lb,0.1825009137392044
id,0.1807814985513687
al,0.16959041357040405
ge,0.16909903287887573
cf,0.16879931092262268
pf,0.168039470911026
bh,0.16681410372257233
tw,0.16664721071720123
gm,0.16602879762649536
km,0.16454258561134338
rs,0.162108913064003
pe,0.16017162799835205
sk,0.15974675118923187
bm,0.1563268005847931
la,0.1559441089630127
sg,0.15117120742797852
ci,0.15071135759353638
cl,0.15053877234458923
de,0.14919480681419373
gb-eng,0.1454046666622162
mz,0.1345748007297516
mc,0.1301177740097046
ie,0.12962856888771057
pl,0.12407096475362778
it,0.12218964099884033
ca,0.11865133792161942
mt,0.11775431036949158
vi,0.11699410527944565
my,0.11645980924367905
bf,0.11605846881866455
gl,0.11578232049942017
mx,0.11545531451702118
cy,0.11273214966058731
ng,0.11025136709213257
gi,0.1084512397646904
gq,0.10282150655984879
cr,0.10236198455095291
dk,0.101061150431633
bl,0.10104939341545105
fr,0.10104939341545105
gf,0.10104939341545105
gp,0.10104939341545105
mf,0.10104939341545105
mq,0.10104939341545105
nc,0.10104939341545105
pm,0.10104939341545105
re,0.10104939341545105
yt,0.10104939341545105
ne,0.10093608498573303
mu,0.09931516647338867
lr,0.08710603415966034
je,0.08613859862089157
ua,0.07986685633659363
ao,0.07643209397792816
ki,0.07519777864217758
bv,0.07494790107011795
no,0.07494790107011795
sj,0.07494790107011795
gy,0.07098355889320374
fo,0.07072020322084427
mg,0.06815260648727417
in,0.06660456955432892
ba,0.06307031959295273
ws,0.059036146849393845
kn,0.058521393686532974
ir,0.05498369038105011
gt,0.05460631847381592
pg,0.05351463705301285
jp,0.05004583299160004
zm,0.04870881140232086
tj,0.039583757519721985
sz,0.03663456439971924
sr,0.03436246141791344
cc,0.032425493001937866
um,0.03213481605052948
us,0.03213481605052948
qa,0.03066062182188034
fi,0.026522129774093628
bo,0.02630285918712616
om,0.019832581281661987
st,0.01628842204809189
lc,0.012040827423334122
ly,0.0112529918551445
nf,0.008462324738502502
vu,0.00445740669965744
tt,0.0008465200662612915
by,-8.545070886611938e-05
cu,-0.00020147860050201416
kp,-0.0051605841144919395
dz,-0.011841703206300735
lv,-0.015165958553552628
gh,-0.024806030094623566
sy,-0.025366060435771942
hu,-0.025519318878650665
gb-wls,-0.025564901530742645
gb-nir,-0.027641501277685165
