Image,Similarity
gb-eng,0.9043565392494202
gg,0.7509804964065552
ca,0.6635661721229553
jp,0.5719561576843262
gb-nir,0.540043294429779
gb,0.540043294429779
sh,0.540043294429779
cy,0.5299591422080994
je,0.46048787236213684
vi,0.4406197667121887
sg,0.41638973355293274
bt,0.40523120760917664
nf,0.3990013599395752
va,0.3984329402446747
sm,0.3959961533546448
lr,0.3888133764266968
sc,0.38131529092788696
pl,0.37687212228775024
fo,0.3762906789779663
ie,0.3749009966850281
wf,0.36374056339263916
id,0.3573329448699951
gl,0.35561078786849976
mc,0.3464403748512268
mt,0.3453848958015442
kr,0.3341887891292572
bh,0.3262585401535034
cr,0.31997621059417725
mx,0.3194675147533417
nu,0.3184264004230499
ng,0.3083988130092621
gt,0.3074415922164917
kg,0.3068751394748688
pf,0.30669134855270386
pe,0.30548688769340515
cn,0.3042869567871094
bw,0.2962286174297333
gi,0.2861029803752899
pr,0.2846241593360901
ar,0.2761193513870239
kp,0.27602308988571167
bn,0.274076908826828
cz,0.2691681683063507
cl,0.2660769820213318
um,0.2652200758457184
us,0.2652200758457184
tr,0.26323702931404114
lb,0.2622431814670563
om,0.25686636567115784
cu,0.23983731865882874
tl,0.23900364339351654
to,0.23108536005020142
sk,0.23028427362442017
cf,0.22868940234184265
lc,0.22837847471237183
vc,0.2237633615732193
rs,0.22146736085414886
md,0.220850870013237
th,0.22073900699615479
km,0.2177773118019104
ci,0.21712295711040497
bm,0.21324792504310608
lk,0.20694668591022491
es,0.20258067548274994
mk,0.18828150629997253
er,0.18755826354026794
vn,0.18204934895038605
ml,0.18167153000831604
hk,0.17982865869998932
it,0.17965726554393768
cg,0.17838719487190247
my,0.17541895806789398
at,0.1736147701740265
il,0.17238645255565643
sr,0.17077046632766724
gd,0.16909903287887573
gn,0.16762234270572662
bi,0.1665230244398117
sn,0.1633506417274475
bl,0.1616983264684677
fr,0.1616983264684677
gf,0.1616983264684677
gp,0.1616983264684677
mf,0.1616983264684677
mq,0.1616983264684677
nc,0.1616983264684677
pm,0.1616983264684677
re,0.1616983264684677
yt,0.1616983264684677
tw,0.15950864553451538
dz,0.15749713778495789
mg,0.1558857560157776
uy,0.15588492155075073
pa,0.15318867564201355
cm,0.15129177272319794
ro,0.1512124091386795
ru,0.15045811235904694
dk,0.15043270587921143
ad,0.14706945419311523
fm,0.1457446962594986
gb-wls,0.14446942508220673
fj,0.1440701186656952
ec,0.1361391842365265
gr,0.13197576999664307
im,0.1314690113067627
td,0.12830542027950287
np,0.12301196157932281
tn,0.12163140624761581
bj,0.11976272612810135
bg,0.11904321610927582
ki,0.11813616752624512
ee,0.10641104727983475
fi,0.10535430908203125
co,0.10441296547651291
si,0.10361770540475845
ma,0.10273335874080658
gb-sct,0.1020958349108696
ax,0.0979779064655304
lu,0.09142056107521057
mm,0.08702127635478973
ir,0.0841003805398941
ne,0.07805760204792023
io,0.07722504436969757
al,0.07335600256919861
de,0.06677233427762985
gy,0.060626350343227386
pw,0.05715160816907883
mz,0.052801962941884995
in,0.05195619910955429
by,0.050039924681186676
az,0.047734133899211884
pt,0.04643908888101578
zw,0.04327547922730446
hu,0.032924823462963104
tj,0.032724134624004364
ba,0.030643276870250702
ws,0.025449786335229874
ga,0.022714190185070038
me,0.021124087274074554
ua,0.02056482434272766
bv,0.020416684448719025
no,0.020416684448719025
sj,0.020416684448719025
dj,0.019827276468276978
gw,0.016766313463449478
tk,0.015726028010249138
ug,0.010235041379928589
bb,0.00791141390800476
tg,0.004611179232597351
lt,0.0020012101158499718
be,0.0016512274742126465
gq,0.0003489479422569275
st,-0.000442249933257699
ve,-0.004400387406349182
py,-0.011268055997788906
gh,-0.012411058880388737
za,-0.018764261156320572
gm,-0.020252494141459465
mu,-0.020290907472372055
hr,-0.022946210578083992
sz,-0.026174208149313927
qa,-0.035227254033088684
aw,-0.03753674030303955
cd,-0.03797333315014839
ke,-0.04150080308318138
se,-0.042243555188179016
bq,-0.042752955108881
nl,-0.042752955108881
ls,-0.052516937255859375
bo,-0.0541083887219429
tt,-0.054497744888067245
is,-0.060662440955638885
kw,-0.06556040048599243
kn,-0.0660802572965622
bf,-0.06652690470218658
bd,-0.06708957254886627
am,-0.06744717061519623
af,-0.06758926808834076
kh,-0.06999174505472183
ni,-0.07014350593090057
so,-0.07442252337932587
sl,-0.08608341217041016
uz,-0.0867224633693695
ch,-0.09024360030889511
sx,-0.09340432286262512
ss,-0.09550028294324875
jm,-0.09615462273359299
mw,-0.1069796159863472
na,-0.10956206172704697
bs,-0.10984744876623154
as,-0.11271145939826965
eg,-0.11610980331897736
