Image,Similarity
pl,0.49578654766082764
wf,0.4782927930355072
bm,0.4631515145301819
jp,0.4597266912460327
to,0.44090479612350464
bh,0.4380313754081726
sk,0.4327097237110138
cz,0.41359907388687134
si,0.40276116132736206
gl,0.39003631472587585
bg,0.38727664947509766
ru,0.3820066452026367
tr,0.3678761124610901
cn,0.3655252158641815
pf,0.35925450921058655
ca,0.35893383622169495
tl,0.3574383556842804
tw,0.34857743978500366
lb,0.33416715264320374
cl,0.31820327043533325
lk,0.31596383452415466
ir,0.31056779623031616
at,0.3089621365070343
je,0.3001536726951599
om,0.29955485463142395
cm,0.29555121064186096
kg,0.2921431362628937
bt,0.2898930013179779
ge,0.2861029803752899
al,0.2796960473060608
gb-eng,0.2772051692008972
co,0.2723146080970764
cy,0.2648392617702484
bn,0.2625088691711426
ma,0.25972458720207214
mk,0.25712811946868896
ec,0.2556914985179901
gg,0.2529180645942688
mg,0.25290554761886597
sm,0.25129392743110657
es,0.24838422238826752
ph,0.2321198582649231
ve,0.2308359593153
gq,0.23017258942127228
vn,0.2273118495941162
gb-wls,0.22454124689102173
ws,0.21416622400283813
cf,0.21262463927268982
in,0.2124253362417221
nu,0.21066364645957947
mt,0.2097073197364807
kr,0.20620788633823395
lv,0.2027510106563568
qa,0.19745665788650513
lr,0.1974349021911621
lt,0.19514040648937225
iq,0.19026660919189453
eg,0.1899009644985199
im,0.18761245906352997
va,0.18492509424686432
kw,0.1820259690284729
md,0.17527823150157928
bj,0.1745038628578186
bv,0.17026817798614502
no,0.17026817798614502
sj,0.17026817798614502
vi,0.1676080971956253
dk,0.16331593692302704
sc,0.16159707307815552
lc,0.16095073521137238
kp,0.15658977627754211
ye,0.15304875373840332
my,0.1479739248752594
nf,0.1447993516921997
me,0.14314639568328857
sd,0.14155271649360657
fo,0.14067068696022034
gb-nir,0.13949832320213318
gb,0.13949832320213318
sh,0.13949832320213318
hk,0.13659189641475677
pt,0.12957361340522766
pr,0.12678158283233643
sy,0.12568777799606323
vc,0.11816798150539398
tt,0.11761058121919632
kn,0.11303028464317322
ne,0.11000312864780426
gd,0.1084512397646904
hr,0.108253613114357
tn,0.09951011091470718
li,0.09918217360973358
mm,0.0978763997554779
um,0.09519802778959274
us,0.09519802778959274
km,0.09439000487327576
cg,0.09433874487876892
zw,0.0912349671125412
hu,0.08834828436374664
ar,0.08767089247703552
il,0.08453746140003204
pg,0.08440487086772919
tj,0.08362427353858948
cr,0.08331059664487839
bi,0.07241534441709518
ae,0.0703125149011612
ch,0.06844007968902588
ao,0.053101737052202225
et,0.05157925933599472
sx,0.049875080585479736
gh,0.04370879381895065
bo,0.0425148643553257
dz,0.04192057251930237
pa,0.03937108442187309
fk,0.029887957498431206
uy,0.029492005705833435
py,0.028471309691667557
ax,0.026628434658050537
ht,0.024161681532859802
ai,0.021890537813305855
dj,0.01685301400721073
do,0.01668296940624714
th,0.015274658799171448
ml,0.014193214476108551
ls,0.01161624863743782
ba,0.011514686048030853
ad,0.009252391755580902
am,0.008801616728305817
er,0.006916597485542297
bq,0.003503981977701187
nl,0.003503981977701187
ua,0.0024802759289741516
az,0.0014587491750717163
gn,0.0014018416404724121
sg,-0.0009459033608436584
np,-0.008090447634458542
is,-0.008154980838298798
td,-0.009434863924980164
mz,-0.011096231639385223
as,-0.011867140419781208
gw,-0.01637072116136551
ro,-0.018073871731758118
ug,-0.018459443002939224
rw,-0.018643945455551147
tg,-0.022210992872714996
tk,-0.022401973605155945
uz,-0.022709578275680542
dm,-0.02430655062198639
sr,-0.02798617072403431
fi,-0.029788333922624588
st,-0.03549976646900177
tc,-0.03720282390713692
by,-0.037449609488248825
mv,-0.03798263147473335
ms,-0.03822039067745209
sz,-0.03934067487716675
io,-0.03952522203326225
ie,-0.03955243527889252
de,-0.04117628186941147
sv,-0.04166839271783829
gm,-0.042246006429195404
id,-0.043558843433856964
fm,-0.049047261476516724
gr,-0.04916681349277496
gs,-0.05404547229409218
af,-0.05445852503180504
na,-0.055722907185554504
bd,-0.05977456644177437
pn,-0.06418932229280472
cu,-0.06591901928186417
sn,-0.06876921653747559
ky,-0.06937448680400848
aw,-0.07096924632787704
tf,-0.07198967039585114
mc,-0.07606131583452225
gt,-0.07764028012752533
hn,-0.07966180145740509
za,-0.08106127381324768
ni,-0.08279096335172653
bb,-0.08295024186372757
vg,-0.08687689155340195
cd,-0.08784182369709015
gy,-0.08963428437709808
pe,-0.09029442071914673
mr,-0.09076084941625595
lu,-0.09154094755649567
mu,-0.09195897728204727
br,-0.09548616409301758
se,-0.10187014192342758
be,-0.10193710029125214
gb-sct,-0.10383232682943344
ng,-0.10493069142103195
bw,-0.1052088588476181
ck,-0.10688409209251404
au,-0.10956523567438126
hm,-0.10956523567438126
pw,-0.11227740347385406
nz,-0.1136055737733841
bf,-0.1157953292131424
mx,-0.11889833956956863
rs,-0.12342223525047302
sb,-0.13207319378852844
fj,-0.1351856142282486
sl,-0.13609260320663452
ke,-0.14549429714679718
la,-0.14933253824710846
ga,-0.15704908967018127
eh,-0.1571582853794098
ki,-0.15913978219032288
jm,-0.16443327069282532
ss,-0.1737353652715683
kh,-0.18344473838806152
zm,-0.18363156914710999
vu,-0.1867276132106781
cw,-0.1891862004995346
ps,-0.19153253734111786
ci,-0.19154036045074463
tz,-0.19159558415412903
mp,-0.1919749677181244
pk,-0.19404608011245728
mh,-0.1941061019897461
mw,-0.20847691595554352
aq,-0.2089284211397171
xk,-0.2147386372089386
cv,-0.22391563653945923
ag,-0.22587600350379944
so,-0.23018521070480347
ly,-0.23339934647083282
tv,-0.23343047499656677
ee,-0.2453739196062088
it,-0.24622663855552673
nr,-0.25132572650909424
bl,-0.2572706937789917
fr,-0.2572706937789917
gf,-0.2572706937789917
gp,-0.2572706937789917
mf,-0.2572706937789917
mq,-0.2572706937789917
nc,-0.2572706937789917
pm,-0.2572706937789917
re,-0.2572706937789917
yt,-0.2572706937789917
jo,-0.26389357447624207
bz,-0.26567572355270386
mn,-0.26985132694244385
kz,-0.2728777527809143
eu,-0.27498137950897217
bs,-0.278428316116333
cx,-0.2977871000766754
tm,-0.30976346135139465
cc,-0.31408753991127014
sa,-0.3223535716533661
gu,-0.3787258267402649
mo,-0.4904296398162842
