Image,Similarity
bt,0.5144701600074768
pl,0.4656766355037689
cz,0.459245890378952
cy,0.45577943325042725
sk,0.43633323907852173
je,0.4201827943325043
cl,0.40549468994140625
ca,0.40135547518730164
ie,0.39268648624420166
gg,0.39062070846557617
gi,0.39003631472587585
at,0.38077855110168457
gb-eng,0.37526240944862366
jp,0.37234047055244446
va,0.3604639768600464
sm,0.3577572703361511
ge,0.35561078786849976
lr,0.34814953804016113
si,0.34583139419555664
ar,0.3445076048374176
mt,0.3435344696044922
vi,0.3430425822734833
ng,0.3388502895832062
gt,0.33803918957710266
wf,0.32597216963768005
cg,0.32502877712249756
um,0.32375600934028625
us,0.32375600934028625
pf,0.32281410694122314
sg,0.3216598927974701
ru,0.3128805458545685
bg,0.31130287051200867
fo,0.31024473905563354
mx,0.3099876642227173
mm,0.3051055371761322
ci,0.3043198883533478
pe,0.3016798794269562
lb,0.29552847146987915
ir,0.2951693832874298
kr,0.28756794333457947
hk,0.28612035512924194
kg,0.2856390178203583
it,0.28342515230178833
ch,0.2829819619655609
bi,0.28151923418045044
nf,0.27633464336395264
bl,0.2754419445991516
fr,0.2754419445991516
gf,0.2754419445991516
gp,0.2754419445991516
mf,0.2754419445991516
mq,0.2754419445991516
nc,0.2754419445991516
pm,0.2754419445991516
re,0.2754419445991516
yt,0.2754419445991516
dk,0.26741671562194824
om,0.2654670178890228
fm,0.25802358984947205
nu,0.25631460547447205
mc,0.251993328332901
id,0.2502927780151367
mk,0.2407546043395996
pr,0.23809334635734558
fj,0.2377527356147766
hu,0.22513988614082336
cn,0.2236613631248474
tn,0.22310498356819153
il,0.22242967784404755
bh,0.21853016316890717
gq,0.2171383798122406
in,0.21630772948265076
lc,0.20518559217453003
cr,0.20152513682842255
ec,0.20148517191410065
tr,0.20084567368030548
uy,0.1930788904428482
tl,0.19117721915245056
kw,0.1895051896572113
vn,0.1787385791540146
dj,0.17814019322395325
gr,0.17650270462036133
lv,0.1742904931306839
es,0.174285888671875
kp,0.17374496161937714
km,0.17162124812602997
lu,0.17032445967197418
co,0.16993065178394318
im,0.1682630479335785
my,0.1677393764257431
bm,0.16348573565483093
gb-sct,0.16195353865623474
sn,0.1539810746908188
lk,0.14377564191818237
bq,0.14299365878105164
nl,0.14299365878105164
ml,0.14114511013031006
bn,0.14013108611106873
sd,0.13787561655044556
bj,0.13562004268169403
py,0.13444429636001587
gn,0.13404333591461182
ye,0.1330530345439911
ro,0.1327029913663864
md,0.13133949041366577
gb-wls,0.1305007040500641
th,0.12885071337223053
ad,0.12762361764907837
tj,0.1268751323223114
dz,0.1268671452999115
cu,0.12569643557071686
uz,0.12457256019115448
io,0.12315475195646286
do,0.12092847377061844
vc,0.12026114016771317
hr,0.11917322129011154
fi,0.11686771363019943
gd,0.11578232049942017
eg,0.11322308331727982
as,0.11192636936903
gb-nir,0.10390795022249222
gb,0.10390795022249222
sh,0.10390795022249222
sc,0.10118281096220016
ne,0.09852437674999237
td,0.09808937460184097
sy,0.08474511653184891
mg,0.0813666433095932
ni,0.08103365451097488
me,0.0795706957578659
sr,0.07826061546802521
az,0.0762486532330513
iq,0.07255826890468597
be,0.07237958908081055
ve,0.07227540016174316
ki,0.07129889726638794
bv,0.07056649029254913
no,0.07056649029254913
sj,0.07056649029254913
so,0.06841010600328445
sl,0.0639425590634346
aw,0.061402175575494766
cm,0.060608670115470886
kh,0.05915049836039543
bw,0.05884217098355293
hn,0.05708107352256775
cf,0.055677853524684906
tw,0.053726717829704285
ma,0.04919388145208359
ae,0.030965477228164673
pt,0.028845705091953278
ba,0.02692270837724209
lt,0.02679312974214554
pw,0.026780009269714355
aq,0.023894544690847397
sv,0.0172637477517128
to,0.012012243270874023
al,0.00968097522854805
mp,0.009203318506479263
ua,0.0059693120419979095
sz,0.005331765860319138
ug,-2.2176653146743774e-05
ax,-0.005080901086330414
np,-0.00710558146238327
rw,-0.008272364735603333
gw,-0.009506260976195335
la,-0.011464323848485947
ph,-0.01181416679173708
rs,-0.012923680245876312
gy,-0.026041584089398384
tk,-0.028354469686746597
ws,-0.0299849733710289
is,-0.030631424859166145
bz,-0.03354908898472786
tv,-0.033772848546504974
tg,-0.03552328795194626
er,-0.03682716190814972
ls,-0.03945859149098396
bb,-0.044586967676877975
ga,-0.044958144426345825
cv,-0.058844372630119324
se,-0.060011379420757294
af,-0.0605832077562809
zw,-0.061406735330820084
bo,-0.06430970132350922
mu,-0.06769710779190063
et,-0.07009883970022202
qa,-0.0710565447807312
tt,-0.07123073935508728
ht,-0.07209574431180954
za,-0.07427597045898438
gh,-0.07603977620601654
st,-0.08373679220676422
sx,-0.08406774699687958
ag,-0.09132006019353867
by,-0.09570134431123734
am,-0.1035139188170433
gm,-0.10878592729568481
xk,-0.11812111735343933
bf,-0.12415717542171478
ps,-0.1252560019493103
pg,-0.12660522758960724
pa,-0.12987220287322998
na,-0.13192808628082275
kz,-0.1323797106742859
li,-0.13423216342926025
bd,-0.13458245992660522
kn,-0.1353628933429718
ao,-0.13665272295475006
eh,-0.1457369327545166
cd,-0.14811581373214722
mh,-0.15065579116344452
mz,-0.15245775878429413
bs,-0.15705817937850952
de,-0.16197387874126434
ee,-0.16211684048175812
jm,-0.1634778529405594
mr,-0.1813984364271164
dm,-0.1847805678844452
jo,-0.18903948366641998
mv,-0.20080746710300446
mn,-0.20823881030082703
br,-0.22747869789600372
sb,-0.23111754655838013
tf,-0.23411688208580017
ai,-0.24023841321468353
mo,-0.24324139952659607
fk,-0.2441038191318512
ke,-0.25984179973602295
ck,-0.26556098461151123
tc,-0.27722448110580444
ss,-0.2789674997329712
ms,-0.28299614787101746
vu,-0.28602343797683716
pk,-0.29237908124923706
au,-0.29307353496551514
hm,-0.29307353496551514
gs,-0.2947032153606415
cw,-0.3011341094970703
cx,-0.30253711342811584
mw,-0.30397534370422363
pn,-0.31586459279060364
ky,-0.32003718614578247
vg,-0.321347177028656
nz,-0.3218093514442444
nr,-0.3536990284919739
eu,-0.35964274406433105
gu,-0.3708079755306244
zm,-0.39811575412750244
ly,-0.40902307629585266
tm,-0.44984424114227295
sa,-0.4690425395965576
cc,-0.48397454619407654
tz,-0.523855984210968
