Image,Similarity
sy,0.5038431882858276
iq,0.496013879776001
am,0.4620640277862549
eg,0.437580406665802
sd,0.4339390993118286
ye,0.4258427619934082
ne,0.41976743936538696
vu,0.38927915692329407
bo,0.3733154535293579
in,0.36792659759521484
by,0.360143780708313
py,0.3594875931739807
bf,0.35700085759162903
hu,0.35116541385650635
za,0.346935510635376
ao,0.34509217739105225
tj,0.3326086401939392
sx,0.3240513205528259
bq,0.31944236159324646
nl,0.31944236159324646
pg,0.30961504578590393
gh,0.308093786239624
ly,0.297247976064682
eh,0.2887471318244934
jo,0.28489041328430176
ps,0.27047643065452576
lu,0.26950767636299133
tg,0.24940751492977142
hr,0.24251656234264374
at,0.23917721211910248
qa,0.2229141741991043
la,0.2222532331943512
ss,0.22010645270347595
bv,0.21794123947620392
no,0.21794123947620392
sj,0.21794123947620392
mv,0.2156897783279419
cw,0.20834678411483765
mu,0.2053714394569397
ma,0.2003890722990036
mw,0.19389289617538452
ke,0.193630188703537
mg,0.1933128386735916
nz,0.19047820568084717
me,0.19025708734989166
pr,0.18850427865982056
au,0.18775619566440582
hm,0.18775619566440582
ms,0.18513500690460205
cu,0.18395455181598663
ag,0.18014764785766602
gs,0.179160013794899
gb-nir,0.1784629076719284
gb,0.1784629076719284
sh,0.1784629076719284
ai,0.17536699771881104
vg,0.1749788373708725
ky,0.17277468740940094
fk,0.17252959311008453
ck,0.17220145463943481
pn,0.17063529789447784
tc,0.16910706460475922
ve,0.16882818937301636
gd,0.16602879762649536
al,0.1643742024898529
tf,0.1583862602710724
tn,0.15382423996925354
tt,0.14511200785636902
lb,0.14449816942214966
gw,0.1406489610671997
hk,0.13714125752449036
zw,0.13713499903678894
af,0.13479933142662048
tr,0.13331857323646545
im,0.1321280300617218
lt,0.12725438177585602
cn,0.12625958025455475
ae,0.12118053436279297
eu,0.1207137331366539
gb-wls,0.1155349388718605
wf,0.11337505280971527
tl,0.11108212172985077
bi,0.1102239340543747
pf,0.11017076671123505
pt,0.10718508064746857
gu,0.09537360817193985
mr,0.09219899773597717
bm,0.09145931154489517
to,0.08733843266963959
pk,0.08592274785041809
id,0.08027112483978271
sa,0.07749500870704651
rs,0.07603277266025543
ls,0.07065742462873459
ba,0.07050349563360214
np,0.06732749193906784
hn,0.06524007022380829
es,0.06312476098537445
co,0.061587247997522354
vn,0.05942302569746971
kg,0.0536283440887928
tw,0.051761820912361145
mn,0.051176998764276505
bh,0.051164254546165466
ws,0.04796043038368225
na,0.04791760444641113
tv,0.04683395475149155
cm,0.04623926058411598
as,0.04466024041175842
io,0.04180159419775009
cc,0.04119691252708435
ec,0.03992237523198128
tm,0.03839818015694618
gq,0.035958483815193176
mc,0.030279602855443954
ad,0.026744889095425606
bz,0.0248037651181221
ch,0.023936385288834572
bb,0.023893479257822037
lk,0.023166991770267487
be,0.022703111171722412
my,0.021688245236873627
pa,0.021595023572444916
bw,0.02140267938375473
gr,0.020827218890190125
sv,0.02012794092297554
sc,0.018720582127571106
kh,0.018117167055606842
mk,0.017324725165963173
si,0.015367284417152405
bd,0.01229813415557146
zm,0.011473176069557667
aq,0.011315952986478806
sg,0.010664600878953934
mp,0.009912672452628613
km,0.008708901703357697
cf,0.0076697953045368195
sz,0.006166219711303711
md,0.0020836926996707916
td,0.0016730097122490406
vc,-0.0004984103143215179
bn,-0.0007335562258958817
fi,-0.011219598352909088
ro,-0.014475907199084759
ug,-0.017944227904081345
ge,-0.020252494141459465
kp,-0.021283533424139023
sn,-0.022842397913336754
gb-sct,-0.024996895343065262
sb,-0.02672411873936653
mh,-0.0307517908513546
dk,-0.03167691454291344
ir,-0.03313475847244263
mm,-0.03319534286856651
fj,-0.03671871870756149
sl,-0.03683844581246376
mo,-0.03756071254611015
kw,-0.03988799452781677
ru,-0.039999961853027344
gi,-0.042246006429195404
il,-0.044049136340618134
de,-0.04508325457572937
dm,-0.04607592523097992
gn,-0.04621443524956703
tz,-0.04676198214292526
ml,-0.05279326066374779
gb-eng,-0.05496884137392044
nr,-0.05580814555287361
dj,-0.05640660971403122
kn,-0.057772520929574966
uz,-0.05783711373806
lr,-0.05891884118318558
jm,-0.0627688318490982
li,-0.06303997337818146
cx,-0.06515844166278839
mt,-0.06517325341701508
bj,-0.06831829994916916
br,-0.0692262053489685
ni,-0.06940679252147675
dz,-0.07335232198238373
ki,-0.07393325865268707
aw,-0.07869181036949158
nu,-0.07950793206691742
fo,-0.0833740085363388
bl,-0.08393698185682297
fr,-0.08393698185682297
gf,-0.08393698185682297
gp,-0.08393698185682297
mf,-0.08393698185682297
mq,-0.08393698185682297
nc,-0.08393698185682297
pm,-0.08393698185682297
re,-0.08393698185682297
yt,-0.08393698185682297
om,-0.08464481681585312
sk,-0.08478432893753052
xk,-0.08578485250473022
pe,-0.09243728220462799
lv,-0.0937415137887001
bt,-0.10345077514648438
cz,-0.10542014986276627
bg,-0.10819343477487564
gl,-0.10878592729568481
tk,-0.11328991502523422
th,-0.11642186343669891
it,-0.11992036551237106
et,-0.12217666953802109
cd,-0.12248797714710236
st,-0.12528640031814575
ht,-0.12653693556785583
do,-0.12724539637565613
mz,-0.13015221059322357
sm,-0.13821974396705627
ax,-0.13863345980644226
gy,-0.13981004059314728
mx,-0.14614872634410858
ci,-0.14657339453697205
so,-0.14871664345264435
ph,-0.1529754400253296
is,-0.1532963663339615
nf,-0.15481986105442047
kr,-0.15768179297447205
er,-0.15788798034191132
cl,-0.16003453731536865
ar,-0.17059123516082764
gg,-0.17218628525733948
lc,-0.17430201172828674
ng,-0.17560364305973053
ie,-0.17654816806316376
cv,-0.17734535038471222
pl,-0.1779704988002777
bs,-0.18235190212726593
gt,-0.18631380796432495
ua,-0.18907929956912994
va,-0.19106847047805786
je,-0.19935227930545807
kz,-0.20489729940891266
fm,-0.20546025037765503
jp,-0.20932838320732117
rw,-0.21082594990730286
ca,-0.21289479732513428
sr,-0.21614953875541687
cg,-0.22207392752170563
cy,-0.2265896201133728
vi,-0.2340354025363922
uy,-0.24685753881931305
pw,-0.26405322551727295
cr,-0.26553773880004883
um,-0.2694157063961029
us,-0.2694157063961029
se,-0.33885055780410767
az,-0.3435055613517761
ee,-0.378385454416275
ga,-0.4291732907295227
