Image,Similarity
td,0.5897076725959778
bb,0.5882449150085449
ro,0.5433542728424072
ci,0.4970657229423523
ml,0.4888254702091217
kg,0.4719666540622711
vc,0.4686812162399292
gd,0.4638140797615051
ad,0.46257099509239197
af,0.4508804678916931
vn,0.4425106346607208
nu,0.4387526512145996
es,0.4191739857196808
sn,0.41092854738235474
mk,0.4091549813747406
va,0.3994269073009491
be,0.3859291076660156
md,0.3804655373096466
bt,0.3761473000049591
mm,0.37212198972702026
gw,0.3670830726623535
me,0.328902006149292
pe,0.3201637268066406
hk,0.31253838539123535
cn,0.3110009431838989
gy,0.3075149953365326
ch,0.30724287033081055
ug,0.29643648862838745
tg,0.2961699366569519
tl,0.29553043842315674
bn,0.2892860770225525
tn,0.28712207078933716
st,0.27679166197776794
ec,0.2736266851425171
bd,0.24463382363319397
wf,0.2388889491558075
im,0.23730653524398804
sc,0.23605966567993164
zw,0.235502690076828
co,0.22763869166374207
gt,0.2252538949251175
de,0.22503867745399475
ng,0.22336545586585999
ki,0.2213643491268158
lk,0.220821350812912
lt,0.2121226191520691
cg,0.2094903290271759
cl,0.20735225081443787
ma,0.2066710889339447
dk,0.20425108075141907
bl,0.19901300966739655
fr,0.19901300966739655
gf,0.19901300966739655
gp,0.19901300966739655
mf,0.19901300966739655
mq,0.19901300966739655
nc,0.19901300966739655
pm,0.19901300966739655
re,0.19901300966739655
yt,0.19901300966739655
id,0.1976083666086197
at,0.1966852843761444
ax,0.18615782260894775
bo,0.18115517497062683
gg,0.18078237771987915
tr,0.18073973059654236
gq,0.17232507467269897
bi,0.1714937686920166
ne,0.16836321353912354
ge,0.16762234270572662
sg,0.159854918718338
gh,0.1563894897699356
pw,0.15144017338752747
it,0.151210218667984
mc,0.14685757458209991
pl,0.14137037098407745
by,0.14120271801948547
je,0.13977409899234772
bf,0.13593029975891113
gl,0.13404333591461182
cy,0.1305067241191864
tk,0.12613195180892944
sr,0.1237211525440216
om,0.12354450672864914
mu,0.1234409511089325
lr,0.12212490290403366
ve,0.1220962256193161
se,0.12193840742111206
in,0.1211901307106018
tj,0.1211572140455246
mx,0.12095702439546585
vi,0.1185002475976944
ie,0.11553634703159332
mz,0.1147017627954483
ir,0.11456508934497833
er,0.11439882963895798
ag,0.11006736010313034
bj,0.106560617685318
mw,0.10618842393159866
lv,0.10536366701126099
gb-wls,0.10455198585987091
ao,0.10269125550985336
to,0.10206788778305054
la,0.10137085616588593
pt,0.10133450478315353
bm,0.10127365589141846
km,0.09905087947845459
al,0.09754630923271179
pf,0.0957675501704216
hu,0.09507591277360916
do,0.09388177841901779
mr,0.09190063178539276
ca,0.09127223491668701
um,0.08964641392230988
us,0.08964641392230988
cf,0.08659479022026062
ua,0.08521122485399246
cz,0.08437705785036087
cc,0.07728927582502365
jm,0.07701534032821655
gb-eng,0.07686667144298553
lb,0.0717325210571289
ga,0.06888601928949356
am,0.0656844824552536
sk,0.06515417248010635
rs,0.06488741934299469
tt,0.0631747916340828
kw,0.059303004294633865
dm,0.05598105862736702
eg,0.048648517578840256
ye,0.04395352303981781
gb-nir,0.04304483160376549
gb,0.04304483160376549
sh,0.04304483160376549
bg,0.04088151082396507
sd,0.04078429564833641
sy,0.03532605618238449
kp,0.035313680768013
vu,0.035260654985904694
sz,0.035205598920583725
np,0.02898048423230648
mt,0.02463553100824356
ke,0.02392113208770752
jo,0.021432870998978615
kr,0.015974141657352448
iq,0.014318974688649178
mv,0.009278468787670135
nf,0.006662160158157349
pr,0.00570794939994812
bh,0.005101928487420082
gi,0.0014018416404724121
tw,0.0004519224166870117
bz,-0.0015529543161392212
fo,-0.0016841292381286621
ba,-0.006165437400341034
lc,-0.00803506001830101
bq,-0.01082293689250946
nl,-0.01082293689250946
lu,-0.0121125727891922
qa,-0.013019181787967682
th,-0.013962935656309128
jp,-0.014044791460037231
cm,-0.014518007636070251
aq,-0.01598350703716278
bs,-0.026853162795305252
cr,-0.02884063869714737
dj,-0.028950002044439316
my,-0.02920704334974289
az,-0.030470188707113266
ly,-0.03737723082304001
py,-0.04200977087020874
ps,-0.04205898940563202
pa,-0.04324140399694443
gm,-0.04621443524956703
ae,-0.04904858022928238
dz,-0.051118575036525726
si,-0.05338123440742493
eh,-0.054174236953258514
uz,-0.05455271527171135
tm,-0.054918594658374786
na,-0.05508601665496826
ru,-0.05593271553516388
pg,-0.05695599317550659
sm,-0.05773462355136871
br,-0.0603979155421257
tz,-0.0606042705476284
mg,-0.06257438659667969
ss,-0.06348054856061935
io,-0.06537521630525589
ar,-0.06831647455692291
zm,-0.07455034554004669
ws,-0.07931550592184067
hr,-0.08355007320642471
mo,-0.09019628167152405
sl,-0.09351512789726257
rw,-0.0967957079410553
as,-0.09864529967308044
bv,-0.10323483496904373
no,-0.10323483496904373
sj,-0.10323483496904373
