Image,Similarity
ar,0.6100599765777588
gt,0.5112442970275879
fj,0.462730348110199
ng,0.4464845657348633
kz,0.3445296287536621
tv,0.3422945737838745
ca,0.322834312915802
jp,0.3147727251052856
it,0.3144462704658508
kr,0.2847930490970611
mx,0.2830232977867126
py,0.2720434665679931
fr,0.2619392275810241
dz,0.2527310848236084
cu,0.2377277314662933
pw,0.236659362912178
il,0.2342109680175781
us,0.2024457454681396
in,0.1900781095027923
pl,0.183069497346878
pe,0.1533549129962921
cl,0.1456278860569
as,0.1372764110565185
id,0.1147509291768074
cr,0.1129023879766464
do,0.1043798252940177
eg,0.0696655362844467
gb,0.0672924742102623
ru,0.0644515678286552
ua,0.0481548458337783
za,0.0438682325184345
th,0.0038203597068786
se,-0.0047966018319129
sb,-0.0218870714306831
bz,-0.039462611079216
ht,-0.0853438079357147
br,-0.1172955930233001
jm,-0.1178458556532859
ec,-0.1185245513916015
au,-0.124310091137886
nz,-0.1283415853977203
co,-0.1397826671600341
bo,-0.1568488031625747
sa,-0.1610732525587082
pk,-0.1674560606479644
uy,-0.1820842921733856
zw,-0.2510744929313659
ve,-0.2532821595668793
ug,-0.3203006386756897
ws,-0.3288264870643616
es,-0.3310329020023346
ke,-0.3502375483512878
vu,-0.363976776599884
vn,-0.3676742017269134
to,-0.3794059753417969
cn,-0.3797210454940796
de,-0.3916492760181427
pg,-0.4114288091659546
ao,-0.4654988944530487
ma,-0.4870931506156921
