Image,Similarity
nz,0.9270021915435791
ms,0.9224547743797302
vg,0.9167979955673218
au,0.9032806158065796
hm,0.9032806158065796
ky,0.8992837071418762
pn,0.89134681224823
tc,0.890514075756073
fk,0.8886122107505798
ai,0.8669889569282532
ck,0.8242921829223633
tv,0.5449670553207397
tf,0.5211687684059143
eu,0.5090562105178833
gu,0.46863940358161926
nr,0.4313199818134308
mn,0.37564271688461304
sa,0.3425489068031311
cw,0.3344060480594635
cx,0.3326560854911804
ao,0.31306421756744385
ly,0.30840417742729187
tm,0.3028944432735443
bm,0.3012653887271881
sx,0.2931146025657654
sb,0.27301475405693054
vu,0.2655588984489441
pg,0.24631904065608978
io,0.23536701500415802
pk,0.23261629045009613
xk,0.2319893091917038
np,0.22856183350086212
qa,0.22458423674106598
cc,0.2164602279663086
is,0.21261954307556152
fj,0.20870041847229004
tz,0.1965874433517456
li,0.1812041699886322
gm,0.179160013794899
mh,0.17890670895576477
mv,0.17371200025081635
ss,0.1689251959323883
ke,0.16744524240493774
zm,0.1575019359588623
mo,0.14806906878948212
bd,0.14761631190776825
bf,0.1397216022014618
ht,0.1291549950838089
bz,0.12693805992603302
kh,0.11975280940532684
to,0.11565720289945602
by,0.10902217775583267
sy,0.10712792724370956
so,0.10343383252620697
mp,0.1030997782945633
iq,0.09886054694652557
pa,0.09736882150173187
mw,0.09347262233495712
ru,0.09333666414022446
cd,0.0909251719713211
kn,0.08933097124099731
et,0.08838436752557755
kz,0.08557726442813873
ph,0.08319000899791718
dm,0.08212778717279434
cv,0.08154644817113876
ve,0.08150406926870346
gb-wls,0.0796920508146286
la,0.0780298188328743
bs,0.07497678697109222
za,0.07459797710180283
sv,0.06735779345035553
si,0.05689449608325958
eg,0.05647040903568268
sd,0.0539485439658165
ls,0.05356118083000183
ae,0.05049661174416542
se,0.04871736466884613
br,0.04867386817932129
hn,0.044636793434619904
ye,0.04419155418872833
om,0.040200117975473404
kp,0.03962171450257301
aw,0.035988129675388336
mg,0.03466184809803963
dj,0.033948805183172226
lt,0.030770080164074898
jm,0.02919633872807026
hr,0.02863256074488163
am,0.02737218141555786
al,0.02668113261461258
bv,0.025879811495542526
no,0.025879811495542526
sj,0.025879811495542526
bw,0.022849295288324356
na,0.016432683914899826
bg,0.015047697350382805
ba,0.009643638506531715
sk,0.006806809920817614
ax,0.005993379279971123
eh,0.004135794471949339
ni,0.0019990296568721533
jo,0.0004923359956592321
gh,0.00019824807532131672
er,-0.000372517853975296
ma,-0.0036971757654100657
co,-0.003965395037084818
ps,-0.00846013892441988
uy,-0.009838035330176353
py,-0.010042152367532253
bo,-0.013273386284708977
tt,-0.016977978870272636
sz,-0.018409913405776024
gb-sct,-0.02051783911883831
aq,-0.02104685828089714
az,-0.02237073704600334
mr,-0.025954067707061768
gb-nir,-0.028512410819530487
gb,-0.028512410819530487
sh,-0.028512410819530487
gw,-0.030086509883403778
ee,-0.03056102618575096
zw,-0.03154725208878517
rw,-0.032033003866672516
af,-0.039840202778577805
th,-0.04151151329278946
cu,-0.043007537722587585
me,-0.05367107689380646
gi,-0.05404547229409218
as,-0.05849193409085274
ws,-0.06159089505672455
ag,-0.06202252581715584
pw,-0.06286902725696564
bq,-0.06350287050008774
nl,-0.06350287050008774
cf,-0.06362439692020416
mz,-0.07541267573833466
im,-0.07568851113319397
lv,-0.08467093855142593
tg,-0.08504733443260193
tj,-0.08881661295890808
bh,-0.08928389102220535
bb,-0.0904209315776825
sl,-0.09287423640489578
