Image,Similarity
eu,0.701145589351654
nr,0.6780850887298584
cx,0.6303920745849609
xk,0.5803866386413574
mo,0.5650834441184998
nz,0.5317569375038147
cw,0.5276597738265991
au,0.4995056390762329
hm,0.4995056390762329
sb,0.48849159479141235
ms,0.485725998878479
sa,0.47088128328323364
gs,0.46863940358161926
mn,0.4627394378185272
vg,0.45873671770095825
ky,0.4558561444282532
mh,0.4521160125732422
tc,0.44378426671028137
ck,0.4427253305912018
pn,0.4386000335216522
fk,0.42506739497184753
ai,0.4192489683628082
bz,0.41202133893966675
pk,0.4078574776649475
tf,0.4063296616077423
so,0.3974289000034332
ht,0.3969636559486389
cv,0.38990694284439087
tm,0.3736741840839386
la,0.3598153293132782
kz,0.35480114817619324
cc,0.3465186357498169
mp,0.321189284324646
ly,0.31787535548210144
tv,0.3155379593372345
hn,0.3066883385181427
kh,0.3059694170951843
bs,0.2960398495197296
jo,0.29304710030555725
li,0.27701878547668457
bd,0.2549041211605072
ss,0.2544192969799042
is,0.24700753390789032
sv,0.2464156448841095
ps,0.23786534368991852
ao,0.2312692254781723
aq,0.228262796998024
ni,0.22240260243415833
tz,0.22165662050247192
ae,0.22120480239391327
cd,0.2142486870288849
ph,0.20778290927410126
ke,0.19881516695022583
mv,0.19742585718631744
eh,0.19511505961418152
as,0.18892426788806915
zm,0.18517935276031494
aw,0.181648850440979
na,0.1780814528465271
dm,0.1709825098514557
et,0.16321448981761932
mw,0.15832379460334778
rw,0.1559918373823166
vu,0.155661478638649
np,0.1368376910686493
pg,0.1331927478313446
qa,0.13124752044677734
ag,0.1293066442012787
sy,0.1279802769422531
za,0.1251363754272461
pw,0.12219319492578506
sx,0.11354386806488037
sl,0.10292262583971024
az,0.09990373253822327
af,0.09963630139827728
gm,0.09537360817193985
ls,0.09345728158950806
mr,0.08995283395051956
gb-sct,0.08951354026794434
sd,0.06903819739818573
jm,0.0681401938199997
ee,0.0674733817577362
uz,0.05851948261260986
hr,0.056353189051151276
ye,0.05591987445950508
iq,0.054969772696495056
ws,0.051098018884658813
se,0.04100998491048813
kn,0.03725745901465416
bq,0.022979900240898132
nl,0.022979900240898132
bf,0.015957403928041458
eg,0.014324125833809376
io,0.013300422579050064
do,0.012736538425087929
dj,0.011069389060139656
bv,0.0018877359107136726
no,0.0018877359107136726
sj,0.0018877359107136726
cu,-0.00017304718494415283
bw,-0.002084821928292513
ga,-0.0033463705331087112
tt,-0.004427239298820496
fj,-0.011037394404411316
ax,-0.0171224195510149
kw,-0.02475648745894432
py,-0.02547728642821312
bb,-0.028208889067173004
lv,-0.028784282505512238
sz,-0.03409801423549652
by,-0.03688499331474304
br,-0.0435701347887516
er,-0.043717317283153534
gr,-0.0462891161441803
fi,-0.049357928335666656
uy,-0.053025953471660614
fm,-0.05532614886760712
mu,-0.05875159427523613
il,-0.07027522474527359
am,-0.07306016236543655
gy,-0.07419873028993607
sr,-0.08990944921970367
lu,-0.09004955738782883
ba,-0.09460139274597168
ug,-0.10040207952260971
be,-0.1011071503162384
tj,-0.10141175985336304
ua,-0.10423208773136139
si,-0.10739409178495407
mz,-0.10959894955158234
tk,-0.1150658130645752
pt,-0.11816401779651642
pa,-0.12268432974815369
ru,-0.1288081407546997
gb-nir,-0.13000650703907013
gb,-0.13000650703907013
sh,-0.13000650703907013
de,-0.13090702891349792
im,-0.132973775267601
tw,-0.13405290246009827
gb-wls,-0.13601525127887726
hu,-0.1381458342075348
bl,-0.14083437621593475
fr,-0.14083437621593475
gf,-0.14083437621593475
gp,-0.14083437621593475
mf,-0.14083437621593475
mq,-0.14083437621593475
nc,-0.14083437621593475
pm,-0.14083437621593475
re,-0.14083437621593475
yt,-0.14083437621593475
me,-0.1420440673828125
dz,-0.14321503043174744
kp,-0.14760930836200714
my,-0.1562272310256958
ve,-0.1593431979417801
tg,-0.16219767928123474
bo,-0.1652286946773529
th,-0.1740688532590866
gh,-0.17578545212745667
bj,-0.17848657071590424
bm,-0.1816864013671875
it,-0.18547168374061584
ki,-0.19088785350322723
ir,-0.1966104507446289
gq,-0.2012292742729187
ma,-0.20268237590789795
cm,-0.20370502769947052
tn,-0.20485509932041168
al,-0.20517030358314514
dk,-0.20656907558441162
ch,-0.20701631903648376
bg,-0.20764057338237762
cr,-0.20834490656852722
lc,-0.2105032056570053
pr,-0.2106086015701294
rs,-0.21666240692138672
om,-0.2184913158416748
ar,-0.2208801805973053
bi,-0.2237165868282318
mg,-0.2241416871547699
cf,-0.22478686273097992
to,-0.22730210423469543
km,-0.22939252853393555
gt,-0.23453310132026672
gw,-0.23863351345062256
st,-0.23879855871200562
cz,-0.24246248602867126
zw,-0.24325188994407654
sk,-0.24415625631809235
lt,-0.2528266906738281
cl,-0.2551638185977936
td,-0.25727880001068115
ro,-0.26198670268058777
ad,-0.26405254006385803
hk,-0.26489752531051636
ng,-0.26562532782554626
tr,-0.26675039529800415
vn,-0.27454468607902527
ci,-0.27804750204086304
cg,-0.28109797835350037
um,-0.2817573845386505
us,-0.2817573845386505
co,-0.2952389717102051
in,-0.3042749762535095
ne,-0.3077840209007263
bh,-0.31549209356307983
fo,-0.31824445724487305
mm,-0.318917840719223
at,-0.31963956356048584
sm,-0.3226259648799896
mx,-0.3250247836112976
lr,-0.3365650475025177
gn,-0.3419816493988037
mt,-0.35471034049987793
ec,-0.35596543550491333
cn,-0.35836726427078247
lk,-0.3669692277908325
tl,-0.3686174750328064
gl,-0.3708079755306244
pl,-0.37439388036727905
mc,-0.37575918436050415
pe,-0.37858325242996216
gi,-0.3787258267402649
kr,-0.38252905011177063
ie,-0.3848339915275574
pf,-0.3867270052433014
es,-0.3893390893936157
sn,-0.3906800448894501
ml,-0.395478755235672
gd,-0.3982754051685333
mk,-0.3998870849609375
id,-0.41248491406440735
kg,-0.428364634513855
wf,-0.428609699010849
nf,-0.43302395939826965
lb,-0.43878257274627686
sc,-0.4433121681213379
sg,-0.45153626799583435
bn,-0.47853073477745056
md,-0.4973377287387848
vi,-0.5088962316513062
ge,-0.5151237845420837
jp,-0.5199547410011292
je,-0.5223645567893982
gb-eng,-0.5234747529029846
gg,-0.5256388187408447
vc,-0.5614917874336243
cy,-0.5658912062644958
ca,-0.5705305933952332
bt,-0.5948151350021362
va,-0.6093969941139221
nu,-0.6107015609741211
