Image,Similarity
st,0.5060215592384338
bs,0.419053316116333
ga,0.41872015595436096
sr,0.3388180732727051
ax,0.3374226689338684
jm,0.32544341683387756
az,0.3178972899913788
gn,0.3075149953365326
se,0.30749762058258057
bd,0.3032706379890442
tg,0.3024521470069885
jo,0.30103442072868347
pw,0.3003806471824646
er,0.2948496639728546
sc,0.2461664378643036
ke,0.24112246930599213
gw,0.23025499284267426
uz,0.2272394597530365
tk,0.2269357144832611
cc,0.22018665075302124
mw,0.20969709753990173
ss,0.20326825976371765
om,0.1984775960445404
sl,0.19411098957061768
gh,0.18665966391563416
nu,0.1819467395544052
es,0.17919695377349854
rw,0.17814260721206665
bo,0.17748266458511353
br,0.17605096101760864
by,0.1697998195886612
kh,0.16786755621433258
dm,0.16725793480873108
cr,0.16601337492465973
tm,0.1634955108165741
vc,0.16117215156555176
eh,0.16021311283111572
de,0.16002418100833893
zw,0.1580277532339096
ci,0.1565396785736084
kz,0.15345995128154755
va,0.15203946828842163
ps,0.1492309421300888
na,0.14566096663475037
ne,0.14454713463783264
ae,0.1415119171142578
cu,0.1392766535282135
mh,0.13800737261772156
km,0.13691027462482452
mo,0.13513478636741638
sz,0.12985561788082123
zm,0.12602411210536957
ni,0.12521997094154358
ml,0.12352407723665237
sa,0.12318260967731476
cx,0.1218581423163414
cg,0.12140384316444397
td,0.11901956051588058
ls,0.11836248636245728
lk,0.11619505286216736
is,0.11434093117713928
ug,0.11400280147790909
ar,0.10444936156272888
tz,0.10386370122432709
cd,0.09787335991859436
ro,0.09786070883274078
sv,0.09729168564081192
mu,0.09244046360254288
tj,0.09072692692279816
cy,0.08735044300556183
kp,0.08157439529895782
sn,0.08052068948745728
aq,0.08019939064979553
be,0.08011038601398468
gg,0.07789032906293869
gb-nir,0.07566715776920319
gb,0.07566715776920319
sh,0.07566715776920319
bf,0.07399461418390274
as,0.07370167970657349
in,0.07357489317655563
hn,0.07300593703985214
ua,0.07254191488027573
gd,0.07098355889320374
ir,0.0662485659122467
gb-sct,0.06397121399641037
gb-wls,0.06212994456291199
vn,0.06108478456735611
bt,0.060663461685180664
ge,0.060626350343227386
ng,0.06046704947948456
kg,0.056551769375801086
mz,0.05453750863671303
bn,0.053505413234233856
af,0.05204564705491066
kw,0.04900640249252319
il,0.04570493847131729
mk,0.045271024107933044
je,0.04410739988088608
gq,0.04358828067779541
pk,0.041225939989089966
dj,0.04096050560474396
pe,0.03839260712265968
bw,0.03817138075828552
ki,0.037407759577035904
gb-eng,0.03630491718649864
lu,0.036118924617767334
mp,0.035472527146339417
md,0.033855170011520386
hr,0.03215504437685013
dz,0.03155321255326271
ba,0.031023234128952026
ie,0.02831341326236725
bb,0.02830619364976883
xk,0.0255499929189682
ca,0.023233821615576744
gt,0.022194497287273407
cz,0.017127662897109985
ad,0.017013875767588615
hu,0.01650472730398178
cv,0.01625954732298851
np,0.012630651704967022
ao,0.009495958685874939
pg,0.009065717458724976
za,0.00800386257469654
bq,0.007692314684391022
nl,0.007692314684391022
eg,0.002396766096353531
cl,0.0015527531504631042
sm,-0.0010134018957614899
bj,-0.0021729618310928345
id,-0.003909006714820862
it,-0.004185996949672699
py,-0.005024038255214691
bl,-0.0062984563410282135
fr,-0.0062984563410282135
gf,-0.0062984563410282135
gp,-0.0062984563410282135
mf,-0.0062984563410282135
mq,-0.0062984563410282135
nc,-0.0062984563410282135
pm,-0.0062984563410282135
re,-0.0062984563410282135
yt,-0.0062984563410282135
sg,-0.008860968053340912
ye,-0.01029488816857338
sd,-0.012647341936826706
iq,-0.014878123998641968
mc,-0.015091490000486374
tn,-0.01762351393699646
my,-0.01798645220696926
gr,-0.019527733325958252
cf,-0.019665490835905075
vi,-0.021145600825548172
mg,-0.021781524643301964
wf,-0.022305956110358238
ch,-0.022959116846323013
mx,-0.02377619966864586
pl,-0.02501719631254673
gl,-0.026041584089398384
sy,-0.026053536683321
me,-0.02612205594778061
do,-0.027146853506565094
bz,-0.02741585299372673
sb,-0.027754824608564377
ag,-0.02937406860291958
lc,-0.03445560485124588
io,-0.03843371570110321
mm,-0.039781633764505386
lr,-0.040523841977119446
um,-0.045616183429956436
us,-0.045616183429956436
vu,-0.04640289396047592
et,-0.04656147211790085
fj,-0.04849774390459061
cn,-0.050938382744789124
hk,-0.051306650042533875
cm,-0.052419014275074005
pa,-0.05283060669898987
nf,-0.05346209183335304
ee,-0.054178740829229355
fm,-0.05982556939125061
uy,-0.06044379994273186
cw,-0.06074787676334381
ec,-0.062486231327056885
jp,-0.0705796331167221
fo,-0.0709581971168518
so,-0.07202767580747604
bi,-0.07379494607448578
pf,-0.07399587333202362
gu,-0.07419873028993607
tv,-0.07532193511724472
kn,-0.07564668357372284
co,-0.07729938626289368
im,-0.07730244100093842
nr,-0.0779963880777359
mr,-0.08175206184387207
ai,-0.08200377970933914
tc,-0.08940581232309341
gi,-0.08963428437709808
bm,-0.09073804318904877
pr,-0.09117729216814041
to,-0.0915713906288147
th,-0.09304638206958771
ma,-0.10007202625274658
kr,-0.10063378512859344
aw,-0.10175397992134094
pt,-0.10551449656486511
dk,-0.10615608841180801
tw,-0.10924836248159409
pn,-0.10943012684583664
tt,-0.11012391000986099
mt,-0.11411416530609131
at,-0.11708880215883255
tf,-0.11958461999893188
lv,-0.12011310458183289
li,-0.12033799290657043
tl,-0.12501037120819092
tr,-0.1256701946258545
fk,-0.12619392573833466
ms,-0.13114100694656372
lb,-0.13388442993164062
au,-0.1340206116437912
hm,-0.1340206116437912
ck,-0.13748928904533386
ht,-0.13756784796714783
mn,-0.13811936974525452
ky,-0.1396007537841797
nz,-0.1396941989660263
gm,-0.13981004059314728
vg,-0.1401578187942505
bv,-0.1406777948141098
no,-0.1406777948141098
sj,-0.1406777948141098
gs,-0.14390073716640472
ly,-0.1482180505990982
bh,-0.15056754648685455
ws,-0.15869876742362976
qa,-0.16281944513320923
al,-0.18043851852416992
ph,-0.1978117823600769
eu,-0.2009955793619156
lt,-0.21099188923835754
bg,-0.2150404304265976
fi,-0.22266612946987152
sk,-0.2426796704530716
sx,-0.24689863622188568
la,-0.2559637427330017
ve,-0.27362823486328125
ru,-0.28691205382347107
