Image,Similarity
ni,0.9246600866317749
sv,0.9135662317276001
sl,0.8317270278930664
ae,0.7960570454597473
ps,0.7858060598373413
uz,0.7781320810317993
bq,0.7703583240509033
nl,0.7703583240509033
eh,0.7434029579162598
as,0.6936254501342773
py,0.6780539751052856
hu,0.6714705228805542
kw,0.6678266525268555
ls,0.6675965189933777
ar,0.6600210070610046
lu,0.6482136249542236
ye,0.6422158479690552
sd,0.6260786056518555
hr,0.6217427849769592
jo,0.6182979345321655
eg,0.6028113961219788
so,0.588487982749939
iq,0.5730046033859253
sy,0.5566495656967163
gb-sct,0.5480319261550903
il,0.5328323245048523
ir,0.5157460570335388
aq,0.5101980566978455
tj,0.5055977702140808
gq,0.47865843772888184
ga,0.4737033545970917
fm,0.4601551592350006
bs,0.4344114661216736
at,0.4313414394855499
ne,0.4091322124004364
kz,0.40352725982666016
gr,0.40305569767951965
in,0.4023885428905487
mo,0.3884240984916687
dj,0.3851349353790283
xk,0.3695589303970337
mh,0.366240918636322
bz,0.3581083416938782
lv,0.34951645135879517
kh,0.33681535720825195
cv,0.33375829458236694
pw,0.3330734670162201
do,0.3213196396827698
mp,0.3176473081111908
is,0.3170519471168518
fj,0.3166065216064453
gu,0.3066883385181427
cx,0.3041360080242157
tv,0.3016236424446106
aw,0.30081579089164734
rw,0.28917375206947327
nr,0.28180456161499023
az,0.25050830841064453
gt,0.2490019053220749
pf,0.2466144859790802
cd,0.2418517768383026
se,0.23488277196884155
ng,0.22478723526000977
bo,0.22019408643245697
mn,0.21096739172935486
eu,0.20337817072868347
sb,0.19932883977890015
tf,0.19552288949489594
lb,0.18327437341213226
ie,0.18277183175086975
bi,0.1808166801929474
cu,0.17612625658512115
it,0.15761226415634155
ai,0.15742124617099762
et,0.15573225915431976
gh,0.15404891967773438
io,0.15350139141082764
dk,0.15340770781040192
pa,0.14966675639152527
ci,0.14810729026794434
jm,0.14636610448360443
sm,0.14316818118095398
lc,0.14306095242500305
ph,0.1396598070859909
bl,0.1311415135860443
fr,0.1311415135860443
gf,0.1311415135860443
gp,0.1311415135860443
mf,0.1311415135860443
mq,0.1311415135860443
nc,0.1311415135860443
pm,0.1311415135860443
re,0.1311415135860443
yt,0.1311415135860443
uy,0.12934324145317078
ht,0.1252385973930359
fk,0.12417889386415482
la,0.12132930755615234
dz,0.1128113716840744
ss,0.11229420453310013
tc,0.11019069701433182
nf,0.1040094718337059
ax,0.0979270190000534
gb-nir,0.09701074659824371
gb,0.09701074659824371
sh,0.09701074659824371
na,0.09550133347511292
ms,0.09536571800708771
sa,0.09426192939281464
st,0.0928075760602951
sx,0.08198694884777069
cy,0.08148156851530075
cw,0.07922198623418808
za,0.07801259309053421
gy,0.07300593703985214
ck,0.06930650770664215
sg,0.06805860996246338
gm,0.06524007022380829
pl,0.0647568553686142
ky,0.0639781504869461
pn,0.06236834451556206
bd,0.058755092322826385
ch,0.05772710591554642
nz,0.05767408758401871
gl,0.05708107352256775
cf,0.0544118694961071
mt,0.05332689359784126
au,0.0528993234038353
hm,0.0528993234038353
kp,0.05203861743211746
bw,0.044957950711250305
gs,0.044636793434619904
mc,0.04238705337047577
np,0.03339796140789986
kr,0.03316017985343933
vg,0.03254961967468262
um,0.03238800913095474
us,0.03238800913095474
dm,0.030206158757209778
lr,0.029661819338798523
pk,0.029409728944301605
je,0.027845926582813263
cl,0.027262747287750244
mx,0.013410784304141998
br,0.010048717260360718
bv,-0.0045793987810611725
no,-0.0045793987810611725
sj,-0.0045793987810611725
km,-0.006758454721421003
pr,-0.014495722949504852
ag,-0.0184432715177536
ki,-0.018932778388261795
ba,-0.02201526053249836
ua,-0.02205648273229599
id,-0.022097572684288025
er,-0.04176640883088112
af,-0.04325947165489197
mr,-0.043817028403282166
hk,-0.044931065291166306
mg,-0.04810977727174759
ke,-0.04832346737384796
tn,-0.05352834612131119
bt,-0.06280546635389328
sz,-0.07020731270313263
va,-0.07165616750717163
mw,-0.07348654419183731
tm,-0.07417932897806168
fo,-0.07435537874698639
vi,-0.07654179632663727
gi,-0.07966180145740509
cz,-0.08865867555141449
tk,-0.08920596539974213
pe,-0.09028510749340057
cr,-0.0955696702003479
mu,-0.09845779836177826
cg,-0.09919138997793198
my,-0.10722948610782623
jp,-0.10950666666030884
ca,-0.10983452945947647
tz,-0.11258438229560852
wf,-0.11917456984519958
by,-0.12193886190652847
gb-eng,-0.125222846865654
bf,-0.1252366602420807
gg,-0.12600162625312805
li,-0.12639904022216797
bm,-0.12916722893714905
mm,-0.1315174102783203
sr,-0.13453543186187744
cc,-0.14046025276184082
gb-wls,-0.14137808978557587
es,-0.1470939815044403
ge,-0.149314284324646
im,-0.16490992903709412
sc,-0.1684993952512741
gw,-0.17117173969745636
fi,-0.1726239025592804
tt,-0.17521625757217407
pt,-0.1826481819152832
tr,-0.19508743286132812
si,-0.1961551010608673
ro,-0.19647246599197388
be,-0.19709107279777527
bh,-0.1980125457048416
bj,-0.20056498050689697
tg,-0.20219212770462036
sn,-0.20510908961296082
ad,-0.2053278386592865
om,-0.20603159070014954
bb,-0.2076525092124939
mk,-0.2088507115840912
gn,-0.20953692495822906
lk,-0.20978152751922607
ao,-0.21415041387081146
rs,-0.21571937203407288
pg,-0.21627354621887207
ws,-0.22993376851081848
cm,-0.23125502467155457
kg,-0.23192769289016724
ml,-0.2364434003829956
nu,-0.24001726508140564
mv,-0.2402031123638153
vn,-0.2431963086128235
td,-0.24327123165130615
co,-0.24406415224075317
ec,-0.24545231461524963
sk,-0.24762506783008575
to,-0.26062989234924316
kn,-0.2626253366470337
qa,-0.26796501874923706
zm,-0.2722991108894348
me,-0.273175448179245
vu,-0.2748170495033264
tw,-0.28181713819503784
bn,-0.283540278673172
tl,-0.28453904390335083
de,-0.30461880564689636
bg,-0.3360814154148102
cn,-0.34029293060302734
vc,-0.34667009115219116
ly,-0.36890101432800293
ru,-0.38952356576919556
ug,-0.39076927304267883
md,-0.4013115465641022
ma,-0.4209478497505188
ee,-0.4223431348800659
al,-0.46110597252845764
gd,-0.465721070766449
th,-0.46633049845695496
am,-0.4907704293727875
mz,-0.4917469024658203
zw,-0.5534483790397644
ve,-0.5647706389427185
lt,-0.7106450796127319
