Image,Similarity
ng,0.9171323180198669
mx,0.792704701423645
it,0.7756752967834473
gt,0.7697638273239136
bl,0.7116222381591797
fr,0.7116222381591797
gf,0.7116222381591797
gp,0.7116222381591797
mf,0.7116222381591797
mq,0.7116222381591797
nc,0.7116222381591797
pm,0.7116222381591797
re,0.7116222381591797
yt,0.7116222381591797
ci,0.6477287411689758
ar,0.6338555216789246
fm,0.6272879242897034
cy,0.6245372295379639
nf,0.6014618277549744
pe,0.5753976106643677
je,0.5427920818328857
va,0.5172111392021179
sm,0.513978123664856
vi,0.5047792792320251
kr,0.4949551224708557
sg,0.476176917552948
fj,0.46275657415390015
bt,0.45250052213668823
um,0.4347322881221771
us,0.4347322881221771
sn,0.42889347672462463
pl,0.42480674386024475
gg,0.42356255650520325
ca,0.4215265214443207
gr,0.4192335903644562
lu,0.41709208488464355
il,0.4060743749141693
bi,0.39949092268943787
gb-eng,0.3980341851711273
lr,0.3979242444038391
cl,0.39426666498184204
gl,0.39268648624420166
mt,0.3910389244556427
uy,0.38894304633140564
fo,0.38713526725769043
mc,0.37949058413505554
so,0.3752742111682892
ge,0.3749009966850281
gb-sct,0.36904671788215637
at,0.36723005771636963
mm,0.36481648683547974
lc,0.35826459527015686
cz,0.3476216197013855
pa,0.3400264382362366
hu,0.33897215127944946
uz,0.3372383415699005
sl,0.33128809928894043
id,0.3297020196914673
jp,0.3293848931789398
km,0.327576220035553
nu,0.3246854543685913
aq,0.3206115961074829
ml,0.31164366006851196
dz,0.3115196228027344
pr,0.30565932393074036
aw,0.30230841040611267
ni,0.30034297704696655
lb,0.29732662439346313
ch,0.2912455201148987
pf,0.28011131286621094
dj,0.275692343711853
ir,0.27436214685440063
cg,0.2736973166465759
in,0.26772385835647583
vc,0.2622101306915283
ro,0.26073312759399414
cr,0.2551467716693878
bq,0.25185054540634155
nl,0.25185054540634155
bw,0.2444242686033249
cu,0.24383702874183655
do,0.24131426215171814
ad,0.23376969993114471
fi,0.23258352279663086
gq,0.23134204745292664
bn,0.23087790608406067
md,0.22205178439617157
dk,0.22072860598564148
sc,0.21475395560264587
kw,0.2128918319940567
io,0.210951030254364
sk,0.20880207419395447
py,0.2079988270998001
pw,0.20789474248886108
si,0.2066209763288498
tj,0.20547053217887878
rs,0.20499929785728455
bg,0.2025398313999176
as,0.18773141503334045
mp,0.183977872133255
hn,0.18277183175086975
td,0.17753590643405914
ki,0.17737826704978943
be,0.1766706258058548
ne,0.17476968467235565
sv,0.16563311219215393
kz,0.15276947617530823
hk,0.1519637405872345
ru,0.15026366710662842
th,0.14821022748947144
ba,0.13811537623405457
gd,0.12962856888771057
ls,0.12761971354484558
ga,0.12575697898864746
gn,0.11553634703159332
tv,0.10828423500061035
hr,0.10624513030052185
bj,0.09692326188087463
om,0.08634825050830841
rw,0.0836060419678688
ua,0.08092439919710159
my,0.0804135724902153
sd,0.07804173976182938
ec,0.07386399805545807
az,0.07344981282949448
tn,0.0606631264090538
cf,0.05866853892803192
ye,0.05698615312576294
sr,0.05032527074217796
mk,0.04476453363895416
lv,0.04378628358244896
kg,0.043067820370197296
cd,0.040893688797950745
gb-nir,0.03751256689429283
gb,0.03751256689429283
sh,0.03751256689429283
co,0.03461508825421333
se,0.03146328032016754
kp,0.028918083757162094
gy,0.02831341326236725
bz,0.028094615787267685
wf,0.02658722549676895
ae,0.02493167668581009
ps,0.018174871802330017
gw,0.011903725564479828
eg,0.008981510996818542
es,0.004479542374610901
bb,0.0021049603819847107
ag,0.0020547285676002502
tk,0.0015431493520736694
bs,0.0013588275760412216
sz,-0.005246573127806187
ee,-0.015474401414394379
bv,-0.0216372013092041
no,-0.0216372013092041
sj,-0.0216372013092041
st,-0.02186824381351471
iq,-0.026393208652734756
is,-0.029351670295000076
eh,-0.035702940076589584
gi,-0.03955243527889252
sy,-0.040445975959300995
za,-0.05340338125824928
xk,-0.05346802994608879
cm,-0.05390743911266327
la,-0.05455915629863739
ax,-0.055624231696128845
mo,-0.055834703147411346
kh,-0.06132550537586212
ug,-0.06553703546524048
af,-0.06968503445386887
mg,-0.07193078845739365
im,-0.07420013099908829
cv,-0.07723771780729294
vn,-0.08874502778053284
gb-wls,-0.09713616222143173
pt,-0.10161960124969482
bm,-0.10397801548242569
jo,-0.10916313529014587
mu,-0.11408760398626328
bo,-0.11662314087152481
ve,-0.12066856771707535
tg,-0.12803451716899872
br,-0.12855412065982819
tr,-0.13252747058868408
tl,-0.13463422656059265
lk,-0.1368124783039093
bh,-0.13756322860717773
cn,-0.13920551538467407
mn,-0.13935397565364838
er,-0.14090561866760254
lt,-0.1437913179397583
jm,-0.15347832441329956
mr,-0.16980087757110596
gh,-0.17077505588531494
na,-0.17453733086585999
bf,-0.1762857884168625
gm,-0.17654816806316376
np,-0.1805981993675232
et,-0.18331557512283325
am,-0.19459044933319092
mh,-0.19865404069423676
mz,-0.20779746770858765
to,-0.22446192800998688
dm,-0.22549009323120117
tw,-0.22876481711864471
ht,-0.23216965794563293
tt,-0.2506549656391144
me,-0.25878646969795227
kn,-0.26196396350860596
sx,-0.26275956630706787
zw,-0.2724916934967041
by,-0.27530568838119507
bd,-0.27930107712745667
cx,-0.27992701530456543
ph,-0.28126001358032227
tf,-0.2864668369293213
ss,-0.29160431027412415
de,-0.29164978861808777
sb,-0.2995583415031433
tz,-0.30500897765159607
ws,-0.3127557039260864
sa,-0.317685067653656
ck,-0.3204762935638428
mv,-0.3287450075149536
ma,-0.35270458459854126
vu,-0.36490800976753235
fk,-0.367963969707489
ai,-0.37331488728523254
tc,-0.37682217359542847
vg,-0.37845906615257263
gu,-0.3848339915275574
pn,-0.38570523262023926
ky,-0.3883885443210602
gs,-0.389026939868927
cw,-0.3956732153892517
ke,-0.3958304226398468
eu,-0.39829567074775696
ms,-0.3992336094379425
al,-0.41036176681518555
au,-0.41112250089645386
hm,-0.41112250089645386
mw,-0.42148733139038086
nz,-0.4229298532009125
pg,-0.42760878801345825
li,-0.4399111866950989
pk,-0.4523133635520935
zm,-0.4653223156929016
nr,-0.4679456353187561
ao,-0.48448121547698975
cc,-0.4854661524295807
tm,-0.5292479395866394
ly,-0.5338757038116455
qa,-0.5539921522140503
