Image,Similarity
ar,0.6908615827560425
uy,0.587451696395874
as,0.4898263812065124
gt,0.4802572131156921
cu,0.4563688635826111
fj,0.443970650434494
py,0.4224060773849487
ng,0.4159566164016723
kz,0.3340973854064941
pw,0.3293406963348388
kr,0.3140589594841003
in,0.3040237724781036
tv,0.2966154813766479
mx,0.254397302865982
bz,0.2528363764286041
ca,0.2509272396564483
pl,0.243106871843338
it,0.2423503994941711
gr,0.2342109680175781
eg,0.2281855940818786
us,0.2274467945098877
cr,0.2242709100246429
gb,0.2124741524457931
dz,0.2095135897397995
jp,0.2066132128238678
do,0.1891978085041046
fr,0.1866228729486465
id,0.133272498846054
cl,0.1300621777772903
pe,0.125286728143692
se,0.1065981388092041
jm,0.0163844525814056
ua,0.0133134573698043
za,0.0081733418628573
sb,0.0052185356616973
bo,-0.0023843050003051
th,-0.011708840727806
br,-0.0314559936523437
ru,-0.0411925055086612
es,-0.056081011891365
sa,-0.0560965463519096
au,-0.1024098545312881
nz,-0.114847794175148
ke,-0.1249552220106124
pk,-0.1330038607120514
ht,-0.1369404792785644
co,-0.2025115191936493
ec,-0.2042666971683502
to,-0.253949373960495
cn,-0.3130761981010437
vn,-0.3161262273788452
ws,-0.3202002048492431
ug,-0.3440240025520324
vu,-0.3579265475273132
ve,-0.3585928976535797
pg,-0.3614253997802734
de,-0.3645068407058716
ao,-0.41392982006073
ma,-0.4226453900337219
zw,-0.513934850692749
