Image,Similarity
me,0.7722575664520264
cn,0.7670133113861084
vn,0.7382053732872009
ma,0.7097278833389282
tl,0.7080904245376587
kg,0.7014051079750061
hk,0.6946355104446411
tr,0.6807698011398315
tn,0.6782113909721375
al,0.6305288076400757
mk,0.613495945930481
qa,0.604736864566803
wf,0.5952228903770447
ch,0.5930564403533936
es,0.5759947299957275
tw,0.5682792663574219
pt,0.5312276482582092
ws,0.5289190411567688
to,0.5195414423942566
lk,0.46960222721099854
bh,0.46612340211868286
dk,0.4508722126483917
bm,0.4477238059043884
lv,0.4273553788661957
ao,0.4154113233089447
ug,0.39519840478897095
at,0.38918018341064453
la,0.38670843839645386
be,0.3760783076286316
tt,0.37149864435195923
de,0.3619336485862732
td,0.3474319875240326
cm,0.3456425368785858
pg,0.3431987762451172
bt,0.3310190439224243
by,0.327367901802063
ro,0.3172125220298767
li,0.29565346240997314
mm,0.293234646320343
ht,0.2833951711654663
af,0.27725642919540405
am,0.27598056197166443
mw,0.26926544308662415
ad,0.26741600036621094
ve,0.26152169704437256
kp,0.25794073939323425
ml,0.25634175539016724
zw,0.25545361638069153
sy,0.2510336637496948
bv,0.2454608678817749
no,0.2454608678817749
sj,0.2454608678817749
co,0.2452172487974167
cl,0.24490579962730408
pe,0.24150024354457855
sd,0.24111774563789368
ec,0.23968935012817383
pf,0.23840755224227905
ye,0.2383567839860916
md,0.23796497285366058
pl,0.23794026672840118
gn,0.23730653524398804
bj,0.23563429713249207
bi,0.22522051632404327
iq,0.21836724877357483
eg,0.21732991933822632
cg,0.21576422452926636
mv,0.21268342435359955
ke,0.20747110247612
pr,0.2067769169807434
mt,0.20570731163024902
cz,0.20433366298675537
id,0.2035260796546936
gd,0.2025776505470276
gh,0.20238569378852844
nu,0.20096537470817566
kh,0.20082180202007294
lr,0.20022833347320557
bo,0.19790269434452057
lt,0.19699640572071075
bn,0.19039371609687805
lb,0.1880040168762207
gi,0.18761245906352997
ki,0.18479686975479126
gq,0.17651896178722382
gb-wls,0.1761711835861206
sn,0.1726648211479187
ag,0.17207209765911102
gl,0.1682630479335785
ly,0.16696284711360931
tj,0.16319766640663147
sx,0.16295939683914185
sc,0.15951186418533325
my,0.15916162729263306
er,0.15914195775985718
ph,0.15837381780147552
hu,0.13909780979156494
bl,0.1388976126909256
fr,0.1388976126909256
gf,0.1388976126909256
gp,0.1388976126909256
mf,0.1388976126909256
mq,0.1388976126909256
nc,0.1388976126909256
pm,0.1388976126909256
re,0.1388976126909256
yt,0.1388976126909256
do,0.13686318695545197
vu,0.13566972315311432
km,0.1323304921388626
gm,0.1321280300617218
gb-nir,0.13187336921691895
gb,0.13187336921691895
sh,0.13187336921691895
ge,0.1314690113067627
ir,0.12999451160430908
bf,0.1294390857219696
kw,0.12069115787744522
mc,0.12062045186758041
