Image,Similarity
fj,0.5312168598175049
tv,0.44963401556015015
lr,0.32498490810394287
fm,0.32009944319725037
ck,0.3064280152320862
so,0.2689904570579529
gt,0.26567313075065613
gr,0.2622089982032776
ar,0.2612885534763336
ms,0.25200846791267395
au,0.2500144839286804
hm,0.2500144839286804
pn,0.24555590748786926
nz,0.24318592250347137
ky,0.24278514087200165
fk,0.23854666948318481
ng,0.23688815534114838
gs,0.23536701500415802
tc,0.23323766887187958
vg,0.22785912454128265
aw,0.2264896184206009
gb-sct,0.22612100839614868
ai,0.22458326816558838
sm,0.21816390752792358
lu,0.21222707629203796
ie,0.210951030254364
fo,0.19314628839492798
sg,0.19046659767627716
ci,0.1854546070098877
ni,0.1852390617132187
cy,0.18404647707939148
nf,0.18321889638900757
ls,0.17333345115184784
il,0.17259937524795532
cv,0.17012707889080048
je,0.16951102018356323
mc,0.16877169907093048
tf,0.16280193626880646
sl,0.1602519154548645
aq,0.15827186405658722
lc,0.1568787693977356
uy,0.15638604760169983
vi,0.15633365511894226
hn,0.15350139141082764
sv,0.15289700031280518
mx,0.14887484908103943
fi,0.1478206366300583
mp,0.1461019515991211
it,0.1423572599887848
gb-eng,0.14119857549667358
kz,0.14101621508598328
py,0.14055681228637695
gg,0.1404755711555481
dj,0.13655143976211548
bq,0.13425001502037048
nl,0.13425001502037048
tj,0.13369585573673248
jp,0.13353678584098816
id,0.13350415229797363
ca,0.13343682885169983
kr,0.12660419940948486
rs,0.1243152916431427
pw,0.1242024302482605
gl,0.12315475195646286
hu,0.12283177673816681
kp,0.12151661515235901
pa,0.12125939130783081
bl,0.12057676911354065
fr,0.12057676911354065
gf,0.12057676911354065
gp,0.12057676911354065
mf,0.12057676911354065
mq,0.12057676911354065
nc,0.12057676911354065
pm,0.12057676911354065
re,0.12057676911354065
yt,0.12057676911354065
cr,0.11165281385183334
xk,0.10805301368236542
np,0.10766272991895676
bi,0.10730843245983124
bw,0.10656443238258362
bm,0.10615412145853043
cu,0.10519322752952576
cd,0.10321857035160065
uz,0.1030522808432579
nu,0.09714365005493164
mt,0.08959384262561798
hr,0.08596400916576385
va,0.08520331978797913
lb,0.08382315933704376
at,0.08247949182987213
pe,0.08239808678627014
th,0.08006682991981506
pf,0.07781600952148438
ge,0.07722504436969757
my,0.07374830543994904
mn,0.07057784497737885
as,0.06718242913484573
si,0.06371176242828369
ir,0.061114177107810974
kh,0.060469526797533035
eu,0.05833382532000542
dz,0.05800691246986389
sk,0.05282839760184288
ee,0.051813267171382904
dk,0.05024731904268265
bz,0.04997674748301506
in,0.04972521588206291
ne,0.047548599541187286
ru,0.046291884034872055
gm,0.04180159419775009
cw,0.041450392454862595
pl,0.04144139960408211
bt,0.03345521166920662
ki,0.03248509764671326
ps,0.03011341206729412
nr,0.02878665179014206
rw,0.027341417968273163
kw,0.02643696591258049
sx,0.024556035175919533
bg,0.02376341074705124
gb-nir,0.02271852269768715
gb,0.02271852269768715
sh,0.02271852269768715
se,0.021140199154615402
ye,0.021000152453780174
mg,0.020997896790504456
sd,0.02034159190952778
sc,0.020245162770152092
ss,0.017527062445878983
mo,0.0168708898127079
eh,0.013932939618825912
gu,0.013300422579050064
ag,0.008040830492973328
eg,0.006505508441478014
mm,0.005751793272793293
gq,0.002921091392636299
cx,0.000985216349363327
ae,-0.001293577253818512
mh,-0.0019138753414154053
do,-0.0030205585062503815
ga,-0.003155253827571869
er,-0.0042671458795666695
sy,-0.007222735323011875
km,-0.007253276649862528
ba,-0.007427910342812538
pr,-0.008443988859653473
la,-0.008570841513574123
cz,-0.010598130524158478
iq,-0.012600505724549294
cl,-0.013440866023302078
za,-0.013665333390235901
bs,-0.014134977012872696
bn,-0.015050381422042847
