Image,Similarity
ye,0.9391276836395264
eg,0.9292933940887451
sd,0.9202178120613098
sy,0.9063245058059692
hu,0.8185697793960571
bq,0.8151487708091736
nl,0.8151487708091736
py,0.786564826965332
in,0.7252901196479797
ae,0.7181092500686646
tj,0.7027360200881958
ne,0.6963118314743042
hr,0.6847460269927979
at,0.6758497953414917
ps,0.6750276684761047
bo,0.6547883152961731
eh,0.6519477367401123
lu,0.6121034622192383
hn,0.5730046033859253
jo,0.5416157841682434
lv,0.5371505618095398
as,0.5343828201293945
gh,0.5231092572212219
kw,0.5216512680053711
gq,0.5124117732048035
sv,0.4963754713535309
gm,0.496013879776001
sl,0.4629407525062561
ir,0.4579721689224243
uz,0.42779064178466797
ni,0.4178178012371063
ls,0.3973948657512665
pf,0.3939110040664673
sx,0.393826961517334
lb,0.3647920489311218
hk,0.3068353235721588
ch,0.30591803789138794
bf,0.300287663936615
dk,0.2983573079109192
tn,0.29187899827957153
by,0.2881416380405426
ao,0.2846786677837372
la,0.27831780910491943
es,0.27746856212615967
do,0.27743440866470337
aq,0.27144545316696167
wf,0.2548598051071167
bv,0.25284168124198914
no,0.25284168124198914
sj,0.25284168124198914
pg,0.2504873275756836
bi,0.24471300840377808
za,0.2436714619398117
mg,0.23795829713344574
me,0.23615463078022003
gw,0.2293672114610672
vn,0.22527307271957397
tr,0.22035850584506989
im,0.21836724877357483
tl,0.21797339618206024
ar,0.20653752982616425
kg,0.1952274739742279
pt,0.19404661655426025
co,0.19299514591693878
mk,0.19157344102859497
il,0.1915609985589981
gi,0.19026660919189453
ai,0.18817906081676483
bm,0.186390221118927
dj,0.17889542877674103
lk,0.17311552166938782
to,0.16817724704742432
ba,0.16333386301994324
cn,0.15705496072769165
ec,0.1562582552433014
mm,0.15590611100196838
kh,0.15375591814517975
pl,0.1517290472984314
fk,0.1501883566379547
tc,0.15014784038066864
af,0.14905813336372375
bt,0.14793656766414642
is,0.14731410145759583
km,0.14710338413715363
bz,0.14585112035274506
gb-sct,0.14418189227581024
pa,0.1309162825345993
ms,0.12541310489177704
cf,0.12465261667966843
ma,0.12384675443172455
qa,0.12273937463760376
pn,0.10960093140602112
tt,0.10735470801591873
mu,0.10231900960206985
gb-wls,0.10228689014911652
vu,0.10006289184093475
mr,0.09890000522136688
gs,0.09886054694652557
st,0.098128542304039
nz,0.09293397516012192
cl,0.09274716675281525
bh,0.09207021445035934
au,0.09143006801605225
hm,0.09143006801605225
cm,0.08970514684915543
pr,0.08965245634317398
ss,0.08827654272317886
gr,0.08638371527194977
gb-nir,0.08476796746253967
gb,0.08476796746253967
sh,0.08476796746253967
ky,0.08271794766187668
mv,0.07490026205778122
vg,0.07298227399587631
gl,0.07255826890468597
jm,0.07169639319181442
kp,0.06798366457223892
mw,0.06642059981822968
ke,0.063584104180336
mh,0.0605696402490139
ck,0.06037765368819237
gu,0.054969772696495056
tf,0.05493784695863724
bj,0.05433828383684158
mt,0.053756508976221085
bd,0.05157880112528801
cz,0.05030439794063568
al,0.04726665839552879
et,0.043890368193387985
tg,0.04383224993944168
dm,0.04261806234717369
cx,0.04230622202157974
na,0.04213633015751839
mp,0.04099069535732269
sa,0.03726432844996452
bs,0.03488968312740326
mo,0.034272290766239166
td,0.029549915343523026
br,0.025904744863510132
ro,0.025836240500211716
be,0.024563029408454895
bn,0.019792329519987106
ml,0.014396090060472488
gn,0.014318974688649178
tw,0.014166776090860367
nr,0.01140584796667099
ga,0.01084938645362854
so,0.010667596012353897
ad,0.00740010105073452
ki,0.006831444799900055
se,0.003948956727981567
ax,0.0021968409419059753
sz,0.0007451269775629044
nu,5.454756319522858e-05
ag,-0.0007516965270042419
am,-0.0037461519241333008
id,-0.0046713948249816895
ph,-0.004852399230003357
sb,-0.012090057134628296
io,-0.012600505724549294
ws,-0.013821765780448914
gy,-0.014878123998641968
bl,-0.014994814060628414
fr,-0.014994814060628414
gf,-0.014994814060628414
gp,-0.014994814060628414
mf,-0.014994814060628414
mq,-0.014994814060628414
nc,-0.014994814060628414
pm,-0.014994814060628414
re,-0.014994814060628414
yt,-0.014994814060628414
sc,-0.018542785197496414
pk,-0.019132565706968307
si,-0.02044692635536194
vc,-0.02228771522641182
sg,-0.024386469274759293
sm,-0.025095555931329727
ve,-0.025350332260131836
tv,-0.02559223771095276
ie,-0.026393208652734756
lr,-0.026934489607810974
rw,-0.02732020989060402
fj,-0.028254272416234016
dz,-0.03205543011426926
it,-0.03227032348513603
om,-0.032509345561265945
sn,-0.03260945528745651
ci,-0.033534176647663116
xk,-0.03409956395626068
mn,-0.03979666531085968
ly,-0.040283702313899994
np,-0.04196782037615776
cu,-0.04305250197649002
md,-0.04454660788178444
cc,-0.04466528072953224
va,-0.047129467129707336
ng,-0.050710529088974
fm,-0.05310364067554474
ht,-0.055216383188962936
gd,-0.05605051666498184
eu,-0.057772815227508545
mc,-0.05868644639849663
nf,-0.06830564141273499
pw,-0.0687229111790657
