Image,Similarity
kw,0.8773738145828247
gq,0.8606927990913391
ae,0.6879690289497375
at,0.6862802505493164
pf,0.574982762336731
hu,0.5498835444450378
uz,0.5466115474700928
as,0.5430483818054199
lb,0.5355983376502991
tj,0.5229379534721375
ye,0.5225260257720947
sl,0.5174220204353333
hn,0.5157460570335388
eg,0.5103667974472046
sd,0.4998963475227356
bq,0.49924904108047485
nl,0.49924904108047485
ps,0.4900560975074768
sv,0.47317221760749817
eh,0.46886348724365234
ar,0.46762964129447937
iq,0.4579721689224243
ni,0.4512922465801239
lv,0.4479435682296753
ls,0.4408777952194214
bi,0.43831104040145874
bt,0.43594369292259216
in,0.4286081790924072
sy,0.4167627692222595
il,0.41525429487228394
pl,0.3992216885089874
hr,0.3939262628555298
py,0.38795408606529236
ne,0.3803865909576416
cl,0.3371443748474121
ch,0.33560067415237427
cg,0.3340792655944824
aq,0.3256373703479767
mm,0.3253963589668274
gb-sct,0.3235757350921631
cf,0.32036131620407104
dk,0.31355905532836914
jo,0.3123610317707062
gi,0.31056779623031616
do,0.30385395884513855
et,0.29880931973457336
gl,0.2951693832874298
hk,0.2929893136024475
wf,0.2821754813194275
es,0.27933835983276367
ph,0.27815383672714233
ie,0.27436214685440063
lu,0.26362526416778564
tn,0.2504156231880188
cz,0.2434329390525818
ng,0.24161651730537415
lr,0.2366650402545929
rw,0.22825737297534943
pr,0.22630104422569275
va,0.2250356823205948
dj,0.2229253053665161
nu,0.2208915650844574
si,0.209932342171669
mt,0.20901204645633698
lc,0.2077530175447464
ci,0.20503275096416473
fm,0.19829900562763214
cy,0.19741865992546082
ga,0.19587533175945282
ua,0.19509756565093994
st,0.1887703835964203
gt,0.18863467872142792
bm,0.18754149973392487
kg,0.18469034135341644
ht,0.18189078569412231
mk,0.17852987349033356
gr,0.1762503981590271
ec,0.1744551956653595
it,0.1716529279947281
tr,0.15944719314575195
bn,0.1503438651561737
ag,0.14834719896316528
nf,0.14602844417095184
um,0.14464186131954193
us,0.14464186131954193
bl,0.1437099277973175
fr,0.1437099277973175
gf,0.1437099277973175
gp,0.1437099277973175
mf,0.1437099277973175
mq,0.1437099277973175
nc,0.1437099277973175
pm,0.1437099277973175
re,0.1437099277973175
yt,0.1437099277973175
gb-nir,0.14049725234508514
gb,0.14049725234508514
sh,0.14049725234508514
je,0.14029663801193237
tl,0.133666530251503
co,0.13201548159122467
bj,0.13116003572940826
im,0.12999451160430908
tk,0.12986531853675842
lk,0.12900198996067047
ml,0.1254163682460785
aw,0.12316098809242249
vn,0.12030242383480072
cu,0.11791790276765823
bz,0.1156180202960968
gn,0.11456508934497833
sk,0.11453332751989365
bv,0.1136670708656311
no,0.1136670708656311
sj,0.1136670708656311
la,0.11320094764232635
az,0.10892775654792786
sn,0.10069670528173447
mx,0.09901301562786102
so,0.0989927351474762
kp,0.09646549820899963
dz,0.09621039032936096
sg,0.09507352858781815
bh,0.09045227617025375
ro,0.08835464715957642
to,0.08640483021736145
ge,0.0841003805398941
pa,0.08312418311834335
my,0.08292370289564133
ad,0.08228087425231934
cn,0.0798986554145813
pt,0.07888370007276535
jm,0.07148740440607071
tw,0.07125473767518997
vc,0.07080535590648651
