Image,Similarity
fr,0.960882306098938
mx,0.8000845313072205
pe,0.7264447808265686
ng,0.718267560005188
gt,0.7151890993118286
ar,0.4201610386371612
cl,0.3929675221443176
us,0.3527223169803619
fj,0.3285274505615234
kr,0.3149504661560058
gr,0.3144462704658508
pl,0.3061480522155761
do,0.29053595662117
uy,0.2447201907634735
il,0.2423503994941711
id,0.238418310880661
dz,0.2289669811725616
ca,0.1908944696187973
cr,0.1762904971837997
bz,0.1759009957313537
cu,0.1594160348176956
in,0.1418185234069824
as,0.1370340287685394
pw,0.1340810656547546
py,0.1285468488931656
kz,0.116410955786705
ru,0.1114245280623436
th,0.1088155433535575
jp,0.0576533116400241
tv,0.0519847497344017
ua,0.0511273592710495
ec,0.0438837222754955
gb,0.0344325229525566
es,0.0229660496115684
co,0.0223005078732967
ug,0.0214454047381877
se,0.0024752654135227
vn,-0.0039965212345123
eg,-0.0097367148846387
za,-0.0217809155583381
cn,-0.0805030465126037
ve,-0.0806869119405746
ht,-0.0998417660593986
bo,-0.1219517216086387
jm,-0.1275569647550583
br,-0.1431771218776703
ws,-0.1647325158119201
to,-0.1946030855178833
zw,-0.1980569064617157
de,-0.2041312456130981
sb,-0.2138030976057052
sa,-0.2225957214832306
vu,-0.2378797680139541
ma,-0.2479317337274551
ke,-0.266471266746521
ao,-0.2907281517982483
pk,-0.2992206513881683
pg,-0.3054565787315368
au,-0.3068335652351379
nz,-0.3089662790298462
