Image,Similarity
cy,0.7053869366645813
ca,0.6353673338890076
vi,0.6294152140617371
jp,0.6241300106048584
sg,0.549899160861969
gt,0.5478997230529785
sm,0.5465247631072998
ie,0.5427920818328857
ar,0.5370591282844543
kr,0.5283377766609192
va,0.5150162577629089
gg,0.5127608776092529
gb-eng,0.503458559513092
ng,0.49477419257164
nf,0.4845392405986786
mc,0.4677242040634155
fm,0.465099960565567
ge,0.46048787236213684
id,0.4413332939147949
mx,0.43719515204429626
lr,0.43174976110458374
fo,0.4250938892364502
gl,0.4201827943325043
ci,0.40919482707977295
pe,0.40499767661094666
mt,0.40324467420578003
um,0.3818032145500183
us,0.3818032145500183
pl,0.38154733180999756
lc,0.3669983744621277
sc,0.36406853795051575
it,0.36345481872558594
fj,0.34873804450035095
rs,0.3310588300228119
uy,0.3260573744773865
bl,0.3197192847728729
fr,0.3197192847728729
gf,0.3197192847728729
gp,0.3197192847728729
mf,0.3197192847728729
mq,0.3197192847728729
nc,0.3197192847728729
pm,0.3197192847728729
re,0.3197192847728729
yt,0.3197192847728729
lu,0.31696876883506775
bt,0.30759912729263306
at,0.30164122581481934
gi,0.3001536726951599
gr,0.2985416650772095
il,0.29597559571266174
nu,0.28929030895233154
pa,0.27883321046829224
cr,0.2744309902191162
dk,0.2511289119720459
bn,0.24619510769844055
cl,0.24483689665794373
cz,0.24224422872066498
pf,0.23590148985385895
wf,0.2348601520061493
dz,0.23356997966766357
lb,0.23161953687667847
km,0.2308374047279358
fi,0.22618570923805237
sk,0.21571354568004608
hu,0.21543778479099274
ki,0.19847476482391357
mm,0.197881281375885
sn,0.19676946103572845
vc,0.19036798179149628
ne,0.19010548293590546
in,0.18376785516738892
do,0.17279797792434692
io,0.16951102018356323
aw,0.169271320104599
bw,0.16815514862537384
pw,0.1608516424894333
kg,0.1594199240207672
so,0.15873047709465027
py,0.15603873133659363
md,0.1540832668542862
sl,0.1511181741952896
ni,0.15077725052833557
uz,0.15061263740062714
ch,0.15031546354293823
ml,0.14806722104549408
cd,0.14575740694999695
pr,0.14046762883663177
ir,0.14029663801193237
bh,0.14006662368774414
bq,0.13995832204818726
nl,0.13995832204818726
gn,0.13977409899234772
si,0.13537712395191193
hr,0.13504186272621155
mg,0.12653246521949768
my,0.12589329481124878
kp,0.12546031177043915
ru,0.12516087293624878
ad,0.12225949019193649
bg,0.11533123254776001
om,0.11526460945606232
gq,0.11435486376285553
ro,0.11161427944898605
hk,0.10815077275037766
gb-sct,0.10735255479812622
cg,0.10543058067560196
th,0.09997719526290894
er,0.09396141767501831
gd,0.08613859862089157
ee,0.0856703668832779
cn,0.08147808909416199
cf,0.07792346179485321
lv,0.07430494576692581
kw,0.07129332423210144
ga,0.06528647243976593
sv,0.06350798904895782
ec,0.05983849614858627
td,0.05958271771669388
bi,0.05805240198969841
sr,0.053349025547504425
gb-wls,0.0519581064581871
cu,0.05179119110107422
tl,0.05055278539657593
lk,0.05012400448322296
tr,0.047857239842414856
dj,0.04429784044623375
gy,0.04410739988088608
sz,0.03954720497131348
tj,0.03897268325090408
bm,0.03804749995470047
ua,0.03526812046766281
gb-nir,0.03453360125422478
gb,0.03453360125422478
sh,0.03453360125422478
ba,0.027845989912748337
hn,0.027845926582813263
tn,0.027318216860294342
co,0.025891393423080444
ls,0.02265327423810959
mk,0.021326392889022827
es,0.020969972014427185
tv,0.011272415518760681
kz,0.008929118514060974
az,0.007390104234218597
bv,0.005355881527066231
no,0.005355881527066231
sj,0.005355881527066231
to,0.0036518797278404236
mp,0.0022951215505599976
be,0.0009321048855781555
vn,0.0004222765564918518
bj,-0.007657334208488464
bb,-0.01070437766611576
gw,-0.013623319566249847
as,-0.02623612806200981
ax,-0.02775704115629196
cm,-0.030629880726337433
se,-0.03392599895596504
aq,-0.04464239627122879
st,-0.045310892164707184
im,-0.04990789294242859
eg,-0.05066335201263428
ye,-0.05337931215763092
na,-0.05364806950092316
is,-0.06119675189256668
sd,-0.06468302011489868
tk,-0.07239507138729095
ve,-0.07556350529193878
mu,-0.07602530717849731
tw,-0.07705393433570862
np,-0.08254691958427429
rw,-0.0828583613038063
zw,-0.08593732863664627
ag,-0.08888903260231018
mz,-0.09046489000320435
bo,-0.09062894433736801
tt,-0.09122148156166077
gh,-0.09167258441448212
za,-0.09342159330844879
iq,-0.09376700222492218
lt,-0.10152662545442581
tg,-0.10630406439304352
ph,-0.10702122747898102
am,-0.10724103450775146
de,-0.11271551251411438
sx,-0.11595066636800766
cv,-0.12149334698915482
kh,-0.12249553203582764
by,-0.12370308488607407
eh,-0.12788797914981842
pt,-0.13718768954277039
ps,-0.1377803385257721
ma,-0.14142659306526184
bf,-0.14273589849472046
sy,-0.1506229043006897
ug,-0.1510814130306244
ae,-0.15623420476913452
xk,-0.1598810851573944
al,-0.1600591391324997
af,-0.16808578372001648
me,-0.17331884801387787
bz,-0.17919102311134338
ws,-0.18226416409015656
dm,-0.18266721069812775
br,-0.184718057513237
tz,-0.19520044326782227
mh,-0.19521108269691467
gm,-0.19935227930545807
bs,-0.203054279088974
bd,-0.20665258169174194
et,-0.21362192928791046
tf,-0.2148398607969284
mn,-0.2372160106897354
jo,-0.24712882936000824
la,-0.25015193223953247
jm,-0.27150481939315796
ht,-0.2739836275577545
qa,-0.2833332419395447
mw,-0.28833281993865967
vu,-0.2900558114051819
ss,-0.29060181975364685
kn,-0.2937006652355194
ai,-0.2956791818141937
fk,-0.3082793951034546
mr,-0.31322258710861206
li,-0.3179381191730499
ck,-0.33188992738723755
mo,-0.3391600251197815
tc,-0.3409491777420044
pn,-0.3540096580982208
pk,-0.3565960228443146
cx,-0.35726839303970337
ky,-0.3619271218776703
ms,-0.363620400428772
gs,-0.3695230484008789
au,-0.37384191155433655
hm,-0.37384191155433655
pg,-0.3761908710002899
vg,-0.3837491273880005
ke,-0.38421863317489624
mv,-0.38436293601989746
ao,-0.3866109251976013
cw,-0.3934210538864136
sb,-0.39444297552108765
nz,-0.39741602540016174
ly,-0.4083569347858429
eu,-0.42319127917289734
nr,-0.44768810272216797
tm,-0.4874454736709595
sa,-0.5068550705909729
zm,-0.5200150012969971
gu,-0.5223645567893982
cc,-0.5656300783157349
