Image,Similarity
ke,0.3509549498558044
sb,0.3088420033454895
bo,0.2971978783607483
sa,0.2790963053703308
se,0.2319359481334686
de,0.2239934802055359
br,0.2045388966798782
es,0.1921354234218597
pw,0.1728531718254089
gb,0.1664235442876815
as,0.1637741476297378
pk,0.1597739309072494
pg,0.1356410086154937
vu,0.1296839714050293
zw,0.1248218417167663
ug,0.1146195977926254
eg,0.1144330948591232
ao,0.1107491552829742
kz,0.1036608591675758
vn,0.09595887362957
cr,0.0534523725509643
ua,0.0526531562209129
in,0.042269617319107
py,0.0297025442123413
au,0.026461873203516
cu,0.0256547704339027
nz,0.0221333466470241
il,0.0163844525814056
bz,0.0046561881899833
ht,-0.0078745819628238
to,-0.009008452296257
ws,-0.0275942832231521
ma,-0.0278644189238548
ar,-0.0377567484974861
cn,-0.0388116762042045
dz,-0.0426518507301807
tv,-0.0853159725666046
za,-0.0951017439365387
ec,-0.1164616718888282
gr,-0.1178458556532859
id,-0.1239486560225486
co,-0.1252963095903396
cl,-0.1266863346099853
it,-0.1275569647550583
fr,-0.1333113014698028
fj,-0.1383068114519119
do,-0.1541095227003097
us,-0.1620871722698211
pe,-0.1705717742443084
pl,-0.1728403717279434
ng,-0.1735468655824661
mx,-0.1792529821395874
ca,-0.1919227540493011
uy,-0.2046764194965362
jp,-0.2449629008769989
gt,-0.2614530920982361
th,-0.2811437845230102
kr,-0.3024215400218963
ve,-0.3274754583835602
ru,-0.4471154510974884
