Image,Similarity
ps,0.8450389504432678
eh,0.8209863305091858
ae,0.6627916097640991
hn,0.6182979345321655
bq,0.6116424202919006
nl,0.6116424202919006
ye,0.5849814414978027
sd,0.5774760246276855
sl,0.5634211301803589
eg,0.55794358253479
hu,0.5501001477241516
sv,0.5499933362007141
sy,0.5475098490715027
iq,0.5416157841682434
as,0.5255761742591858
uz,0.5219739675521851
py,0.5113109350204468
ni,0.5067389011383057
kw,0.4943019151687622
bs,0.48921439051628113
tj,0.47340795397758484
ne,0.45662590861320496
lu,0.4445641338825226
bo,0.4412650167942047
ls,0.4343392252922058
hr,0.42904800176620483
mw,0.4153688848018646
gq,0.4029601216316223
mo,0.3820726275444031
ss,0.3777161240577698
mh,0.3572351038455963
aq,0.3551863729953766
gh,0.35428547859191895
jm,0.3535598814487457
ga,0.3525550365447998
kh,0.34899526834487915
in,0.3300215005874634
ke,0.3158957362174988
lv,0.31306684017181396
ir,0.3123610317707062
gy,0.30103442072868347
gu,0.29304710030555725
at,0.29205408692359924
st,0.28870683908462524
gm,0.28489041328430176
is,0.27179691195487976
by,0.2711137533187866
bd,0.2439359873533249
nr,0.23766782879829407
cx,0.2311226725578308
bz,0.2292751669883728
sa,0.22613994777202606
gb-sct,0.21515439450740814
af,0.2120298147201538
cc,0.20952606201171875
la,0.20786428451538086
dm,0.1957489252090454
cv,0.19405460357666016
de,0.18972119688987732
br,0.17794135212898254
se,0.1765308827161789
na,0.17511576414108276
tk,0.174111008644104
do,0.16547265648841858
bf,0.1595006287097931
ax,0.15266597270965576
ar,0.15147069096565247
pk,0.15140217542648315
az,0.1505008041858673
il,0.14081613719463348
ag,0.13868442177772522
mu,0.13733327388763428
tn,0.13599607348442078
et,0.13228920102119446
ch,0.12917515635490417
mp,0.12785717844963074
xk,0.12510669231414795
cw,0.11950700730085373
eu,0.11628325283527374
ht,0.11544639617204666
tf,0.11299404501914978
so,0.11259885877370834
tm,0.10654596239328384
ao,0.10653715580701828
mn,0.10393233597278595
zm,0.10361642390489578
sb,0.0993591696023941
dz,0.09769066423177719
rw,0.09543005377054214
hk,0.09314219653606415
ai,0.09141478687524796
pg,0.09000812470912933
me,0.08990958333015442
gr,0.08916736394166946
ki,0.08793458342552185
za,0.0866997167468071
es,0.08357365429401398
