Image,Similarity
ca,0.868070662021637
kr,0.5315495729446411
ar,0.4227304458618164
pl,0.3981428742408752
gt,0.3705896139144897
id,0.3361053168773651
us,0.3255375325679779
cr,0.3233621418476105
gr,0.3147727251052856
ng,0.2837202847003937
fj,0.2800828814506531
dz,0.2538683414459228
ru,0.2446131408214569
uy,0.2422233372926712
cl,0.2210829854011535
il,0.2066132128238678
th,0.1902617216110229
mx,0.1815344393253326
gb,0.1610175222158432
pw,0.1471247524023056
pe,0.1293238699436187
cn,0.0884562879800796
to,0.065393641591072
cu,0.0618388801813125
it,0.0576533116400241
in,0.0558370649814605
ec,0.0551204793155193
ua,0.0296799764037132
co,0.0219492465257644
tv,0.0181074142456054
kz,0.0145183727145195
zw,-0.0066825821995735
fr,-0.0095174890011549
py,-0.0226188376545906
ve,-0.0435443632304668
se,-0.0460324548184871
es,-0.0656233578920364
vn,-0.0698094218969345
do,-0.0819019526243209
de,-0.0964838713407516
ma,-0.108774796128273
ws,-0.1239684447646141
za,-0.1545164585113525
br,-0.1554513275623321
ug,-0.1676417589187622
as,-0.1689551323652267
bo,-0.1819580048322677
eg,-0.2100164592266082
ht,-0.2435215264558792
jm,-0.2449629008769989
vu,-0.2690467238426208
pg,-0.2924786806106567
au,-0.2936923205852508
sb,-0.3062739968299866
nz,-0.3116824626922607
pk,-0.3363303244113922
ke,-0.3429598212242126
ao,-0.3858135342597961
bz,-0.4584205150604248
sa,-0.5251745581626892
