Image,Similarity
de,0.4580565392971039
ao,0.4129635691642761
pg,0.355961799621582
jm,0.3509549498558044
vu,0.3272736370563507
ma,0.3046921491622925
ws,0.2752483487129211
zw,0.2551759779453277
pk,0.2546361684799194
bo,0.254048228263855
gb,0.2488979697227478
sa,0.2467295974493026
cn,0.2338544279336929
br,0.2182957082986831
vn,0.21150703728199
to,0.1920309960842132
es,0.1868690103292465
ug,0.1844353675842285
nz,0.1835317611694336
au,0.170505553483963
sb,0.169839322566986
ht,0.1100320369005203
bz,0.0689166113734245
se,0.0652454122900962
cu,0.0619508624076843
eg,0.0565467253327369
cr,0.0532539039850235
as,0.0479860678315162
za,0.0097926585003733
ua,0.0054249241948127
id,-0.0743837505578994
py,-0.0816540494561195
th,-0.0896812453866005
pw,-0.0941104888916015
in,-0.1034975498914718
il,-0.1249552220106124
co,-0.1349444389343261
dz,-0.1403134763240814
kz,-0.1465347409248352
ec,-0.1539141088724136
do,-0.1601331830024719
ve,-0.1612107455730438
pe,-0.1849881559610366
tv,-0.1855384707450866
cl,-0.1952351480722427
fr,-0.2115368694067001
it,-0.266471266746521
uy,-0.276816189289093
mx,-0.286349207162857
pl,-0.2965099215507507
ca,-0.2966703474521637
fj,-0.3021926879882812
us,-0.3144011497497558
jp,-0.3429598212242126
kr,-0.3457090854644775
gr,-0.3502375483512878
ru,-0.3642869889736175
ar,-0.3651067018508911
ng,-0.3988143801689148
gt,-0.4305301904678345
