Image,Similarity
vn,0.8609557151794434
cn,0.8484665751457214
tl,0.8110687136650085
me,0.7993254661560059
es,0.7670387029647827
mk,0.7435837388038635
hk,0.737488329410553
tn,0.7321242094039917
ma,0.717078685760498
im,0.7014051079750061
wf,0.6944353580474854
tr,0.6895247101783752
al,0.618036687374115
ch,0.60526442527771
lk,0.5650956630706787
to,0.5610196590423584
pt,0.5584048628807068
td,0.5579007267951965
tw,0.5488803386688232
bh,0.5342476963996887
ro,0.5253019332885742
qa,0.5042519569396973
ml,0.4910077750682831
bt,0.4782102108001709
be,0.4760616719722748
at,0.47366952896118164
gn,0.4719666540622711
dk,0.468380868434906
bm,0.4540863633155823
ws,0.4524804353713989
nu,0.44790929555892944
ad,0.42423015832901
md,0.41562598943710327
lv,0.4093400537967682
de,0.4051479697227478
ug,0.3963092565536499
gd,0.3913283944129944
cm,0.3843897581100464
sn,0.3841590881347656
id,0.38383710384368896
cg,0.3610752820968628
mm,0.3609246015548706
ao,0.3577049970626831
gh,0.3473435640335083
pe,0.34727537631988525
by,0.34372955560684204
pf,0.340202659368515
kp,0.33620867133140564
ki,0.33618712425231934
ec,0.3272141218185425
tt,0.32502132654190063
bo,0.3225559592247009
bj,0.320247620344162
sc,0.3135529160499573
vc,0.31148257851600647
ge,0.3068751394748688
zw,0.3017595708370209
co,0.301347941160202
sg,0.2974357008934021
lb,0.29395031929016113
gi,0.2921431362628937
pl,0.2894703149795532
mc,0.2886533737182617
bi,0.28823795914649963
gl,0.2856390178203583
af,0.2782214283943176
cl,0.27740439772605896
mt,0.2735592722892761
va,0.2708457112312317
pg,0.2664547264575958
gg,0.2575979232788086
lr,0.2556840181350708
lt,0.23684927821159363
bn,0.23629677295684814
eg,0.23553191125392914
gq,0.23127640783786774
mw,0.22972257435321808
gb-wls,0.21931162476539612
tg,0.21922710537910461
ye,0.21674691140651703
pr,0.21540074050426483
tk,0.21500757336616516
sd,0.21453669667243958
ve,0.2132120132446289
bv,0.20695346593856812
no,0.20695346593856812
sj,0.20695346593856812
am,0.20610523223876953
la,0.20412181317806244
cz,0.20403525233268738
tj,0.1976182758808136
iq,0.1952274739742279
hu,0.1951303780078888
sy,0.19404134154319763
my,0.18509338796138763
ir,0.18469034135341644
gb-nir,0.18228405714035034
gb,0.18228405714035034
sh,0.18228405714035034
bl,0.17769894003868103
fr,0.17769894003868103
gf,0.17769894003868103
gp,0.17769894003868103
mf,0.17769894003868103
mq,0.17769894003868103
nc,0.17769894003868103
pm,0.17769894003868103
re,0.17769894003868103
yt,0.17769894003868103
er,0.1775965392589569
um,0.16933438181877136
us,0.16933438181877136
bf,0.1677776724100113
mu,0.16659307479858398
gb-eng,0.16006416082382202
je,0.1594199240207672
bb,0.15863412618637085
sz,0.15291132032871246
ne,0.14912228286266327
gw,0.1432894915342331
do,0.1401299387216568
rs,0.13622517883777618
kh,0.13616999983787537
li,0.13605275750160217
sr,0.13575361669063568
ag,0.13283981382846832
cf,0.13092100620269775
sx,0.12764540314674377
km,0.12698639929294586
ke,0.1248578280210495
kw,0.12211642414331436
st,0.11874611675739288
ax,0.1180761307477951
mv,0.11526928097009659
om,0.11425657570362091
sk,0.11334313452243805
ca,0.11135949939489365
hr,0.10807866603136063
bq,0.1069197952747345
nl,0.1069197952747345
ht,0.09950179606676102
mg,0.09890742599964142
vu,0.09365479648113251
py,0.08849722146987915
it,0.08597934246063232
ba,0.08413514494895935
mx,0.08236087113618851
in,0.07938818633556366
cr,0.07101117074489594
cy,0.06862637400627136
bd,0.06618330627679825
ci,0.05869090557098389
gy,0.056551769375801086
kn,0.05502742528915405
gm,0.0536283440887928
ie,0.043067820370197296
jp,0.03880147635936737
ph,0.03670421987771988
as,0.03497996926307678
pa,0.03459613025188446
vi,0.03209085762500763
th,0.02724284678697586
ss,0.02451186627149582
jm,0.018544502556324005
ly,0.011339418590068817
np,0.006843835115432739
mz,0.0041709840297698975
mr,0.00033086538314819336
lu,-0.0011690407991409302
fo,-0.005671605467796326
ua,-0.009564347565174103
bz,-0.010626010596752167
bg,-0.011557754129171371
si,-0.023344261571764946
jo,-0.028720607981085777
na,-0.041205231100320816
ru,-0.04663430526852608
ga,-0.06253854930400848
ng,-0.0689261257648468
zm,-0.07155060768127441
za,-0.07641656696796417
et,-0.07829995453357697
eh,-0.08217359334230423
ps,-0.08584684878587723
kr,-0.09361705929040909
se,-0.09773851931095123
ae,-0.09872907400131226
is,-0.10375897586345673
dm,-0.110650934278965
dz,-0.11104754358530045
aq,-0.12179967761039734
io,-0.12462355941534042
nf,-0.1309223771095276
gt,-0.13094796240329742
cu,-0.14517787098884583
az,-0.152371346950531
il,-0.1792682260274887
bs,-0.17980650067329407
ar,-0.18418991565704346
sm,-0.19939985871315002
pw,-0.20388150215148926
uy,-0.2041437029838562
pk,-0.21565061807632446
ls,-0.2246481478214264
hn,-0.23192769289016724
cc,-0.23280790448188782
fi,-0.261547327041626
lc,-0.26859697699546814
gb-sct,-0.2687334716320038
uz,-0.27112820744514465
mh,-0.27485957741737366
rw,-0.27533572912216187
cv,-0.27564573287963867
tc,-0.2756812572479248
mp,-0.2766970992088318
ck,-0.2782323956489563
gs,-0.2810385823249817
pn,-0.28247886896133423
tz,-0.28301557898521423
au,-0.2845612168312073
hm,-0.2845612168312073
ee,-0.28486353158950806
br,-0.28500646352767944
ai,-0.28780823945999146
gr,-0.29009097814559937
ky,-0.29044950008392334
sl,-0.2926652431488037
vg,-0.29299718141555786
sv,-0.3005219101905823
cd,-0.30411458015441895
nz,-0.30508747696876526
fk,-0.3081510066986084
fj,-0.3116804361343384
dj,-0.32388824224472046
ms,-0.3275670111179352
xk,-0.3376407325267792
cw,-0.3416734039783478
ni,-0.34733372926712036
bw,-0.3643229305744171
tf,-0.3680438697338104
sb,-0.3899170756340027
cx,-0.39700183272361755
nr,-0.4070274233818054
tm,-0.42755407094955444
gu,-0.428364634513855
mn,-0.43875935673713684
sa,-0.4389702081680298
fm,-0.4505718946456909
mo,-0.4811922311782837
aw,-0.5044273734092712
so,-0.5665971040725708
eu,-0.5828200578689575
tv,-0.5847635865211487
kz,-0.640773355960846
