Image,Similarity
kp,0.38208723068237305
as,0.37010854482650757
er,0.35223034024238586
mh,0.3494020402431488
jo,0.34899526834487915
hn,0.33681535720825195
bs,0.33321529626846313
cv,0.33320459723472595
bd,0.3316825032234192
ke,0.3273717164993286
mw,0.31577980518341064
jm,0.30747586488723755
cw,0.3060436546802521
gu,0.3059694170951843
bz,0.30475887656211853
ss,0.3035760521888733
sv,0.2907699942588806
ps,0.2788703441619873
ni,0.2745686173439026
nr,0.2695050835609436
ga,0.26156869530677795
aq,0.2605287432670593
eh,0.25852957367897034
xk,0.2572380006313324
az,0.25057095289230347
qa,0.24481242895126343
tn,0.24065662920475006
by,0.23929846286773682
bq,0.23113606870174408
nl,0.23113606870174408
hr,0.23047876358032227
me,0.22736690938472748
il,0.22288618981838226
ao,0.22222480177879333
sr,0.22025001049041748
is,0.21944573521614075
gb-sct,0.21831035614013672
gb-nir,0.2179313600063324
gb,0.2179313600063324
sh,0.2179313600063324
mp,0.21439188718795776
mn,0.21317371726036072
ae,0.21014520525932312
hk,0.2088697850704193
ht,0.2063593715429306
sx,0.20167383551597595
sd,0.20098000764846802
im,0.20082180202007294
py,0.19961971044540405
sz,0.195832759141922
ye,0.19485609233379364
mo,0.19380030035972595
ls,0.18598639965057373
cu,0.18539097905158997
cx,0.1796943098306656
na,0.17958419024944305
sy,0.17891374230384827
lv,0.17891287803649902
sl,0.17760077118873596
tf,0.17548492550849915
eu,0.1752883493900299
eg,0.17301896214485168
vn,0.17101414501667023
ax,0.16866430640220642
gy,0.16786755621433258
ws,0.16722005605697632
st,0.16302761435508728
ch,0.16255071759223938
gh,0.16145846247673035
cd,0.160934716463089
np,0.16002093255519867
ag,0.15857651829719543
iq,0.15375591814517975
uz,0.15302090346813202
lu,0.15275569260120392
tg,0.15251067280769348
tc,0.1488640308380127
pw,0.14744645357131958
li,0.14685535430908203
pt,0.14352905750274658
dk,0.14343386888504028
nz,0.14214420318603516
ki,0.13752582669258118
ky,0.1371743381023407
vg,0.13673251867294312
cn,0.13663092255592346
kg,0.13616999983787537
ck,0.1344967484474182
au,0.13435959815979004
hm,0.13435959815979004
hu,0.13070112466812134
id,0.13050556182861328
sb,0.13044533133506775
de,0.1302763968706131
ma,0.13001379370689392
pn,0.12780804932117462
mc,0.12489311397075653
kw,0.122805155813694
so,0.12245208024978638
bo,0.12206653505563736
bl,0.12192238122224808
fr,0.12192238122224808
gf,0.12192238122224808
gp,0.12192238122224808
mf,0.12192238122224808
mq,0.12192238122224808
nc,0.12192238122224808
pm,0.12192238122224808
re,0.12192238122224808
yt,0.12192238122224808
ai,0.12137189507484436
af,0.12004660069942474
gs,0.11975280940532684
pg,0.10896532237529755
se,0.10844777524471283
tw,0.10802558064460754
cr,0.10785988718271255
tj,0.10772784799337387
do,0.10615755617618561
ms,0.10353418439626694
tl,0.09859088063240051
rw,0.09751516580581665
bf,0.09604203701019287
es,0.09532717615365982
fk,0.09232043474912643
dm,0.08912768214941025
vu,0.08894670009613037
ph,0.08702792227268219
sg,0.08477224409580231
tr,0.08450902998447418
my,0.08334270864725113
pk,0.07693963497877121
tt,0.07017065584659576
mu,0.07015713304281235
wf,0.06743961572647095
gb-wls,0.0632852241396904
fj,0.0619712769985199
io,0.060469526797533035
be,0.06028956174850464
gl,0.05915049836039543
mk,0.05911606550216675
tk,0.05692162364721298
to,0.04810667037963867
it,0.04670879989862442
pe,0.04596474766731262
ar,0.045580677688121796
ir,0.04383860528469086
at,0.040407996624708176
bv,0.038495540618896484
no,0.038495540618896484
sj,0.038495540618896484
al,0.03492451459169388
sc,0.03276494890451431
lk,0.03152094781398773
bh,0.02925894409418106
kz,0.029198290780186653
et,0.026336193084716797
pa,0.025786634534597397
lr,0.025480598211288452
gm,0.018117167055606842
uy,0.012403879314661026
za,0.008498460054397583
tv,0.005251452326774597
ug,0.003940004855394363
sa,-0.001586809754371643
gq,-0.004133505746722221
om,-0.004331424832344055
bm,-0.00753127783536911
br,-0.010106857866048813
mt,-0.011433931067585945
mx,-0.016774959862232208
ci,-0.020016886293888092
ba,-0.020219504833221436
ro,-0.023084677755832672
ne,-0.026232149451971054
td,-0.027118168771266937
dj,-0.03196994215250015
cc,-0.03835145756602287
tz,-0.04667409881949425
bw,-0.04711826145648956
dz,-0.04914470016956329
cm,-0.05090298503637314
zm,-0.05319115146994591
cg,-0.053739652037620544
bi,-0.05432153865695
kn,-0.0549812838435173
zw,-0.05695343017578125
aw,-0.0585683137178421
la,-0.06020679324865341
ie,-0.06132550537586212
ad,-0.06236749142408371
tm,-0.06272108852863312
ly,-0.06653647124767303
ng,-0.06696660816669464
gr,-0.067976213991642
ge,-0.06999174505472183
um,-0.07386443018913269
us,-0.07386443018913269
mg,-0.07801606506109238
rs,-0.07881850004196167
ee,-0.08067582547664642
fm,-0.08246361464262009
gg,-0.08421804755926132
in,-0.08698450028896332
bb,-0.0918184220790863
ua,-0.09880773723125458
gt,-0.09885578602552414
gn,-0.10376077890396118
mz,-0.11088959872722626
gb-eng,-0.11454655230045319
sn,-0.1151304543018341
pf,-0.1171761006116867
cl,-0.11772648990154266
gw,-0.12107622623443604
je,-0.12249553203582764
ml,-0.12400619685649872
bj,-0.12817882001399994
bt,-0.13624654710292816
pl,-0.1434287577867508
fo,-0.14397890865802765
km,-0.15803241729736328
cf,-0.16289252042770386
cy,-0.16551409661769867
mm,-0.17116013169288635
pr,-0.17289169132709503
kr,-0.17750374972820282
fi,-0.1812877058982849
gi,-0.18344473838806152
vi,-0.19687490165233612
va,-0.20327171683311462
nu,-0.2060522735118866
th,-0.206108957529068
ca,-0.20968087017536163
sm,-0.21187813580036163
sk,-0.21658168733119965
lb,-0.2174857258796692
md,-0.21919584274291992
cz,-0.22195985913276672
jp,-0.22424231469631195
nf,-0.23628321290016174
am,-0.24893644452095032
lc,-0.27684807777404785
vc,-0.27860546112060547
si,-0.29396066069602966
co,-0.3000204563140869
ru,-0.31724855303764343
ve,-0.32057979702949524
mr,-0.32242289185523987
ec,-0.33116745948791504
gd,-0.3509295582771301
mv,-0.3536703288555145
bg,-0.37383538484573364
bn,-0.39756596088409424
lt,-0.41617679595947266
