Image,Similarity
id,0.6401103734970093
mc,0.5968436598777771
sg,0.5745980739593506
um,0.38506972789764404
us,0.38506972789764404
rs,0.35469016432762146
lu,0.338411420583725
kg,0.33618712425231934
ch,0.31486690044403076
vn,0.3069641590118408
bf,0.30512377619743347
mk,0.2988048195838928
es,0.29463499784469604
hk,0.286590576171875
tn,0.2835988402366638
lv,0.2615526616573334
bq,0.24578669667243958
nl,0.24578669667243958
py,0.24262666702270508
cn,0.2404082715511322
ro,0.23984165489673615
tl,0.2389475405216217
hu,0.23841693997383118
dk,0.2378997802734375
sc,0.23558449745178223
td,0.23452916741371155
at,0.23395539820194244
me,0.23294119536876678
pf,0.23247107863426208
sx,0.23045504093170166
ml,0.22555261850357056
gn,0.2213643491268158
be,0.21991540491580963
pe,0.21834060549736023
by,0.2176705151796341
lr,0.21547511219978333
tr,0.21157145500183105
va,0.2110133320093155
bl,0.198543980717659
fr,0.198543980717659
gf,0.198543980717659
gp,0.198543980717659
mf,0.198543980717659
mq,0.198543980717659
nc,0.198543980717659
pm,0.198543980717659
re,0.198543980717659
yt,0.198543980717659
je,0.19847476482391357
gw,0.19806592166423798
bo,0.19720962643623352
tj,0.19336478412151337
gh,0.19317041337490082
ne,0.19003236293792725
cy,0.1898529827594757
ad,0.18843203783035278
do,0.185954749584198
sn,0.1853906214237213
im,0.18479686975479126
bi,0.18139635026454926
ie,0.17737826704978943
mt,0.17712052166461945
bt,0.1744655966758728
it,0.17446550726890564
mm,0.1744135320186615
lb,0.17332933843135834
wf,0.17330968379974365
bh,0.17321829497814178
ci,0.16561013460159302
ba,0.16537903249263763
vi,0.15667717158794403
gg,0.15448039770126343
mg,0.15396210551261902
er,0.15285789966583252
ma,0.15057985484600067
mx,0.1488722264766693
pt,0.14795082807540894
mw,0.1465541571378708
lk,0.14641878008842468
md,0.1383262276649475
kh,0.13752582669258118
de,0.1374017745256424
ng,0.13522925972938538
nu,0.13437893986701965
vc,0.1320110261440277
pa,0.1287052482366562
co,0.1281646490097046
ca,0.12721343338489532
hr,0.12518812716007233
kr,0.12152121961116791
fj,0.11912389099597931
uy,0.11889635026454926
ge,0.11813616752624512
gt,0.11035437881946564
ec,0.10858246684074402
ga,0.10730967670679092
ps,0.10454234480857849
ug,0.10223492980003357
af,0.09447963535785675
mu,0.09378960728645325
al,0.09151745587587357
jo,0.08793458342552185
am,0.0844574123620987
eh,0.08383484184741974
ar,0.08346883952617645
ye,0.08191346377134323
sr,0.08177116513252258
as,0.07978306710720062
vu,0.07875069230794907
sl,0.07684944570064545
sd,0.0758705735206604
cm,0.07567988336086273
gd,0.07519777864217758
la,0.07485172152519226
bz,0.07425552606582642
gl,0.07129889726638794
eg,0.06972966343164444
ag,0.06929367035627365
fo,0.06838096678256989
gb-eng,0.0654139369726181
jp,0.06221171095967293
cv,0.0616573765873909
kp,0.06009034439921379
cg,0.05919359624385834
il,0.05427004396915436
bv,0.05406608432531357
no,0.05406608432531357
sj,0.05406608432531357
in,0.05324723571538925
pr,0.049683600664138794
qa,0.046597763895988464
se,0.046042535454034805
tt,0.04395587742328644
bj,0.043795276433229446
bb,0.03821128234267235
gy,0.037407759577035904
ax,0.03501797094941139
gq,0.03399736434221268
io,0.03248509764671326
is,0.03028280660510063
sy,0.028442956507205963
nf,0.027909304946660995
st,0.025672078132629395
ss,0.02486373856663704
pw,0.020833097398281097
km,0.01754673570394516
gb-nir,0.012773007154464722
gb,0.012773007154464722
sh,0.012773007154464722
ly,0.010668352246284485
sm,0.009100206196308136
ao,0.00744841992855072
iq,0.006831444799900055
np,0.0052322931587696075
jm,0.005174256861209869
aq,0.0009557902812957764
dz,-0.0003048442304134369
tg,-0.009653344750404358
fm,-0.010274350643157959
gb-sct,-0.011601485311985016
sz,-0.014337711967527866
gb-wls,-0.014698207378387451
cr,-0.015277355909347534
hn,-0.018932778388261795
dm,-0.019111212342977524
na,-0.019157039001584053
za,-0.020483065396547318
pg,-0.022142156958580017
ee,-0.023809894919395447
ke,-0.028344862163066864
lt,-0.02943435311317444
tk,-0.03110293298959732
bd,-0.031989824026823044
bn,-0.032798878848552704
kw,-0.03341551125049591
my,-0.03382521867752075
ni,-0.03536660224199295
bm,-0.042279038578271866
th,-0.04530448839068413
ve,-0.04640934616327286
tw,-0.0475907027721405
to,-0.04780978709459305
ir,-0.04895436018705368
mv,-0.0572361946105957
mp,-0.05799008905887604
tz,-0.0593196265399456
cd,-0.059389352798461914
mo,-0.06342093646526337
bs,-0.06365399807691574
so,-0.06522133946418762
ls,-0.06645718961954117
fi,-0.071451835334301
ws,-0.07188495993614197
sv,-0.07245317846536636
gm,-0.07393325865268707
zw,-0.07895129919052124
tv,-0.08323343843221664
cx,-0.0855104923248291
