Image,Similarity
cz,0.5739793181419373
pl,0.5178405046463013
cl,0.4737043082714081
bn,0.41889455914497375
bj,0.3853107690811157
sm,0.3763142228126526
bt,0.36836904287338257
ba,0.32976052165031433
ie,0.327576220035553
gw,0.3073887825012207
va,0.30416634678840637
mm,0.2899131178855896
in,0.2891002893447876
om,0.2845683693885803
it,0.2833576500415802
lu,0.2784804701805115
ng,0.2767816185951233
ca,0.2697315812110901
gt,0.26267966628074646
bl,0.25935935974121094
fr,0.25935935974121094
gf,0.25935935974121094
gp,0.25935935974121094
mf,0.25935935974121094
mq,0.25935935974121094
nc,0.25935935974121094
pm,0.25935935974121094
re,0.25935935974121094
yt,0.25935935974121094
gg,0.2551673650741577
co,0.24761904776096344
py,0.2412830889225006
pe,0.23806288838386536
gb-eng,0.23628629744052887
cy,0.23424668610095978
sn,0.23301714658737183
mx,0.23102352023124695
je,0.2308374047279358
dz,0.22774505615234375
nf,0.22575466334819794
ml,0.2253880500793457
ge,0.2177773118019104
ci,0.21125955879688263
tj,0.20595964789390564
jp,0.20414339005947113
ar,0.2041230946779251
ec,0.20203755795955658
bi,0.20131118595600128
ne,0.19805940985679626
lr,0.1976553201675415
ve,0.1936580389738083
hu,0.19333522021770477
fo,0.19289018213748932
bg,0.1912960410118103
lt,0.18787305057048798
vc,0.18558242917060852
be,0.18207670748233795
vi,0.18188095092773438
bq,0.1814180314540863
nl,0.1814180314540863
gb-wls,0.18103228509426117
pr,0.18040731549263
at,0.1786515712738037
ro,0.1781051903963089
um,0.177886500954628
us,0.177886500954628
gl,0.17162124812602997
sc,0.17159780859947205
hr,0.17086930572986603
cg,0.16845451295375824
ru,0.1667681336402893
gd,0.16454258561134338
sl,0.16351468861103058
td,0.16272681951522827
sd,0.16215406358242035
za,0.16110651195049286
fm,0.1577015221118927
ad,0.15305835008621216
pg,0.15195833146572113
cr,0.15175777673721313
ye,0.1498936414718628
si,0.1497896909713745
wf,0.14977917075157166
ch,0.14762473106384277
