Image,Similarity
zm,0.42280715703964233
li,0.39175257086753845
tz,0.36555296182632446
ws,0.35974496603012085
mz,0.30738741159439087
al,0.3026955723762512
pt,0.2889058589935303
tw,0.28803306818008423
ph,0.2842661440372467
de,0.28256112337112427
cc,0.2787669003009796
qa,0.26882657408714294
ma,0.26820263266563416
bj,0.2642984688282013
to,0.24827855825424194
zw,0.2434363216161728
et,0.24217429757118225
ke,0.22763794660568237
ht,0.2143579125404358
lt,0.21236026287078857
cm,0.20308652520179749
md,0.19971194863319397
me,0.19241948425769806
pg,0.1911838948726654
br,0.18665483593940735
sa,0.1705508828163147
ve,0.16973501443862915
cw,0.16808924078941345
tr,0.16156497597694397
cn,0.16032224893569946
mv,0.1562923640012741
tl,0.15362408757209778
tt,0.1533038169145584
mw,0.15208768844604492
cg,0.15109077095985413
tk,0.14911213517189026
ss,0.14056488871574402
td,0.13949668407440186
lk,0.1360829472541809
ag,0.13460874557495117
bm,0.13352064788341522
tm,0.13211941719055176
mr,0.13166648149490356
bh,0.13085855543613434
ua,0.13064917922019958
ml,0.12909528613090515
ee,0.12902918457984924
eu,0.12119293212890625
dm,0.12022307515144348
gi,0.11303028464317322
ao,0.11165118217468262
sn,0.10905299335718155
st,0.10830602794885635
ro,0.10591044276952744
nr,0.10504768043756485
bb,0.10438588261604309
be,0.10389185696840286
ad,0.1016131192445755
ug,0.0994986742734909
ly,0.09906065464019775
pk,0.09873021394014359
pn,0.09102412313222885
es,0.09097874909639359
gs,0.08933097124099731
am,0.08861687034368515
vg,0.08396239578723907
vn,0.08378979563713074
vc,0.08289305865764618
af,0.08187156170606613
sb,0.07712838053703308
ms,0.07497057318687439
tc,0.07339286804199219
im,0.071221724152565
bv,0.06936845928430557
no,0.06936845928430557
sj,0.06936845928430557
tg,0.06541138142347336
ky,0.06456587463617325
nz,0.06454993039369583
mk,0.06053631007671356
ec,0.058663565665483475
gd,0.058521393686532974
rw,0.05606328323483467
ai,0.05556575581431389
kg,0.05502742528915405
fk,0.0509146973490715
bd,0.05079807713627815
co,0.04727906361222267
ru,0.046612367033958435
bg,0.042364947497844696
gu,0.03725745901465416
jm,0.03664582222700119
wf,0.03126021474599838
cf,0.03005880117416382
my,0.029787642881274223
au,0.028156626969575882
hm,0.028156626969575882
cx,0.022113393992185593
gb-nir,0.02199154905974865
gb,0.02199154905974865
sh,0.02199154905974865
ck,0.021089745685458183
kp,0.02056315913796425
si,0.02046489156782627
er,0.012150274589657784
sk,0.010996265336871147
sr,0.00797443836927414
th,0.006574745289981365
np,0.004596205428242683
ax,0.003947153687477112
ir,0.003852464258670807
mh,0.0016394183039665222
gq,0.00043430551886558533
cv,-0.0007246658205986023
az,-0.004769604653120041
vu,-0.005375847220420837
sz,-0.006073259748518467
cz,-0.009274166077375412
mn,-0.009671203792095184
tn,-0.015977950766682625
bn,-0.01711193099617958
gb-wls,-0.020805105566978455
cl,-0.02795223891735077
bs,-0.030075453221797943
kw,-0.03073197603225708
tf,-0.03230740875005722
nu,-0.03300353139638901
gh,-0.03333817422389984
pr,-0.03453913331031799
ga,-0.03484438359737396
mu,-0.046020835638046265
ba,-0.04758264124393463
kh,-0.0549812838435173
om,-0.05766507238149643
gm,-0.057772520929574966
se,-0.06284459680318832
ge,-0.0660802572965622
lb,-0.06825141608715057
by,-0.06831090897321701
is,-0.06946993619203568
cr,-0.07151561975479126
za,-0.07177820801734924
hk,-0.07208463549613953
dz,-0.07477948814630508
gy,-0.07564668357372284
ae,-0.07677581906318665
bo,-0.08660823851823807
bt,-0.08863474428653717
xk,-0.09188461303710938
pf,-0.09324468672275543
pa,-0.09394118934869766
mx,-0.09532412886619568
pl,-0.09633959829807281
dk,-0.09807689487934113
bz,-0.10049974918365479
kr,-0.1026543378829956
gn,-0.10654888302087784
cu,-0.10664843022823334
sx,-0.10683785378932953
lc,-0.10829957574605942
mp,-0.11074896156787872
mt,-0.11082309484481812
fi,-0.11329387873411179
la,-0.11533263325691223
bw,-0.1158454567193985
mo,-0.11723443120718002
jo,-0.11790994554758072
lv,-0.11980372667312622
na,-0.12255445122718811
sc,-0.12780910730361938
eh,-0.13348306715488434
gl,-0.1353628933429718
jp,-0.1424761712551117
mm,-0.1436801552772522
ch,-0.1460244506597519
ls,-0.14636799693107605
km,-0.15142083168029785
iq,-0.15197059512138367
pe,-0.15351071953773499
gw,-0.15490470826625824
gb-eng,-0.15520861744880676
do,-0.15690624713897705
lr,-0.1606120765209198
gg,-0.16730517148971558
aq,-0.16832399368286133
ca,-0.16878990828990936
io,-0.1691906750202179
mg,-0.17197129130363464
kz,-0.17511318624019623
bi,-0.18237166106700897
um,-0.18287698924541473
us,-0.18287698924541473
eg,-0.1828809380531311
nf,-0.18337009847164154
ps,-0.1855388730764389
sy,-0.18771302700042725
bl,-0.19190172851085663
fr,-0.19190172851085663
gf,-0.19190172851085663
gp,-0.19190172851085663
mf,-0.19190172851085663
mq,-0.19190172851085663
nc,-0.19190172851085663
pm,-0.19190172851085663
re,-0.19190172851085663
yt,-0.19190172851085663
as,-0.19218967854976654
aw,-0.1975587010383606
pw,-0.19985100626945496
bf,-0.2002992033958435
rs,-0.20289695262908936
ki,-0.20317500829696655
it,-0.20480391383171082
sv,-0.21132127940654755
il,-0.21397414803504944
fo,-0.21880851686000824
uy,-0.2190021574497223
hr,-0.22224581241607666
ye,-0.22437945008277893
at,-0.2306050956249237
sd,-0.23372000455856323
ne,-0.2485026717185974
va,-0.24900631606578827
in,-0.24985966086387634
tj,-0.25802096724510193
cd,-0.2605155110359192
ie,-0.26196396350860596
hn,-0.2626253366470337
id,-0.2668183147907257
