Image,Similarity
jp,0.5315495729446411
gt,0.5242162942886353
ca,0.5159013867378235
ng,0.492482841014862
mx,0.4700916111469269
ar,0.4559420347213745
pe,0.3465189039707184
fj,0.3459107577800751
uy,0.3417483568191528
us,0.3253414630889892
it,0.3149504661560058
il,0.3140589594841003
gr,0.2847930490970611
pl,0.2707988023757934
fr,0.2662788331508636
id,0.2584214806556701
dz,0.2091041505336761
ru,0.1862085461616516
cl,0.1807821244001388
in,0.1647090911865234
tv,0.1626945286989212
cr,0.1488383412361145
kz,0.1326591968536377
pw,0.1243327334523201
do,0.117047518491745
py,0.1097580641508102
cu,0.0903170704841613
co,0.0855829045176506
th,0.0787735730409622
br,0.0539128556847572
gb,0.0525942035019397
ec,0.0479352548718452
se,0.0135830529034137
za,-0.0497038513422012
ua,-0.0591219589114189
ve,-0.0595724172890186
as,-0.0681883171200752
eg,-0.0766460672020912
cn,-0.1101135239005088
to,-0.1187056899070739
bo,-0.1221988499164581
bz,-0.1660872846841812
es,-0.167038545012474
zw,-0.1872749626636505
au,-0.2033919990062713
vn,-0.2086736112833023
nz,-0.2132052183151245
de,-0.232867494225502
ma,-0.2363679409027099
ug,-0.2414631992578506
vu,-0.2415824979543686
sb,-0.2579736709594726
ht,-0.282768577337265
sa,-0.289618045091629
ws,-0.2901853919029236
jm,-0.3024215400218963
pg,-0.3046613335609436
ke,-0.3457090854644775
pk,-0.3518528640270233
ao,-0.381347119808197
