Image,Similarity
vg,0.9307436943054199
nz,0.904182493686676
fk,0.9038729667663574
ms,0.9014032483100891
gs,0.8992837071418762
tc,0.8992660641670227
pn,0.8927446603775024
au,0.8823050260543823
hm,0.8823050260543823
ai,0.8705284595489502
ck,0.8124294281005859
tf,0.5512639880180359
tv,0.5460194945335388
eu,0.5034118890762329
gu,0.4558561444282532
nr,0.42771053314208984
mn,0.368047833442688
cw,0.36153921484947205
cx,0.3256905972957611
sa,0.3142262399196625
sx,0.292161226272583
tm,0.28785440325737
ly,0.2806118130683899
ao,0.2788221538066864
vu,0.2596363425254822
bm,0.2567230761051178
sb,0.2537888288497925
pk,0.2447567582130432
fj,0.24431832134723663
io,0.24278514087200165
pg,0.2318965196609497
tz,0.2302461862564087
np,0.22080036997795105
xk,0.2120174616575241
is,0.20342721045017242
qa,0.20049461722373962
cc,0.1945379674434662
mh,0.1926836520433426
ss,0.18747003376483917
ke,0.1761612445116043
gm,0.17277468740940094
li,0.15387631952762604
mv,0.14181378483772278
mo,0.14038628339767456
bf,0.138579323887825
kh,0.1371743381023407
bd,0.13449741899967194
cv,0.13214151561260223
zm,0.13034361600875854
so,0.12262703478336334
pa,0.12025018036365509
bz,0.11563587188720703
cd,0.1150176152586937
ht,0.10497649759054184
et,0.10031390935182571
mp,0.09899017214775085
by,0.09801430255174637
sy,0.09678149223327637
mw,0.0957394540309906
kz,0.09513229876756668
to,0.09247663617134094
bs,0.0879017785191536
sv,0.08288136124610901
iq,0.08271794766187668
ls,0.07786176353693008
dm,0.07042456418275833
za,0.06894244998693466
kn,0.06456587463617325
hn,0.0639781504869461
ru,0.06373389065265656
gb-wls,0.060864076018333435
se,0.056676749140024185
ph,0.05421161279082298
br,0.05313193425536156
ve,0.04936233162879944
aw,0.04624529927968979
kp,0.04469090327620506
la,0.04458487778902054
jm,0.04320971295237541
eg,0.03875822573900223
bw,0.03850181773304939
ae,0.03796572610735893
sd,0.036532286554574966
uy,0.036113716661930084
hr,0.031226692721247673
er,0.027799632400274277
si,0.027093814685940742
ye,0.02699197456240654
mg,0.02667773887515068
gb-nir,0.024186041206121445
gb,0.024186041206121445
sh,0.024186041206121445
ni,0.02239169366657734
am,0.016155196353793144
ba,0.015454725362360477
ax,0.014940404333174229
dj,0.013610723428428173
eh,0.013587430119514465
om,0.013221435248851776
jo,0.011415060609579086
gb-sct,0.009818624705076218
al,0.00954409595578909
cu,0.008794249035418034
na,0.0032304376363754272
bv,0.0029337862506508827
no,0.0029337862506508827
sj,0.0029337862506508827
lt,0.0019918326288461685
ps,0.0008393833413720131
py,-0.0007015354931354523
ee,-0.0013506142422556877
gh,-0.006911958567798138
aq,-0.00702566746622324
as,-0.013444188982248306
th,-0.014695816673338413
bg,-0.016541477292776108
sk,-0.02260780893266201
bo,-0.022847484797239304
sz,-0.023397497832775116
ma,-0.02349669486284256
az,-0.02480001002550125
co,-0.025915827602148056
rw,-0.026010708883404732
tt,-0.030204597860574722
gw,-0.032953083515167236
pw,-0.044785432517528534
zw,-0.046662427484989166
af,-0.047286804765462875
mr,-0.053124990314245224
bq,-0.0540342815220356
nl,-0.0540342815220356
cr,-0.05570169910788536
tg,-0.059480175375938416
il,-0.06457411497831345
gi,-0.06937448680400848
sl,-0.0705912783741951
tj,-0.07117237150669098
mz,-0.07396793365478516
ag,-0.0745285302400589
me,-0.07747120410203934
ws,-0.07862132042646408
mu,-0.0814320519566536
im,-0.09327730536460876
bb,-0.09581807255744934
ug,-0.09636270254850388
lv,-0.09852056950330734
lu,-0.10154713690280914
bh,-0.10339991748332977
cf,-0.10470540076494217
sm,-0.10671798139810562
tw,-0.11024829000234604
in,-0.11201702058315277
fi,-0.11295665055513382
sr,-0.11650148779153824
cm,-0.11673662066459656
fm,-0.1176237165927887
tr,-0.11962708830833435
pt,-0.12013676017522812
uz,-0.12152557075023651
dk,-0.12471213936805725
rs,-0.12710490822792053
sc,-0.13450902700424194
gr,-0.1360645741224289
ec,-0.1370037943124771
ne,-0.13846895098686218
gy,-0.1396007537841797
km,-0.1503681242465973
lc,-0.1518552005290985
mt,-0.1526464968919754
ga,-0.1541096270084381
cz,-0.1552785038948059
tl,-0.15662772953510284
cn,-0.1567596048116684
hu,-0.15687696635723114
pl,-0.1687907725572586
tn,-0.16894645988941193
de,-0.1809728592634201
wf,-0.18597915768623352
kr,-0.18700948357582092
st,-0.19371363520622253
pr,-0.19527968764305115
kw,-0.19661302864551544
lk,-0.1969887912273407
ki,-0.19751489162445068
lb,-0.19799770414829254
pf,-0.1993398815393448
vn,-0.21097074449062347
lr,-0.21385103464126587
bi,-0.21452857553958893
hk,-0.22401520609855652
ir,-0.22535647451877594
jp,-0.22542612254619598
do,-0.22877755761146545
ar,-0.2306724190711975
my,-0.23244743049144745
bj,-0.23454485833644867
nf,-0.23506370186805725
cl,-0.23735411465168
bn,-0.24027588963508606
gb-eng,-0.2516813278198242
fo,-0.25505301356315613
dz,-0.25926274061203003
es,-0.26206621527671814
ge,-0.26591140031814575
gq,-0.26631492376327515
be,-0.2679809331893921
ad,-0.26806026697158813
ua,-0.26823168992996216
ch,-0.2712465524673462
tk,-0.27485835552215576
bl,-0.2775711417198181
fr,-0.2775711417198181
gf,-0.2775711417198181
gp,-0.2775711417198181
mf,-0.2775711417198181
mq,-0.2775711417198181
nc,-0.2775711417198181
pm,-0.2775711417198181
re,-0.2775711417198181
yt,-0.2775711417198181
at,-0.2791585326194763
mx,-0.28156834840774536
mk,-0.282657265663147
gd,-0.28695443272590637
gt,-0.28802675008773804
kg,-0.29044950008392334
ca,-0.29515132308006287
nu,-0.2997055649757385
pe,-0.30160900950431824
mm,-0.306307315826416
td,-0.3100120723247528
it,-0.3123760223388672
gl,-0.32003718614578247
ro,-0.32026004791259766
md,-0.32257938385009766
vi,-0.3233901858329773
ci,-0.3288748264312744
gg,-0.3306848108768463
um,-0.3383210599422455
us,-0.3383210599422455
gn,-0.3401870131492615
ng,-0.35133829712867737
id,-0.35469576716423035
vc,-0.3594653010368347
je,-0.3619271218776703
mc,-0.3687744736671448
cy,-0.37690114974975586
