Image,Similarity
pw,0.5183409452438354
tv,0.4850035011768341
ar,0.4478622674942016
gt,0.375676155090332
fj,0.3514436483383178
sb,0.3484983146190643
gr,0.3445296287536621
il,0.3340973854064941
sa,0.3226694762706756
ng,0.2743496596813202
uy,0.2734590470790863
bz,0.2246063202619552
se,0.2198695093393325
cu,0.2011352181434631
dz,0.189206063747406
as,0.1614582240581512
kr,0.1326591968536377
nz,0.1184912323951721
it,0.116410955786705
pk,0.1135526299476623
au,0.1066784858703613
jm,0.1036608591675758
cr,0.1000164449214935
mx,0.0989203602075576
py,0.0640256032347679
za,0.048203982412815
br,0.0456393435597419
ca,0.033738873898983
fr,0.0318616367876529
jp,0.0145183727145195
do,-0.0028631351888179
us,-0.0132855251431465
ua,-0.0179861336946487
in,-0.0437183082103729
th,-0.0664533227682113
gb,-0.0735640525817871
ru,-0.1039981544017791
eg,-0.1212381273508071
cl,-0.1272591352462768
ht,-0.1327593177556991
vu,-0.1409387290477752
ke,-0.1465347409248352
pl,-0.1479318588972091
pe,-0.1868564337491989
bo,-0.2156582176685333
id,-0.2222826182842254
co,-0.2770240902900696
pg,-0.2940821647644043
ec,-0.3414410352706909
ao,-0.3576581478118896
ug,-0.3899989724159241
de,-0.4246992766857147
zw,-0.4323280751705169
ve,-0.4331726729869842
ws,-0.4476413130760193
es,-0.5090402960777283
to,-0.5328500866889954
vn,-0.6485470533370972
ma,-0.7662351727485657
cn,-0.7697833180427551
