Image,Similarity
pf,0.8528331518173218
at,0.6375573873519897
bi,0.6138921976089478
tj,0.546507716178894
ir,0.5355983376502991
hu,0.4986827075481415
pr,0.48840633034706116
il,0.46691271662712097
gq,0.4605589509010315
bt,0.44613656401634216
in,0.44064536690711975
py,0.4147484302520752
bq,0.4146214723587036
nl,0.4146214723587036
ne,0.3980889916419983
eg,0.3904251456260681
es,0.386505663394928
kw,0.38626828789711
ye,0.3781898617744446
ar,0.37245938181877136
lu,0.371945321559906
iq,0.3647920489311218
sd,0.36399906873703003
wf,0.3491894006729126
lr,0.3405115604400635
hr,0.3404920995235443
cy,0.33834975957870483
sg,0.3370498716831207
lv,0.3350871801376343
gi,0.33416715264320374
pl,0.33310335874557495
as,0.3326866030693054
dk,0.3264228403568268
hk,0.3224528431892395
nf,0.3180387616157532
cf,0.31238386034965515
ch,0.30438870191574097
tn,0.3017333149909973
ls,0.3001958727836609
ie,0.29732662439346313
va,0.2969713807106018
gl,0.29552847146987915
kg,0.29395031929016113
mm,0.2937822937965393
mt,0.292183518409729
sy,0.2878890335559845
tr,0.2827475666999817
mc,0.27684134244918823
id,0.27578210830688477
ec,0.2720629572868347
um,0.26910775899887085
us,0.26910775899887085
ge,0.2622431814670563
mk,0.26089808344841003
sm,0.2601678967475891
cu,0.25287744402885437
nu,0.25194329023361206
gb-eng,0.24996843934059143
co,0.24520808458328247
gg,0.2433425486087799
gt,0.24220381677150726
si,0.23917073011398315
uy,0.2380182296037674
fm,0.23689281940460205
gb-sct,0.23330366611480713
bn,0.23224954307079315
je,0.23161953687667847
ng,0.2306717485189438
bh,0.22837738692760468
lc,0.22728554904460907
kr,0.22372394800186157
bm,0.21716457605361938
cl,0.21525238454341888
pe,0.21063196659088135
vc,0.20963051915168762
tl,0.20740288496017456
ca,0.20173649489879608
mx,0.1979670524597168
sv,0.1963595747947693
im,0.1880040168762207
cz,0.18514753878116608
ae,0.18405024707317352
bo,0.18335148692131042
hn,0.18327437341213226
sl,0.18326136469841003
gd,0.1825009137392044
gb-nir,0.18125125765800476
gb,0.18125125765800476
sh,0.18125125765800476
do,0.180526465177536
bg,0.18043634295463562
th,0.18034487962722778
sk,0.17947036027908325
vn,0.17603352665901184
ki,0.17332933843135834
vi,0.1727859228849411
lk,0.17194978892803192
mg,0.1693926900625229
ci,0.1679086536169052
ps,0.1668623685836792
ni,0.16680490970611572
cn,0.16590964794158936
bv,0.1654331535100937
no,0.1654331535100937
sj,0.1654331535100937
eh,0.16185954213142395
fo,0.15485449135303497
aq,0.15202878415584564
rs,0.1513977199792862
pa,0.1504565179347992
am,0.15012241899967194
uz,0.14913077652454376
jp,0.14497685432434082
gm,0.14449816942214966
md,0.1430206298828125
sc,0.1396254599094391
km,0.13672378659248352
dj,0.1341225951910019
fj,0.13259291648864746
me,0.12852829694747925
it,0.12570659816265106
sn,0.12558522820472717
my,0.12385448068380356
cr,0.11840461939573288
gh,0.11746948957443237
ve,0.11287440359592438
mr,0.11219795793294907
to,0.11075224727392197
bl,0.10997974872589111
fr,0.10997974872589111
gf,0.10997974872589111
gp,0.10997974872589111
mf,0.10997974872589111
mq,0.10997974872589111
nc,0.10997974872589111
pm,0.10997974872589111
re,0.10997974872589111
yt,0.10997974872589111
ru,0.1092393696308136
gr,0.10682330280542374
ag,0.09829093515872955
cg,0.09673018008470535
al,0.08902199566364288
ma,0.08863507956266403
sx,0.087845079600811
ml,0.0845852717757225
io,0.08382315933704376
lt,0.0829881951212883
ad,0.07644840329885483
dz,0.07586826384067535
gn,0.0717325210571289
mv,0.0675162672996521
aw,0.057358622550964355
ro,0.0561823770403862
tw,0.05214202031493187
pt,0.046900488436222076
cm,0.043499357998371124
gw,0.033121027052402496
bz,0.03305402398109436
tg,0.030719943344593048
et,0.03050611913204193
td,0.02995745837688446
ba,0.028407443314790726
tt,0.02334546484053135
la,0.02319294959306717
ua,0.01795586571097374
za,0.017352301627397537
ph,0.012222431600093842
np,0.008016210049390793
ug,0.0015713050961494446
bj,-0.0005525574088096619
jo,-0.001607608050107956
mp,-0.003351230174303055
fi,-0.004825916141271591
tk,-0.011788859963417053
kp,-0.01947832852602005
so,-0.02624308317899704
cv,-0.03194711357355118
mu,-0.042259618639945984
rw,-0.04802989587187767
be,-0.05032363533973694
ws,-0.056040290743112564
af,-0.0598638541996479
tv,-0.06120039522647858
kn,-0.06825141608715057
is,-0.06882927566766739
bw,-0.0726965144276619
tf,-0.07812466472387314
st,-0.08008889853954315
bb,-0.08091370761394501
bf,-0.0810127705335617
qa,-0.09427022188901901
gb-wls,-0.09697040915489197
se,-0.10111325234174728
pw,-0.10711324214935303
sr,-0.11009152978658676
br,-0.11307796835899353
ht,-0.11485429108142853
ga,-0.11775504797697067
fk,-0.1267681121826172
ss,-0.12758345901966095
ai,-0.12978076934814453
gy,-0.13388442993164062
pg,-0.1343643218278885
ax,-0.13487593829631805
mz,-0.14526280760765076
ke,-0.15189552307128906
om,-0.15844205021858215
de,-0.1700305938720703
li,-0.17070451378822327
by,-0.17616432905197144
mn,-0.17633214592933655
mh,-0.17825153470039368
zw,-0.18095800280570984
ao,-0.18339529633522034
tc,-0.19308915734291077
sz,-0.1935696005821228
ms,-0.19394907355308533
jm,-0.19615301489830017
ky,-0.19799770414829254
cd,-0.19960695505142212
pn,-0.20393899083137512
ck,-0.20672446489334106
kz,-0.21575294435024261
gs,-0.21680407226085663
kh,-0.2174857258796692
na,-0.21829333901405334
cw,-0.21859174966812134
vg,-0.22836826741695404
au,-0.23552869260311127
hm,-0.23552869260311127
pk,-0.2356666624546051
sa,-0.23732928931713104
vu,-0.25274261832237244
xk,-0.2617923319339752
nz,-0.26306524872779846
dm,-0.26670509576797485
er,-0.28054529428482056
sb,-0.2859744131565094
az,-0.3073691427707672
mw,-0.31265926361083984
zm,-0.32079407572746277
bs,-0.3215792775154114
ee,-0.32171979546546936
eu,-0.3336957097053528
mo,-0.33981284499168396
bd,-0.3405507802963257
tz,-0.3409557342529297
nr,-0.3436238765716553
tm,-0.34401679039001465
cx,-0.3806004524230957
cc,-0.41919052600860596
gu,-0.43878257274627686
ly,-0.44863414764404297
