Image,Similarity
ht,0.7808284759521484
ph,0.7725489139556885
ws,0.6569923758506775
tw,0.5752691030502319
qa,0.5329254269599915
ua,0.48968374729156494
al,0.47200971841812134
de,0.46027085185050964
ma,0.40520113706588745
cw,0.3948555886745453
kn,0.39175257086753845
mz,0.3717517554759979
et,0.3585440516471863
me,0.34188324213027954
to,0.3256677985191345
rw,0.31795477867126465
bm,0.31165212392807007
cn,0.3107541501522064
im,0.29565346240997314
cv,0.29439234733581543
tk,0.27819645404815674
nr,0.2771938145160675
gu,0.27701878547668457
tl,0.2663368582725525
sb,0.256766140460968
tt,0.255465030670166
ke,0.2550419867038727
eu,0.2547304630279541
tr,0.2539847791194916
ag,0.2459518015384674
mw,0.22004148364067078
mv,0.21483828127384186
am,0.21112704277038574
pt,0.20963191986083984
bd,0.20924915373325348
zm,0.20846587419509888
ee,0.20807617902755737
vn,0.2047232985496521
mh,0.19674992561340332
tn,0.19128622114658356
bh,0.18638277053833008
zw,0.18192091584205627
my,0.1813097447156906
gs,0.1812041699886322
np,0.17689499258995056
la,0.17103981971740723
nz,0.16897471249103546
mn,0.16614118218421936
ss,0.16459697484970093
ms,0.16361580789089203
wf,0.16328471899032593
pk,0.16081146895885468
vg,0.15766219794750214
ly,0.1572227030992508
lk,0.15651831030845642
ky,0.15387631952762604
au,0.15355947613716125
hm,0.15355947613716125
xk,0.1527268886566162
bv,0.14702372252941132
no,0.14702372252941132
sj,0.14702372252941132
kh,0.14685535430908203
er,0.14323748648166656
af,0.13998878002166748
kg,0.13605275750160217
hk,0.1353350281715393
tf,0.13164465129375458
kw,0.12907060980796814
pn,0.12897081673145294
na,0.12603417038917542
az,0.12466281652450562
tc,0.12065344303846359
kp,0.11925430595874786
fk,0.1183805987238884
ck,0.11516978591680527
pg,0.11240562796592712
cm,0.10694614052772522
ve,0.10544554144144058
mu,0.10185928642749786
si,0.09926745295524597
gi,0.09918217360973358
ai,0.09825897961854935
ug,0.09702371805906296
ao,0.09653952717781067
tm,0.09573189914226532
sz,0.09380019456148148
ru,0.09260055422782898
cc,0.09159859269857407
lv,0.08705870807170868
mk,0.08570341020822525
is,0.08317185938358307
bz,0.07579132914543152
cl,0.0745314508676529
gb-nir,0.07190351188182831
gb,0.07190351188182831
sh,0.07190351188182831
mr,0.07019184529781342
dm,0.06996926665306091
ir,0.06663835048675537
es,0.05308312922716141
cg,0.05289924889802933
gq,0.049237098544836044
cf,0.04030143469572067
dk,0.03964141756296158
cx,0.03000251203775406
cz,0.021366111934185028
jm,0.02079833671450615
ch,0.01855992153286934
sa,0.015455201268196106
sk,0.015218183398246765
sr,0.009806441143155098
be,0.004391759634017944
lt,0.003324061632156372
jo,0.0009113757405430079
tz,-0.0007054759189486504
bb,-0.00600862130522728
ax,-0.0069720447063446045
bg,-0.00949307531118393
pl,-0.018027611076831818
mo,-0.020446814596652985
ae,-0.022558512166142464
th,-0.02378477156162262
bj,-0.029178477823734283
gb-wls,-0.031623102724552155
tg,-0.0339302122592926
cd,-0.03556755185127258
bs,-0.059622623026371
mp,-0.0596255399286747
td,-0.0628795176744461
gm,-0.06303997337818146
aw,-0.06343932449817657
br,-0.07279671728610992
eh,-0.07985535264015198
as,-0.07986372709274292
do,-0.08549853414297104
cr,-0.09006734937429428
ad,-0.09235703945159912
pr,-0.09921427071094513
gd,-0.10023272782564163
ro,-0.10373898595571518
cu,-0.10505728423595428
ps,-0.10776013135910034
vu,-0.10880091041326523
at,-0.11685950309038162
gy,-0.12033799290657043
aq,-0.12334802001714706
by,-0.12336612492799759
md,-0.12524354457855225
io,-0.12596413493156433
hn,-0.12639904022216797
se,-0.12885083258152008
gn,-0.1327398270368576
gl,-0.13423216342926025
nu,-0.13643509149551392
ls,-0.13823291659355164
rs,-0.1383514553308487
ge,-0.13912361860275269
mt,-0.1435333490371704
sy,-0.14653749763965607
sv,-0.14876294136047363
pe,-0.14972731471061707
um,-0.15019680559635162
us,-0.15019680559635162
st,-0.1532590389251709
lr,-0.15764179825782776
lc,-0.15817955136299133
bi,-0.16175304353237152
iq,-0.1625104546546936
eg,-0.1625288873910904
pf,-0.16312891244888306
fi,-0.16385987401008606
lb,-0.17070451378822327
om,-0.17089790105819702
sd,-0.17400088906288147
ml,-0.1749466210603714
ga,-0.17505726218223572
ye,-0.17802904546260834
bw,-0.17836514115333557
bt,-0.20139488577842712
bn,-0.20491541922092438
mm,-0.20498353242874146
hr,-0.20554304122924805
dz,-0.2073984444141388
za,-0.21367314457893372
sn,-0.21388009190559387
gb-eng,-0.22270146012306213
gb-sct,-0.22851309180259705
bl,-0.23075667023658752
fr,-0.23075667023658752
gf,-0.23075667023658752
gp,-0.23075667023658752
mf,-0.23075667023658752
mq,-0.23075667023658752
nc,-0.23075667023658752
pm,-0.23075667023658752
re,-0.23075667023658752
yt,-0.23075667023658752
ni,-0.2313721477985382
jp,-0.2315782904624939
uz,-0.23235183954238892
gh,-0.23414739966392517
fo,-0.23669487237930298
gr,-0.2401241660118103
so,-0.24517646431922913
sc,-0.24839618802070618
sx,-0.2503608167171478
il,-0.25613415241241455
gg,-0.2567846179008484
uy,-0.26292529702186584
pw,-0.26872241497039795
tv,-0.27168941497802734
vc,-0.2717202603816986
ec,-0.2750433683395386
pa,-0.29037609696388245
dj,-0.29187294840812683
ca,-0.2932380735874176
mc,-0.29337209463119507
kz,-0.2989448308944702
bo,-0.3033715784549713
mx,-0.30596956610679626
it,-0.309273898601532
tj,-0.30960938334465027
km,-0.31411221623420715
je,-0.3179381191730499
ki,-0.31817826628685
ci,-0.32966408133506775
id,-0.3368908762931824
bq,-0.3419226408004761
nl,-0.3419226408004761
vi,-0.3525855541229248
ba,-0.35670143365859985
kr,-0.3577904999256134
co,-0.3579472601413727
va,-0.372016042470932
hu,-0.37437552213668823
fj,-0.3777627944946289
sg,-0.3823043704032898
sl,-0.3845542073249817
py,-0.4044724106788635
nf,-0.4065121114253998
fm,-0.4217245578765869
ar,-0.4284069538116455
ng,-0.4339137077331543
gt,-0.4385095238685608
ie,-0.4399111866950989
cy,-0.454824835062027
ne,-0.4550720453262329
in,-0.4670748710632324
mg,-0.4678216874599457
bf,-0.5081050992012024
sm,-0.5802717804908752
lu,-0.5880646705627441
gw,-0.6523792743682861
