Image,Similarity
cn,0.615733802318573
tl,0.6076797842979431
es,0.6017200946807861
vn,0.5772820711135864
ma,0.5662771463394165
kg,0.5650956630706787
me,0.5527446866035461
mk,0.552051842212677
wf,0.536847710609436
al,0.5337263345718384
tr,0.5238305330276489
to,0.47019925713539124
im,0.46960222721099854
bh,0.4668828547000885
tw,0.45174044370651245
tn,0.4482633173465729
hk,0.4366343021392822
qa,0.40931305289268494
pt,0.39011427760124207
bm,0.36173027753829956
gh,0.3580741882324219
bo,0.3478899598121643
ws,0.34445953369140625
nu,0.3440091013908386
de,0.3437896966934204
cm,0.330508291721344
ch,0.3274083137512207
bt,0.3219984471797943
by,0.3188810646533966
gi,0.31596383452415466
pg,0.3154340982437134
lv,0.2998509407043457
ao,0.29213958978652954
at,0.28428202867507935
ec,0.28196024894714355
vc,0.25604140758514404
zw,0.2508544623851776
tt,0.2506312429904938
co,0.24288219213485718
ml,0.2418210208415985
dk,0.2413615882396698
md,0.24101874232292175
bn,0.23890361189842224
sc,0.23830321431159973
mw,0.23291325569152832
cg,0.22864946722984314
ug,0.2220563292503357
gn,0.220821350812912
lt,0.22034943103790283
bj,0.21974152326583862
id,0.21867124736309052
mm,0.21546225249767303
st,0.2118002474308014
gd,0.20836982131004333
pf,0.20784485340118408
ge,0.20694668591022491
tk,0.20633161067962646
er,0.20416802167892456
eg,0.2017838954925537
td,0.1887163519859314
mg,0.1815374791622162
gq,0.1813703328371048
gb-wls,0.17919112741947174
kp,0.1749257743358612
ye,0.1748967170715332
iq,0.17311552166938782
lb,0.17194978892803192
ve,0.167706698179245
sd,0.16553965210914612
ke,0.16404660046100616
sy,0.16122281551361084
ne,0.1585182547569275
my,0.15841957926750183
li,0.15651831030845642
mu,0.15606805682182312
cf,0.1556185632944107
tg,0.1540629267692566
bf,0.15399278700351715
sz,0.14669670164585114
ki,0.14641878008842468
gg,0.14545899629592896
va,0.14389821887016296
gl,0.14377564191818237
bv,0.14224660396575928
no,0.14224660396575928
sj,0.14224660396575928
ro,0.14105170965194702
be,0.14087741076946259
kn,0.1360829472541809
mc,0.13604989647865295
pl,0.1347484290599823
sg,0.1326477974653244
tj,0.1315653771162033
af,0.12964636087417603
ir,0.12900198996067047
am,0.125714972615242
vu,0.1179126501083374
gw,0.11650945246219635
gy,0.11619505286216736
om,0.11525629460811615
mt,0.11465541273355484
hu,0.10969336330890656
sx,0.10908307135105133
in,0.10881120711565018
sn,0.10418407618999481
ax,0.10135655105113983
jm,0.09385853260755539
jp,0.08769752085208893
bi,0.08473171293735504
mv,0.08455171436071396
et,0.08335422724485397
kw,0.0823216438293457
gb-eng,0.08135039359331131
ly,0.08126275986433029
zm,0.08014620840549469
cz,0.07740332931280136
ad,0.07322314381599426
gb-nir,0.07146425545215607
gb,0.07146425545215607
sh,0.07146425545215607
bd,0.07082200050354004
km,0.06849692761898041
hr,0.06762267649173737
ca,0.06604232639074326
sr,0.062259942293167114
cl,0.05865474045276642
pe,0.056134358048439026
lr,0.05557005852460861
py,0.055100217461586
ss,0.05021730437874794
je,0.05012400448322296
ba,0.04964407905936241
bq,0.049032941460609436
nl,0.049032941460609436
