Image,Similarity
ve,0.8627188205718994
bg,0.6097303628921509
ru,0.5623161792755127
co,0.5456838607788086
gd,0.539057195186615
ec,0.5277647376060486
am,0.5070526003837585
mm,0.5002123713493347
si,0.49377819895744324
mv,0.4498540759086609
sk,0.4190228581428528
al,0.4044559895992279
zw,0.3776901364326477
ma,0.3760794997215271
vc,0.34843263030052185
md,0.3368404507637024
bn,0.3273138999938965
gw,0.3269769549369812
th,0.3190862834453583
ug,0.3174876272678375
bj,0.31532996892929077
me,0.2993552088737488
pg,0.28066474199295044
ly,0.28052693605422974
cn,0.2783842086791992
tl,0.2758313715457916
to,0.2636070251464844
vn,0.2585802674293518
cz,0.2563336491584778
ao,0.2491975724697113
es,0.24431459605693817
ml,0.23730874061584473
kg,0.23684927821159363
mk,0.2356337159872055
td,0.23298799991607666
zm,0.22731463611125946
sn,0.22487463057041168
lk,0.22034943103790283
bt,0.2195369154214859
kn,0.21236026287078857
gn,0.2121226191520691
ba,0.20850643515586853
mr,0.2045826017856598
tr,0.20100609958171844
cm,0.1983785629272461
im,0.19699640572071075
ad,0.19607806205749512
gi,0.19514040648937225
ro,0.1934206187725067
bm,0.19245928525924683
qa,0.19234374165534973
tw,0.19188787043094635
bb,0.18829113245010376
km,0.18787305057048798
be,0.1846950352191925
pt,0.18256324529647827
nu,0.18247878551483154
tt,0.17091722786426544
wf,0.1661963164806366
vu,0.1651921272277832
tg,0.16192911565303802
tn,0.1523737907409668
bh,0.14378628134727478
hk,0.143021360039711
za,0.13409434258937836
cc,0.12796799838542938
gm,0.12725438177585602
la,0.12722280621528625
ws,0.12381058931350708
bv,0.12086305022239685
no,0.12086305022239685
sj,0.12086305022239685
bf,0.11369085311889648
pr,0.11253514140844345
cg,0.11164442449808121
pl,0.10796569287776947
fi,0.09156773239374161
mz,0.0869581550359726
cl,0.08390698581933975
lb,0.0829881951212883
tm,0.0820951759815216
ch,0.08199667930603027
mg,0.08051855117082596
ag,0.0741841048002243
af,0.07303747534751892
rs,0.06983178853988647
va,0.0648118257522583
pe,0.05375183746218681
sx,0.05280110985040665
om,0.04655198007822037
sz,0.04066865146160126
bi,0.039692677557468414
tz,0.03884796053171158
vg,0.03279956057667732
gb-wls,0.03254038840532303
sc,0.03172575682401657
gs,0.030770080164074898
gl,0.02679312974214554
my,0.02222638577222824
pn,0.02075173705816269
au,0.01583908498287201
hm,0.01583908498287201
ck,0.014623958617448807
nz,0.01409707497805357
ms,0.009625027887523174
vi,0.008314326405525208
li,0.003324061632156372
ge,0.0020012101158499718
ky,0.0019918326288461685
dk,-0.0005611348897218704
tc,-0.00958450697362423
fk,-0.011458677239716053
mu,-0.014914534986019135
gg,-0.01827933080494404
fo,-0.02823251485824585
ki,-0.02943435311317444
at,-0.029818354174494743
et,-0.030037924647331238
gb-eng,-0.03007497265934944
ai,-0.03273354470729828
pf,-0.034236129373311996
pk,-0.03545548766851425
jp,-0.040859922766685486
in,-0.041000694036483765
mt,-0.04285747557878494
lr,-0.04411379247903824
sa,-0.04572531208395958
mx,-0.05089952051639557
ca,-0.05389484763145447
bo,-0.06664770096540451
sm,-0.06812377274036407
ee,-0.0715574324131012
nf,-0.07216339558362961
br,-0.07325869053602219
cf,-0.07716858386993408
kr,-0.07748737931251526
pa,-0.08717024326324463
gh,-0.08841773867607117
bl,-0.0898958146572113
fr,-0.0898958146572113
gf,-0.0898958146572113
gp,-0.0898958146572113
mf,-0.0898958146572113
mq,-0.0898958146572113
nc,-0.0898958146572113
pm,-0.0898958146572113
re,-0.0898958146572113
yt,-0.0898958146572113
um,-0.09055633842945099
us,-0.09055633842945099
lv,-0.09396339952945709
ci,-0.09397672861814499
by,-0.09773728996515274
uy,-0.09976761788129807
je,-0.10152662545442581
gq,-0.10478934645652771
it,-0.10606278479099274
sy,-0.1064906120300293
id,-0.11692290008068085
io,-0.11825940012931824
dz,-0.11890015006065369
iq,-0.12123208492994308
cy,-0.1250344067811966
tk,-0.13585807383060455
cx,-0.1405058354139328
ie,-0.1437913179397583
np,-0.14568142592906952
tf,-0.14572042226791382
sr,-0.15071967244148254
dm,-0.16355659067630768
eg,-0.1649107187986374
de,-0.16556096076965332
cw,-0.16639621555805206
kp,-0.16765978932380676
lc,-0.1680178940296173
cr,-0.16968490183353424
gb-nir,-0.17221027612686157
gb,-0.17221027612686157
sh,-0.17221027612686157
ke,-0.17706699669361115
do,-0.1786065548658371
sd,-0.17883776128292084
ph,-0.18285691738128662
ht,-0.18415972590446472
ng,-0.18433749675750732
bw,-0.18460553884506226
sg,-0.18484006822109222
ye,-0.18669548630714417
ne,-0.1880105435848236
st,-0.19259431958198547
ir,-0.19313642382621765
cu,-0.19337520003318787
mn,-0.19463855028152466
eu,-0.19675743579864502
mc,-0.19738510251045227
bd,-0.2038993388414383
gy,-0.21099188923835754
na,-0.2110184133052826
gt,-0.21450307965278625
ua,-0.2180584967136383
er,-0.2201448380947113
tj,-0.2234703004360199
tv,-0.22855837643146515
gu,-0.2528266906738281
bz,-0.2542739510536194
sb,-0.2602757215499878
jm,-0.26292192935943604
fj,-0.270731121301651
ax,-0.2757580578327179
aw,-0.2784944772720337
py,-0.28280961513519287
mw,-0.29881715774536133
mo,-0.2989077568054199
nr,-0.300265371799469
rw,-0.3051679730415344
mp,-0.3055652976036072
se,-0.30815866589546204
hu,-0.3103947639465332
dj,-0.3132854700088501
cd,-0.3146628737449646
hr,-0.3257465064525604
gr,-0.3280784487724304
kw,-0.33551281690597534
ss,-0.33720123767852783
aq,-0.3566715717315674
is,-0.36362341046333313
pw,-0.37481003999710083
xk,-0.3780207931995392
fm,-0.3800317645072937
bq,-0.3864811360836029
nl,-0.3864811360836029
lu,-0.3933914303779602
mh,-0.40296196937561035
kz,-0.41198036074638367
kh,-0.41617679595947266
ae,-0.42354872822761536
il,-0.4323146939277649
cv,-0.4510614275932312
as,-0.45791095495224
gb-sct,-0.45801445841789246
so,-0.5006956458091736
jo,-0.5417954325675964
ar,-0.5694220066070557
ga,-0.5749857425689697
sl,-0.5751506090164185
eh,-0.580295979976654
bs,-0.586172878742218
ps,-0.5923519134521484
az,-0.5970041751861572
ls,-0.6091007590293884
uz,-0.671070396900177
hn,-0.7106450796127319
sv,-0.7355930209159851
ni,-0.7799021005630493
