Image,Similarity
bq,0.9049915075302124
nl,0.9049915075302124
py,0.9029045701026917
hu,0.8718276619911194
sl,0.7328939437866211
ne,0.7260704040527344
ye,0.6859262585639954
hr,0.6847505569458008
tj,0.6824597120285034
sd,0.6689543724060059
in,0.6686731576919556
ar,0.6622512340545654
eg,0.6510552763938904
ni,0.6496097445487976
hn,0.6482136249542236
ps,0.6231105327606201
iq,0.6121034622192383
sv,0.6054676175117493
sy,0.5925081968307495
at,0.5867387056350708
eh,0.5734570026397705
as,0.5273289084434509
uz,0.5215291976928711
bo,0.5055514574050903
sg,0.5035721063613892
il,0.4995098114013672
fm,0.4853850305080414
gb-sct,0.4747200906276703
fj,0.4582367539405823
ls,0.4558463394641876
ae,0.4463734030723572
jo,0.4445641338825226
id,0.4437827467918396
mc,0.4424462914466858
so,0.41795143485069275
ie,0.41709208488464355
ng,0.4118245840072632
sm,0.4111200273036957
pf,0.41026395559310913
gt,0.40339145064353943
gr,0.3940730690956116
gh,0.39222389459609985
aq,0.3774162828922272
lb,0.371945321559906
lv,0.36475440859794617
cy,0.3602592647075653
bi,0.34709876775741577
ki,0.338411420583725
sx,0.3361973166465759
ci,0.3216015696525574
kw,0.31996965408325195
do,0.3185092806816101
je,0.31696876883506775
gq,0.30788516998291016
nf,0.30146151781082153
dj,0.2999376654624939
pa,0.2966766953468323
it,0.2961888313293457
mg,0.29432767629623413
bf,0.2805878520011902
km,0.2784804701805115
tv,0.270936518907547
gm,0.26950767636299133
ir,0.26362526416778564
dk,0.26071780920028687
ga,0.25792741775512695
bl,0.25411614775657654
fr,0.25411614775657654
gf,0.25411614775657654
gp,0.25411614775657654
mf,0.25411614775657654
mq,0.25411614775657654
nc,0.25411614775657654
pm,0.25411614775657654
re,0.25411614775657654
yt,0.25411614775657654
va,0.24803493916988373
mt,0.24741195142269135
kr,0.24066773056983948
ch,0.23910115659236908
uy,0.23499616980552673
pw,0.22811207175254822
vi,0.22610250115394592
lr,0.21807783842086792
ba,0.21639423072338104
io,0.21222707629203796
by,0.21215568482875824
mx,0.21113130450248718
gw,0.21108287572860718
sc,0.21041373908519745
za,0.20925629138946533
um,0.19925346970558167
us,0.19925346970558167
kz,0.19516032934188843
mp,0.1915813684463501
bt,0.19008886814117432
rs,0.175441712141037
gl,0.17032445967197418
bz,0.17020811140537262
ca,0.16845791041851044
dz,0.16826120018959045
cu,0.16243445873260498
kh,0.15275569260120392
mm,0.1483268439769745
pr,0.14609016478061676
is,0.14565646648406982
gg,0.14201407134532928
jp,0.13920539617538452
hk,0.13587716221809387
bs,0.13288040459156036
pe,0.13251464068889618
fo,0.12662003934383392
gb-eng,0.12585453689098358
cd,0.1219383180141449
se,0.10821615904569626
mo,0.10112228244543076
aw,0.09470699727535248
mu,0.09380900859832764
ge,0.09142056107521057
gb-nir,0.08787549287080765
gb,0.08787549287080765
sh,0.08787549287080765
lc,0.08652608096599579
pl,0.07712925970554352
tn,0.07138824462890625
kp,0.07102632522583008
wf,0.07003424316644669
la,0.06981009244918823
xk,0.06589721143245697
cv,0.06031488627195358
bv,0.04920687526464462
no,0.04920687526464462
sj,0.04920687526464462
tf,0.04886040836572647
mh,0.0482037253677845
st,0.03809724748134613
gy,0.036118924617767334
bw,0.03487545996904373
es,0.0330829918384552
cx,0.02386242151260376
nu,0.016351163387298584
ax,0.01214224100112915
ec,0.011524301022291183
mk,0.008215412497520447
cr,0.007396560162305832
co,0.007118493318557739
sn,0.00424446165561676
jm,0.0018323510885238647
gb-wls,0.001127585768699646
kg,-0.0011690407991409302
ss,-0.0063727498054504395
gn,-0.0121125727891922
na,-0.012814456596970558
ai,-0.013006800785660744
cf,-0.014936596155166626
bn,-0.01606936752796173
ml,-0.01702892780303955
vu,-0.020919740200042725
vc,-0.021923556923866272
ro,-0.028334781527519226
er,-0.029744401574134827
ad,-0.03681280463933945
mn,-0.03830663859844208
fk,-0.03885664790868759
af,-0.044229429215192795
cl,-0.04683190584182739
bh,-0.04805590957403183
tr,-0.050034865736961365
fi,-0.05030056834220886
np,-0.05717106908559799
sz,-0.05730786174535751
lk,-0.0582558810710907
tc,-0.058421894907951355
im,-0.0655641034245491
my,-0.06558465957641602
vn,-0.06968122720718384
br,-0.07063987106084824
ck,-0.07118916511535645
td,-0.08030679821968079
mw,-0.08182942867279053
ms,-0.08360987156629562
be,-0.08371205627918243
gu,-0.09004955738782883
ag,-0.0904291421175003
gi,-0.09154094755649567
dm,-0.09261608123779297
pn,-0.09421959519386292
au,-0.09507423639297485
hm,-0.09507423639297485
tg,-0.09515949338674545
tl,-0.09730201214551926
sr,-0.09741152822971344
mr,-0.09988386929035187
ky,-0.10154713690280914
bm,-0.10324447602033615
rw,-0.10468903928995132
om,-0.11000809818506241
cz,-0.11038989573717117
bd,-0.11112591624259949
nr,-0.11558611690998077
nz,-0.11677226424217224
cm,-0.117729052901268
md,-0.11971557140350342
pt,-0.12102816998958588
gs,-0.12462227791547775
vg,-0.12673762440681458
cg,-0.12963856756687164
bj,-0.13087522983551025
cn,-0.14194951951503754
ao,-0.15139421820640564
gd,-0.15189938247203827
pg,-0.15280361473560333
eu,-0.15519046783447266
bb,-0.162003755569458
pk,-0.1635599136352539
az,-0.16421186923980713
sa,-0.16875311732292175
tt,-0.16921231150627136
me,-0.17168985307216644
ke,-0.17581695318222046
tz,-0.18075843155384064
sk,-0.2184874415397644
to,-0.22197797894477844
am,-0.22457483410835266
sb,-0.2340226173400879
tk,-0.25042423605918884
th,-0.2509814202785492
ly,-0.2537633776664734
et,-0.2541583180427551
mv,-0.2555130124092102
si,-0.26139670610427856
cw,-0.2687617242336273
tm,-0.2917652726173401
ma,-0.2933834195137024
ug,-0.30572885274887085
ua,-0.3179222345352173
ve,-0.31920602917671204
qa,-0.3201284110546112
bg,-0.3377002775669098
tw,-0.3498043715953827
cc,-0.35138463973999023
al,-0.3730308413505554
ph,-0.3730456233024597
ht,-0.3835048973560333
ru,-0.3867934048175812
lt,-0.3933914303779602
zw,-0.40061259269714355
ws,-0.4116951823234558
de,-0.420640766620636
zm,-0.45534273982048035
kn,-0.4920811057090759
ee,-0.52485191822052
li,-0.5880646705627441
mz,-0.6562270522117615
