Image,Similarity
at,0.6925066113471985
dk,0.6484227180480957
ye,0.6478761434555054
ch,0.6227691173553467
sd,0.6194398403167725
eg,0.6095677614212036
hu,0.6060570478439331
bq,0.5824861526489258
nl,0.5824861526489258
kw,0.56023770570755
gq,0.5511871576309204
iq,0.5371505618095398
sy,0.5203039646148682
do,0.49648240208625793
tj,0.4848986566066742
as,0.482511043548584
hk,0.4824129343032837
py,0.4807420074939728
tn,0.47179001569747925
ae,0.47011083364486694
hr,0.4590606093406677
ps,0.4589387774467468
ir,0.4479435682296753
vn,0.44198787212371826
tl,0.437990665435791
me,0.42990630865097046
im,0.4273553788661957
wf,0.4161902666091919
tr,0.414116233587265
kg,0.4093400537967682
eh,0.4003269374370575
cn,0.3944224715232849
pf,0.39206743240356445
mk,0.391864538192749
es,0.39045050740242004
in,0.375951886177063
lu,0.36475440859794617
hn,0.34951645135879517
la,0.34951257705688477
ne,0.3456633985042572
pt,0.3446410596370697
bo,0.33937808871269226
lb,0.3350871801376343
jo,0.31306684017181396
ma,0.31109803915023804
mm,0.30818647146224976
lk,0.2998509407043457
bh,0.2793690860271454
bm,0.27839070558547974
bt,0.27619683742523193
to,0.27151384949684143
uz,0.26835572719573975
ki,0.2615526616573334
bi,0.2590859532356262
qa,0.25538861751556396
sx,0.24898464977741241
sl,0.24850668013095856
sv,0.24383169412612915
gh,0.24166102707386017
al,0.24109706282615662
tw,0.23514345288276672
af,0.23243536055088043
ph,0.22733324766159058
ws,0.22484970092773438
cm,0.22089698910713196
ht,0.21723715960979462
ls,0.2128094583749771
gi,0.2027510106563568
id,0.20119434595108032
bv,0.20113098621368408
no,0.20113098621368408
sj,0.20113098621368408
ni,0.1968766152858734
bz,0.1939387321472168
um,0.18941327929496765
us,0.18941327929496765
aq,0.1893269568681717
pl,0.17973214387893677
kh,0.17891287803649902
tt,0.17610932886600494
sg,0.1743154227733612
gl,0.1742904931306839
cf,0.1694912314414978
mc,0.16934353113174438
mt,0.16650432348251343
ec,0.15339770913124084
cl,0.14575079083442688
kp,0.14319950342178345
td,0.14064863324165344
ao,0.13807392120361328
ro,0.13620562851428986
be,0.13251091539859772
is,0.1285150647163391
co,0.12827861309051514
cg,0.12589429318904877
ag,0.12280459702014923
nu,0.12001536786556244
am,0.11990159749984741
by,0.11924432218074799
et,0.11137695610523224
ml,0.11007452756166458
pg,0.10688532888889313
lr,0.10595694184303284
gn,0.10536366701126099
ug,0.10413984954357147
ad,0.10400542616844177
