Image,Similarity
id,0.9828302264213562
sg,0.9692307710647583
ki,0.5968436598777771
rs,0.5954083800315857
cy,0.4779597222805023
je,0.4677242040634155
lu,0.4424462914466858
vi,0.4072936177253723
ca,0.4068852663040161
sc,0.3886544108390808
gg,0.3811659812927246
ie,0.37949058413505554
va,0.37501680850982666
at,0.37017619609832764
gb-eng,0.36261415481567383
um,0.3587929308414459
us,0.3587929308414459
jp,0.35837721824645996
ge,0.3464403748512268
lr,0.3357079029083252
mt,0.33261021971702576
fj,0.32519394159317017
ng,0.3247779607772827
ar,0.3240768313407898
hu,0.32286104559898376
gt,0.3198864161968231
pf,0.3174685835838318
ci,0.2959495186805725
fo,0.29549604654312134
mx,0.2948361039161682
bq,0.29049041867256165
nl,0.29049041867256165
pe,0.28948894143104553
kg,0.2886533737182617
kr,0.2870197892189026
ch,0.2796236574649811
lb,0.27684134244918823
it,0.27325311303138733
hk,0.2693948745727539
bi,0.2688714563846588
py,0.2662414014339447
bl,0.26433685421943665
fr,0.26433685421943665
gf,0.26433685421943665
gp,0.26433685421943665
mf,0.26433685421943665
mq,0.26433685421943665
nc,0.26433685421943665
pm,0.26433685421943665
re,0.26433685421943665
yt,0.26433685421943665
dk,0.2594059109687805
nu,0.2525825500488281
gl,0.251993328332901
wf,0.24857358634471893
mk,0.24756446480751038
fm,0.2344362735748291
ne,0.2326071858406067
pr,0.2281644344329834
bt,0.2261020839214325
tn,0.22105538845062256
my,0.21572402119636536
cn,0.21542611718177795
bh,0.2152576595544815
de,0.21471774578094482
il,0.20450372993946075
nf,0.20394939184188843
tr,0.200875923037529
tl,0.19716721773147583
tj,0.1963009089231491
gr,0.19470563530921936
cr,0.1905374825000763
mu,0.18975864350795746
es,0.18540993332862854
pa,0.18484893441200256
vn,0.1815112680196762
ag,0.1744486540555954
lv,0.16934353113174438
io,0.16877169907093048
kp,0.16784223914146423
er,0.16776791214942932
am,0.1646660715341568
sn,0.1640245020389557
ml,0.15589526295661926
md,0.15154679119586945
uy,0.1500535011291504
gn,0.14685757458209991
gb-sct,0.14538541436195374
ee,0.1441078782081604
hr,0.14364838600158691
mm,0.14246763288974762
ro,0.14219015836715698
do,0.13674403727054596
lk,0.13604989647865295
ad,0.13315531611442566
sl,0.13051363825798035
gd,0.1301177740097046
gb-nir,0.1289716213941574
gb,0.1289716213941574
sh,0.1289716213941574
vc,0.12511089444160461
kh,0.12489311397075653
mg,0.12301594763994217
tk,0.12300118803977966
dz,0.12127988785505295
th,0.12095674127340317
im,0.12062045186758041
sm,0.11855345964431763
ps,0.11645127087831497
gq,0.11586703360080719
bf,0.11318714171648026
cu,0.11203906685113907
td,0.11057782173156738
fi,0.10392780601978302
eh,0.10234364867210388
cv,0.09610395133495331
as,0.09461236000061035
me,0.08211243152618408
be,0.081075020134449
sr,0.07904050499200821
by,0.0779510885477066
ga,0.06993016600608826
jo,0.06975459307432175
cg,0.06928730010986328
cm,0.06864951550960541
mw,0.06591552495956421
sx,0.06510236859321594
bv,0.0650927945971489
no,0.0650927945971489
sj,0.0650927945971489
bo,0.06502275168895721
ni,0.0644422322511673
gh,0.06400440633296967
in,0.06207346171140671
lc,0.05985855311155319
kw,0.056407153606414795
ma,0.056047871708869934
np,0.0472690612077713
bw,0.0447005033493042
ir,0.04359978437423706
hn,0.04238705337047577
so,0.04236146807670593
ua,0.03881922364234924
pt,0.03848730027675629
gm,0.030279602855443954
ug,0.02698025107383728
al,0.025782793760299683
af,0.024365723133087158
aq,0.023788683116436005
pw,0.022616222500801086
ye,0.008868534117937088
uz,0.005814343690872192
sv,0.002654552459716797
tg,-0.00021766126155853271
ss,-0.00045255571603775024
mp,-0.0009624361991882324
ax,-0.001669473946094513
ls,-0.0021500233560800552
sd,-0.0047715455293655396
sz,-0.006791908293962479
eg,-0.013686072081327438
la,-0.014928385615348816
gy,-0.015091490000486374
aw,-0.01593068242073059
ba,-0.023471135646104813
cd,-0.028352782130241394
bb,-0.028840776532888412
tv,-0.02996411919593811
tt,-0.03271102160215378
tw,-0.035104915499687195
bz,-0.03830092400312424
mz,-0.038455963134765625
is,-0.039485663175582886
ec,-0.04025435075163841
zw,-0.0454629510641098
sy,-0.050494562834501266
na,-0.05524589866399765
se,-0.055630117654800415
st,-0.05832469463348389
iq,-0.05868644639849663
mh,-0.060732439160346985
bm,-0.06179991364479065
vu,-0.06705178320407867
qa,-0.0695001482963562
bn,-0.07407156378030777
gi,-0.07606131583452225
za,-0.08339400589466095
ws,-0.08856743574142456
cf,-0.09121144562959671
gw,-0.1042291596531868
ke,-0.12371286749839783
gb-wls,-0.12481430172920227
km,-0.12553320825099945
bd,-0.1291552484035492
dm,-0.1310664713382721
kz,-0.1343616247177124
to,-0.13913273811340332
co,-0.14764928817749023
jm,-0.14772804081439972
bs,-0.15176871418952942
tf,-0.15630996227264404
mr,-0.16597294807434082
xk,-0.16675999760627747
bj,-0.1706407070159912
tz,-0.17538924515247345
ve,-0.17732536792755127
ly,-0.18859484791755676
mo,-0.18874874711036682
mv,-0.1914139986038208
sk,-0.19633224606513977
lt,-0.19738510251045227
br,-0.20166169106960297
dj,-0.20986446738243103
pk,-0.21114835143089294
mn,-0.2173810750246048
ae,-0.2206898182630539
et,-0.22137419879436493
az,-0.23702549934387207
ht,-0.2390504777431488
cw,-0.24445262551307678
pl,-0.26498040556907654
ph,-0.27255117893218994
kn,-0.27928656339645386
si,-0.2877286672592163
li,-0.29337209463119507
cl,-0.29700759053230286
ao,-0.31066572666168213
om,-0.3120418190956116
pg,-0.3154888153076172
ru,-0.32410621643066406
cx,-0.3298216164112091
cz,-0.3416599929332733
nr,-0.34323015809059143
rw,-0.348310261964798
