Image,Similarity
vc,0.668652355670929
ml,0.6260806918144226
ad,0.6243331432342529
td,0.610637366771698
ro,0.6034690141677856
sn,0.591105580329895
nu,0.5006262063980103
gd,0.4329710304737091
kg,0.41562598943710327
tl,0.3976115584373474
bj,0.3918885886669159
pt,0.3874211311340332
mk,0.3841904401779175
be,0.3822435140609741
gn,0.3804655373096466
cn,0.3797992467880249
vn,0.37367957830429077
bt,0.36864808201789856
es,0.3624562621116638
bn,0.36148300766944885
cg,0.3605305552482605
cm,0.3502485752105713
bb,0.3492498993873596
zw,0.3478700518608093
lt,0.3368404507637024
me,0.3294333815574646
ma,0.3286876678466797
tr,0.3112080693244934
ec,0.3020987808704376
wf,0.3007616102695465
al,0.29933851957321167
mm,0.29876086115837097
ug,0.2863866090774536
to,0.27956104278564453
de,0.27851778268814087
mx,0.2728123664855957
ve,0.27121323347091675
co,0.27055296301841736
hk,0.27013692259788513
bh,0.25880083441734314
va,0.25583821535110474
sc,0.24229973554611206
lk,0.24101874232292175
ch,0.24084454774856567
im,0.23796497285366058
tw,0.23552517592906952
tn,0.23142991960048676
tk,0.22945713996887207
pe,0.2264939397573471
gw,0.22642962634563446
am,0.22588947415351868
ie,0.22205178439617157
ge,0.220850870013237
id,0.20996388792991638
st,0.2028818130493164
kn,0.19971194863319397
ba,0.19597046077251434
gg,0.1953538954257965
bl,0.1940513551235199
fr,0.1940513551235199
gf,0.1940513551235199
gp,0.1940513551235199
mf,0.1940513551235199
mq,0.1940513551235199
nc,0.1940513551235199
pm,0.1940513551235199
re,0.1940513551235199
yt,0.1940513551235199
it,0.185108944773674
af,0.18258997797966003
cl,0.1763872355222702
zm,0.17546556890010834
gi,0.17527823150157928
vi,0.17494341731071472
cz,0.17157894372940063
sg,0.17153669893741608
bo,0.17102771997451782
mt,0.16888117790222168
ws,0.16642802953720093
tg,0.15876445174217224
bm,0.1576615571975708
pr,0.1573525369167328
dk,0.15524889528751373
by,0.15518715977668762
ca,0.15411624312400818
je,0.1540832668542862
mc,0.15154679119586945
ng,0.15054427087306976
gh,0.14979258179664612
at,0.149499773979187
lb,0.1430206298828125
