Image,Similarity
nr,0.47981390357017517
cv,0.4621392488479614
gu,0.4521160125732422
bs,0.4327285587787628
eu,0.4279214143753052
sb,0.4237159788608551
xk,0.42274266481399536
cw,0.4222431778907776
cx,0.39815258979797363
sv,0.37320375442504883
hn,0.366240918636322
ni,0.36028265953063965
mo,0.35809430480003357
jo,0.3572351038455963
cd,0.35722410678863525
kh,0.3494020402431488
mn,0.31482023000717163
eh,0.311252623796463
ss,0.29859980940818787
tf,0.29684171080589294
is,0.2955293357372284
kz,0.29458969831466675
ps,0.2917889952659607
so,0.2887469530105591
na,0.2682225704193115
bz,0.26512351632118225
rw,0.25929006934165955
ai,0.2537347078323364
tc,0.25022509694099426
ae,0.23484505712985992
mp,0.2337585687637329
ls,0.22304800152778625
ga,0.221938356757164
sl,0.22154495120048523
aq,0.21896030008792877
nz,0.2158963978290558
as,0.21403458714485168
pn,0.20934239029884338
fk,0.20917291939258575
gb-sct,0.2089156061410904
au,0.20855280756950378
hm,0.20855280756950378
ms,0.20481963455677032
tk,0.20245814323425293
li,0.19674992561340332
ht,0.19621962308883667
uz,0.19434545934200287
se,0.19283954799175262
ky,0.1926836520433426
sa,0.19036319851875305
vg,0.1828002631664276
pk,0.18253326416015625
gs,0.17890670895576477
tm,0.17387205362319946
jm,0.17075225710868835
hr,0.16581270098686218
az,0.16368797421455383
aw,0.16134870052337646
ck,0.15942518413066864
ke,0.1588134765625
tv,0.1535639762878418
ph,0.1522289663553238
bd,0.15142005681991577
il,0.1511658877134323
mw,0.14955458045005798
cc,0.13927848637104034
gy,0.13800737261772156
do,0.1346951425075531
tz,0.12988564372062683
pw,0.12919054925441742
et,0.1261497288942337
bq,0.120449498295784
nl,0.120449498295784
dm,0.11707448959350586
py,0.10715222358703613
ws,0.10602116584777832
ax,0.10396155714988708
np,0.10306749492883682
kw,0.10002753138542175
mu,0.09594988822937012
ar,0.08188708871603012
sd,0.08013245463371277
cu,0.07979550957679749
zm,0.07280758023262024
eg,0.07197361439466476
ee,0.07022574543952942
ye,0.06942842900753021
fj,0.06414288282394409
iq,0.0605696402490139
fm,0.05905202776193619
ua,0.053966544568538666
sy,0.05288352817296982
sz,0.051581621170043945
er,0.050826843827962875
bw,0.05048294737935066
ag,0.048687711358070374
lu,0.0482037253677845
my,0.047914665192365646
za,0.04252622276544571
sr,0.04109470173716545
gr,0.03462747484445572
ao,0.03339865803718567
pg,0.03315877169370651
qa,0.03170064464211464
ly,0.02875588834285736
vu,0.02789245918393135
mr,0.027736548334360123
la,0.02441508322954178
gb-nir,0.02302148938179016
gb,0.02302148938179016
sh,0.02302148938179016
br,0.02152906358242035
dz,0.018756810575723648
tt,0.015296954661607742
lv,0.011540384031832218
ir,0.009374286979436874
tj,0.007848929613828659
st,0.0025808364152908325
kn,0.0016394183039665222
af,0.0006706491112709045
uy,-0.0018400251865386963
io,-0.0019138753414154053
cr,-0.0020874924957752228
hu,-0.004921633750200272
bv,-0.012226572260260582
no,-0.012226572260260582
sj,-0.012226572260260582
de,-0.017314039170742035
tw,-0.01862943172454834
gh,-0.018746554851531982
kp,-0.02333417534828186
by,-0.027006614953279495
sx,-0.030729658901691437
gm,-0.0307517908513546
gq,-0.04075334221124649
bo,-0.04608116298913956
lc,-0.05043981969356537
ne,-0.05967746675014496
mc,-0.060732439160346985
mv,-0.06358353793621063
ba,-0.06581763178110123
dj,-0.07317295670509338
pa,-0.07620637863874435
bf,-0.07798683643341064
bm,-0.0931510254740715
gb-wls,-0.09498795866966248
dk,-0.09577023983001709
ki,-0.09656944870948792
um,-0.10393409430980682
us,-0.10393409430980682
bb,-0.1057538092136383
bl,-0.10821899026632309
fr,-0.10821899026632309
gf,-0.10821899026632309
gp,-0.10821899026632309
mf,-0.10821899026632309
mq,-0.10821899026632309
nc,-0.10821899026632309
pm,-0.10821899026632309
re,-0.10821899026632309
