Image,Similarity
vn,0.7629408836364746
kg,0.7435837388038635
cn,0.7182583808898926
es,0.69976806640625
tl,0.689879834651947
me,0.6680985689163208
im,0.613495945930481
ma,0.6103339195251465
hk,0.60658198595047
tr,0.6051661372184753
wf,0.5956454277038574
tn,0.5818774104118347
lk,0.552051842212677
ch,0.5368553996086121
al,0.5237746238708496
pt,0.5045257210731506
bh,0.49250537157058716
bt,0.4794457256793976
tw,0.47083038091659546
to,0.46646934747695923
nu,0.45092499256134033
td,0.44992464780807495
ml,0.44396865367889404
at,0.4343964457511902
cm,0.4258917570114136
ug,0.4186484217643738
ro,0.4163322448730469
gn,0.4091549813747406
be,0.4052136540412903
qa,0.39823535084724426
bm,0.3932528495788574
lv,0.391864538192749
md,0.3841904401779175
gd,0.37880629301071167
dk,0.3783074915409088
de,0.37205207347869873
ws,0.35576069355010986
mm,0.3557165861129761
cg,0.33414947986602783
id,0.3340747058391571
ec,0.33072248101234436
ad,0.3259913921356201
bo,0.31570500135421753
vc,0.3141772747039795
bj,0.31352269649505615
zw,0.31001150608062744
pf,0.30931881070137024
sn,0.30728521943092346
bi,0.30680012702941895
by,0.30279508233070374
ki,0.2988048195838928
co,0.29833683371543884
gh,0.2944888174533844
va,0.2933920621871948
sc,0.2862893044948578
kp,0.2711885869503021
sg,0.26176729798316956
lb,0.26089808344841003
ao,0.2579423189163208
gg,0.25725096464157104
gi,0.25712811946868896
af,0.2560276985168457
bn,0.2504982054233551
tk,0.25018948316574097
mc,0.24756446480751038
pl,0.24755601584911346
gq,0.2424628585577011
pe,0.24174943566322327
gl,0.2407546043395996
lr,0.2405087947845459
lt,0.2356337159872055
mt,0.23127993941307068
cl,0.22724582254886627
eg,0.2150231897830963
tj,0.21246787905693054
ye,0.2121780514717102
tt,0.20937490463256836
pg,0.20261816680431366
hu,0.20216104388237
sd,0.20052143931388855
mw,0.2003379762172699
tg,0.19994550943374634
ve,0.19693522155284882
gb-wls,0.1955830454826355
sy,0.19295340776443481
iq,0.19157344102859497
ge,0.18828150629997253
am,0.18510812520980835
bf,0.18415194749832153
ir,0.17852987349033356
er,0.17116764187812805
la,0.16637879610061646
my,0.16221079230308533
gw,0.1618528813123703
mu,0.16146056354045868
do,0.1602538526058197
sr,0.16002190113067627
cz,0.1574278473854065
st,0.14959676563739777
pr,0.1465662121772766
kw,0.140512153506279
ne,0.1364346742630005
km,0.13159218430519104
ke,0.12844549119472504
um,0.12802720069885254
us,0.12802720069885254
bv,0.11804284900426865
no,0.11804284900426865
sj,0.11804284900426865
in,0.11603879928588867
cf,0.11561059951782227
mg,0.11416525393724442
ca,0.10660134255886078
bl,0.10630442202091217
fr,0.10630442202091217
gf,0.10630442202091217
gp,0.10630442202091217
mf,0.10630442202091217
mq,0.10630442202091217
nc,0.10630442202091217
pm,0.10630442202091217
re,0.10630442202091217
yt,0.10630442202091217
mv,0.10628168284893036
bq,0.10553339123725891
nl,0.10553339123725891
sz,0.10315538942813873
gb-nir,0.10281464457511902
gb,0.10281464457511902
sh,0.10281464457511902
om,0.10231834650039673
ax,0.10001224279403687
ba,0.09876823425292969
rs,0.09645120799541473
jp,0.08761470764875412
jm,0.08611901104450226
li,0.08570341020822525
sx,0.08053026348352432
sk,0.07810522615909576
gb-eng,0.07231020927429199
bd,0.06718283891677856
vu,0.06660390645265579
ci,0.06292986124753952
py,0.06109805405139923
hr,0.06091773509979248
cy,0.06065451353788376
kn,0.06053631007671356
ht,0.06013161689043045
ag,0.059551939368247986
kh,0.05911606550216675
it,0.054820507764816284
bb,0.05328388512134552
gy,0.045271024107933044
ie,0.04476453363895416
as,0.036733388900756836
cr,0.029807567596435547
vi,0.0273541659116745
je,0.021326392889022827
mr,0.02091190218925476
gm,0.017324725165963173
ua,0.015515238046646118
jo,0.012944512069225311
mx,0.012905344367027283
lu,0.008215412497520447
ss,0.007553376257419586
ly,0.006525114178657532
fo,0.00502072274684906
mz,0.0029292553663253784
th,-0.0015130341053009033
pa,-0.006320290267467499
bg,-0.010947920382022858
ph,-0.011907897889614105
zm,-0.022752612829208374
ga,-0.030552059412002563
et,-0.036993611603975296
si,-0.048433952033519745
ae,-0.0493510439991951
ps,-0.04999787360429764
np,-0.0525539331138134
kr,-0.060945816338062286
ng,-0.06561523675918579
ru,-0.06662949919700623
na,-0.07411567866802216
dz,-0.07428522408008575
eh,-0.07485421001911163
se,-0.088911272585392
br,-0.11540447175502777
nf,-0.12626245617866516
io,-0.12734808027744293
za,-0.13743090629577637
az,-0.13941434025764465
aq,-0.1402498185634613
dm,-0.14218851923942566
bz,-0.14320164918899536
bs,-0.154902383685112
gt,-0.15606769919395447
pk,-0.159797802567482
cu,-0.1624501645565033
uy,-0.16775746643543243
is,-0.17284253239631653
cc,-0.17483852803707123
sm,-0.1778266429901123
ar,-0.18490885198116302
il,-0.18542350828647614
uz,-0.19312575459480286
hn,-0.2088507115840912
ls,-0.21000444889068604
gb-sct,-0.21662719547748566
sl,-0.22604696452617645
rw,-0.22683224081993103
pw,-0.22752517461776733
fi,-0.2343268096446991
dj,-0.2392216920852661
cv,-0.260628879070282
tz,-0.26570925116539
mp,-0.26776301860809326
pn,-0.2772969603538513
lc,-0.27777713537216187
vg,-0.2814030945301056
tc,-0.28177836537361145
gr,-0.2820282578468323
ky,-0.282657265663147
mh,-0.2837072014808655
gs,-0.28951647877693176
ai,-0.29059839248657227
fk,-0.29396483302116394
ee,-0.29546672105789185
sv,-0.30392777919769287
au,-0.3138342797756195
hm,-0.3138342797756195
sb,-0.314253568649292
fj,-0.3160876929759979
ck,-0.3171553909778595
ms,-0.32093316316604614
ni,-0.3247223198413849
nz,-0.33265170454978943
cd,-0.3357066810131073
nr,-0.34819525480270386
cw,-0.3484775722026825
tm,-0.34978607296943665
cx,-0.35848596692085266
tf,-0.3605869710445404
xk,-0.36577314138412476
sa,-0.36680468916893005
bw,-0.38640108704566956
mo,-0.3887823820114136
fm,-0.3909510672092438
gu,-0.3998870849609375
mn,-0.4375014305114746
aw,-0.46636009216308594
so,-0.5159773826599121
eu,-0.5306673049926758
tv,-0.5463566780090332
kz,-0.5779581069946289
