Image,Similarity
bt,0.5673130750656128
ch,0.5343608856201172
ec,0.5321184992790222
lt,0.5002123713493347
hk,0.4999021291732788
at,0.49439138174057007
ve,0.4825611114501953
gd,0.4777545928955078
co,0.47599685192108154
bi,0.4668238162994385
es,0.41201332211494446
gq,0.40723758935928345
ml,0.4054117500782013
va,0.40105003118515015
ci,0.39262551069259644
cg,0.3923609256744385
tn,0.38426998257637024
gn,0.37212198972702026
la,0.3707963228225708
nu,0.3669249415397644
sn,0.36534902453422546
ie,0.36481648683547974
it,0.3643152117729187
kg,0.3609246015548706
mk,0.3557165861129761
vn,0.34853383898735046
ug,0.34534311294555664
bl,0.34389379620552063
fr,0.34389379620552063
gf,0.34389379620552063
gp,0.34389379620552063
mf,0.34389379620552063
mq,0.34389379620552063
nc,0.34389379620552063
pm,0.34389379620552063
re,0.34389379620552063
yt,0.34389379620552063
bg,0.3390778601169586
vc,0.33543476462364197
pl,0.3334410786628723
ro,0.32974037528038025
dk,0.3288353979587555
bn,0.3267879784107208
ir,0.3253963589668274
td,0.3236210346221924
be,0.31697094440460205
bj,0.31545305252075195
ng,0.3132457137107849
si,0.31226229667663574
lv,0.30818647146224976
gl,0.3051055371761322
md,0.29876086115837097
lb,0.2937822937965393
im,0.293234646320343
cz,0.29258498549461365
km,0.2899131178855896
ad,0.2829703390598297
tl,0.2789120674133301
pf,0.27481991052627563
hu,0.27431774139404297
pe,0.2727736234664917
wf,0.2726340889930725
sk,0.27248769998550415
cl,0.2710796594619751
pr,0.2694095969200134
kw,0.262561559677124
gw,0.26019981503486633
me,0.2545510530471802
in,0.24972182512283325
cn,0.2434585690498352
ba,0.23404629528522491
ru,0.23243650794029236
mt,0.22356954216957092
sd,0.2209213227033615
mx,0.22041453421115875
ye,0.2193748950958252
lr,0.21755652129650116
tr,0.21733179688453674
tj,0.21566346287727356
lk,0.21546225249767303
sy,0.20501217246055603
sg,0.19949451088905334
je,0.197881281375885
mv,0.19544801115989685
gt,0.1903018206357956
pt,0.18970850110054016
bq,0.18960632383823395
nl,0.18960632383823395
id,0.18198344111442566
do,0.18061091005802155
vi,0.18031683564186096
ag,0.17842397093772888
ki,0.1744135320186615
um,0.17347748577594757
us,0.17347748577594757
cy,0.17304953932762146
am,0.16750673949718475
af,0.16394364833831787
eg,0.16294974088668823
iq,0.15590611100196838
py,0.1492723673582077
lu,0.1483268439769745
sc,0.14571179449558258
cm,0.14329271018505096
mc,0.14246763288974762
gg,0.14060410857200623
bm,0.13413463532924652
mr,0.12740512192249298
to,0.11991212517023087
ma,0.11247247457504272
th,0.10657332092523575
ne,0.10529635101556778
uy,0.10369352251291275
pa,0.09987007826566696
gi,0.0978763997554779
ge,0.08702127635478973
bh,0.0864567756652832
aq,0.08517500013113022
bv,0.08494369685649872
no,0.08494369685649872
sj,0.08494369685649872
fo,0.08474145829677582
rs,0.07200875133275986
bb,0.07074427604675293
al,0.06623193621635437
as,0.06599220633506775
ae,0.062357254326343536
tw,0.05737194046378136
gb-eng,0.0518617257475853
sl,0.050564028322696686
my,0.04880569502711296
bo,0.04743598774075508
hr,0.047364991158246994
tg,0.04487740993499756
nf,0.043221063911914825
sm,0.04050620272755623
cf,0.03729262202978134
zw,0.0292787104845047
et,0.02812330797314644
za,0.027688313275575638
dz,0.007652550935745239
ca,0.00636640191078186
io,0.005751793272793293
ar,0.004361185245215893
sz,0.003996843937784433
kr,0.0029030684381723404
fm,-0.005641395226120949
tt,-0.007805892266333103
gb-sct,-0.008129596710205078
fj,-0.01309463195502758
mg,-0.014874838292598724
bf,-0.015048891305923462
tk,-0.027153978124260902
fi,-0.027433915063738823
st,-0.028676476329565048
gm,-0.03319534286856651
bz,-0.03644412383437157
jp,-0.03699621558189392
il,-0.03885430470108986
gy,-0.039781633764505386
ao,-0.04233003407716751
mo,-0.046488240361213684
ws,-0.04923803359270096
gr,-0.05309287831187248
sx,-0.05935162678360939
ps,-0.060310520231723785
dj,-0.061538081616163254
gh,-0.06631182134151459
cr,-0.06714555621147156
mu,-0.07445864379405975
cu,-0.07537341862916946
uz,-0.08182026445865631
sr,-0.08422543108463287
om,-0.08887261152267456
kp,-0.0891457349061966
pg,-0.090773805975914
gb-wls,-0.10117676854133606
pk,-0.10134439170360565
qa,-0.10406570881605148
so,-0.10472168028354645
ua,-0.1114194393157959
zm,-0.11682011187076569
jm,-0.12063318490982056
mp,-0.12625183165073395
gb-nir,-0.1295931190252304
gb,-0.1295931190252304
sh,-0.1295931190252304
eh,-0.1308910846710205
se,-0.13123643398284912
hn,-0.1315174102783203
jo,-0.13578678667545319
cc,-0.13769765198230743
ga,-0.1384507119655609
kn,-0.1436801552772522
br,-0.1475546509027481
lc,-0.1475723385810852
aw,-0.14779801666736603
pw,-0.15234525501728058
cx,-0.1550949215888977
ht,-0.15939514338970184
rw,-0.16033464670181274
kh,-0.17116013169288635
na,-0.17196707427501678
er,-0.17571409046649933
ly,-0.17709502577781677
ax,-0.18294620513916016
vu,-0.1834215521812439
bd,-0.18611891567707062
de,-0.18769870698451996
mz,-0.19866418838500977
by,-0.20400290191173553
li,-0.20498353242874146
