Image,Similarity
eu,0.5217177867889404
gu,0.4627394378185272
nr,0.4569094777107239
tm,0.3971341848373413
tc,0.37908846139907837
tf,0.3760903477668762
gs,0.37564271688461304
cw,0.3722207248210907
ky,0.368047833442688
vg,0.3633274734020233
nz,0.3585415184497833
ms,0.3503037095069885
ai,0.34847697615623474
fk,0.34541088342666626
au,0.34425410628318787
hm,0.34425410628318787
so,0.336351215839386
tv,0.3323034644126892
sb,0.3291736841201782
ck,0.31828370690345764
mh,0.31482023000717163
pn,0.3142421841621399
et,0.30315396189689636
cd,0.291526734828949
cx,0.2890893220901489
cv,0.28242480754852295
aw,0.27186456322669983
xk,0.2585980296134949
sa,0.2527511417865753
mo,0.2441074550151825
sv,0.2324007898569107
kz,0.22354429960250854
ni,0.2147466242313385
kh,0.21317371726036072
hn,0.21096739172935486
pk,0.191284641623497
fj,0.18967294692993164
bw,0.17936843633651733
ee,0.17334027588367462
ht,0.16896572709083557
li,0.16614118218421936
bz,0.15176256000995636
fm,0.15081185102462769
gb-sct,0.14749769866466522
cu,0.1443973183631897
ph,0.13941234350204468
mp,0.13856077194213867
tz,0.13384070992469788
fi,0.13245487213134766
np,0.12882587313652039
rw,0.12684223055839539
ls,0.12239199876785278
ly,0.11991573125123978
na,0.11785079538822174
ag,0.10894540697336197
uy,0.10715427994728088
gr,0.10585017502307892
dj,0.10561242699623108
jo,0.10393233597278595
za,0.10105811059474945
il,0.0966537743806839
is,0.09270161390304565
sl,0.08521846681833267
aq,0.08120017498731613
ps,0.07664041966199875
bs,0.07506098598241806
az,0.07063104957342148
io,0.07057784497737885
eh,0.07048571109771729
sx,0.06761863827705383
ae,0.06157959997653961
as,0.06153623387217522
bv,0.06149699538946152
no,0.06149699538946152
sj,0.06149699538946152
zm,0.054804518818855286
cc,0.05191343277692795
gm,0.051176998764276505
uz,0.047422781586647034
mv,0.04461491107940674
sz,0.037432219833135605
ru,0.024084623903036118
hr,0.020793933421373367
si,0.02073584869503975
vu,0.018381118774414062
ke,0.018213987350463867
la,0.011292781680822372
ss,0.005338229238986969
br,0.0028634946793317795
jm,-0.00376080721616745
kn,-0.009671203792095184
pg,-0.010295286774635315
py,-0.01398460566997528
mz,-0.015841364860534668
ar,-0.01615910232067108
th,-0.016322091221809387
do,-0.024892657995224
tt,-0.026897568255662918
bq,-0.03080509603023529
nl,-0.03080509603023529
ao,-0.03111371397972107
sy,-0.03511568158864975
pa,-0.03609833866357803
pe,-0.03731830418109894
lu,-0.03830663859844208
iq,-0.03979666531085968
qa,-0.043514180928468704
ga,-0.0512702502310276
bl,-0.052270933985710144
fr,-0.052270933985710144
gf,-0.052270933985710144
gp,-0.052270933985710144
mf,-0.052270933985710144
mq,-0.052270933985710144
nc,-0.052270933985710144
pm,-0.052270933985710144
re,-0.052270933985710144
yt,-0.052270933985710144
my,-0.05517454817891121
bg,-0.059073351323604584
mr,-0.05936719477176666
ws,-0.06051243469119072
sk,-0.06194477155804634
sd,-0.06405557692050934
dm,-0.06451933830976486
sm,-0.06483107805252075
ye,-0.06734369695186615
am,-0.06846430897712708
dz,-0.07673279941082001
er,-0.07708366215229034
ua,-0.07786785811185837
mw,-0.07884791493415833
eg,-0.08256760239601135
kr,-0.08411377668380737
kw,-0.08753848820924759
rs,-0.08845757693052292
cr,-0.08853179216384888
gb-nir,-0.09054375439882278
gb,-0.09054375439882278
sh,-0.09054375439882278
mx,-0.09311699867248535
ba,-0.09500734508037567
bf,-0.10006822645664215
gw,-0.1025756448507309
pw,-0.10325083136558533
fo,-0.10480237752199173
al,-0.10501046478748322
it,-0.10589806735515594
sr,-0.10817050188779831
mu,-0.1086961105465889
lc,-0.11033055931329727
nf,-0.11135165393352509
se,-0.11354078352451324
ve,-0.1228049248456955
pr,-0.12587319314479828
gb-wls,-0.13737672567367554
by,-0.13808411359786987
gy,-0.13811936974525452
om,-0.13911327719688416
ie,-0.13935397565364838
tg,-0.13990455865859985
kp,-0.13995428383350372
ci,-0.1444767564535141
hu,-0.14490143954753876
mg,-0.146833598613739
lv,-0.14959904551506042
tj,-0.16018259525299072
dk,-0.16341495513916016
tw,-0.16785505414009094
um,-0.1718946397304535
us,-0.1718946397304535
ki,-0.17233172059059143
gt,-0.17249900102615356
ir,-0.17382392287254333
lb,-0.17633214592933655
gh,-0.17929181456565857
in,-0.1796385645866394
