Image,Similarity
gu,0.5650834441184998
cx,0.5152457356452942
kz,0.49126937985420227
xk,0.4670552611351013
so,0.4402734637260437
sa,0.43449923396110535
bs,0.4103888273239136
nr,0.4083111584186554
ps,0.4020758867263794
cc,0.40204036235809326
sl,0.39252594113349915
hn,0.3884240984916687
cv,0.3881426751613617
bz,0.3854239284992218
jo,0.3820726275444031
eu,0.3784107267856598
ae,0.3767596185207367
sb,0.3648020625114441
mh,0.35809430480003357
uz,0.3570246696472168
ni,0.3570129871368408
tm,0.3478063941001892
eh,0.3439023792743683
pk,0.32444578409194946
aq,0.31973040103912354
sv,0.3130943179130554
rw,0.31230923533439636
tv,0.31028643250465393
cw,0.30593132972717285
mp,0.2873256504535675
pw,0.277006596326828
gb-sct,0.26687562465667725
jm,0.2515004277229309
ga,0.24660128355026245
mn,0.2441074550151825
as,0.235093891620636
aw,0.22778257727622986
la,0.21435964107513428
dj,0.20456913113594055
zm,0.20247285068035126
bd,0.20160941779613495
nz,0.19595587253570557
kh,0.19380030035972595
se,0.19148530066013336
az,0.18783649802207947
ck,0.18335027992725372
ms,0.17661340534687042
au,0.1728697270154953
hm,0.1728697270154953
cd,0.1716318428516388
ss,0.16903793811798096
tf,0.1622695028781891
mr,0.16179220378398895
dm,0.16167443990707397
vg,0.15619038045406342
kw,0.15457046031951904
pn,0.15305107831954956
ls,0.1522078812122345
tz,0.15053990483283997
is,0.14890578389167786
gs,0.14806906878948212
bq,0.14732258021831512
nl,0.14732258021831512
ky,0.14038628339767456
tc,0.13915403187274933
br,0.13825339078903198
fm,0.13808424770832062
gy,0.13513478636741638
na,0.1233358234167099
ai,0.12272944301366806
sy,0.12198930978775024
fk,0.12127982079982758
sd,0.11596140265464783
ag,0.11408963799476624
ye,0.11036506295204163
ke,0.10377008467912674
lu,0.10112228244543076
af,0.09949953109025955
fj,0.0930221751332283
it,0.09140629321336746
et,0.0851227268576622
ht,0.08508104085922241
st,0.0782405287027359
gr,0.071770578622818
il,0.06907349824905396
ly,0.06862125545740128
ua,0.06439155340194702
py,0.06298289448022842
ci,0.06044661998748779
ng,0.05865740031003952
hu,0.056850872933864594
eg,0.05628374218940735
tj,0.055108025670051575
bl,0.05457743629813194
fr,0.05457743629813194
gf,0.05457743629813194
gp,0.05457743629813194
mf,0.05457743629813194
mq,0.05457743629813194
nc,0.05457743629813194
pm,0.05457743629813194
re,0.05457743629813194
yt,0.05457743629813194
do,0.04685572534799576
bb,0.04676659777760506
mu,0.039331357926130295
ar,0.03928457573056221
za,0.037092071026563644
mw,0.03643098101019859
hr,0.03500258922576904
iq,0.034272290766239166
uy,0.03369620442390442
mv,0.03016393631696701
gt,0.029589451849460602
cu,0.02343197539448738
tk,0.02146240323781967
bw,0.020157264545559883
gq,0.02005258947610855
io,0.0168708898127079
ir,0.007884565740823746
ax,0.006604287773370743
vu,0.000950641930103302
dz,-0.015321922488510609
li,-0.020446814596652985
ph,-0.02768540382385254
ba,-0.030264629051089287
sr,-0.033197276294231415
